zone_id,symbol,generated_ts,zone_low,zone_high,zone_center,zone_size_bps,zone_volume,respected_strict_6h,respected_soft_6h,wicked_below_6h,wicked_above_6h,max_close_excursion_bps_6h,respected_strict_12h,respected_soft_12h,wicked_below_12h,wicked_above_12h,max_close_excursion_bps_12h,respected_strict_24h,respected_soft_24h,wicked_below_24h,wicked_above_24h,max_close_excursion_bps_24h
BTCUSDT_000001,BTCUSDT,2022-01-31T00:00:00,41058.00541666667,43582.36708333333,42320.18625,596.4911524146858,4029862.529836213,False,False,False,False,935.5642702698802,False,False,False,False,935.5642702698802,False,False,False,False,935.5642702698802
BTCUSDT_000002,BTCUSDT,2022-02-01T00:00:00,41689.095833333326,43582.36708333333,42635.73145833333,444.0574103555007,3249653.4551470336,False,False,False,False,770.7703658244656,False,False,False,False,781.751765321682,False,False,False,False,802.3260575877188
BTCUSDT_000003,BTCUSDT,2022-02-01T00:00:00,36640.3725,37271.46291666667,36955.917708333334,170.76843325808312,800597.5603637178,False,False,False,False,310.9615873709438,False,False,False,False,360.83722608588675,False,False,False,False,381.27779546808534
BTCUSDT_000004,BTCUSDT,2022-02-02T00:00:00,41441.3075,43281.481250000004,42361.394375,434.39876735643963,3393547.2380384393,False,False,False,False,749.0281060891076,False,False,False,False,949.4015858867724,False,False,False,False,1106.2708320020931
BTCUSDT_000005,BTCUSDT,2022-02-02T00:00:00,36534.177500000005,37147.568750000006,36840.873125000006,166.49747901434964,806788.3643320204,False,False,False,False,359.97552107418846,False,False,False,False,359.97552107418846,False,False,True,False,359.97552107418846
BTCUSDT_000006,BTCUSDT,2022-02-03T00:00:00,41411.63916666667,43245.455416666664,42328.54729166666,433.23392068336454,3388084.660095662,False,False,False,False,1100.120241448361,False,False,False,False,1151.2039695314568,False,False,False,False,1151.2039695314568
BTCUSDT_000007,BTCUSDT,2022-02-03T00:00:00,37744.00666666667,38355.27875,38049.64270833333,160.65120190982861,861448.5039348026,False,False,False,False,259.92797731319126,False,False,False,False,316.756369016496,False,False,False,False,316.756369016496
BTCUSDT_000008,BTCUSDT,2022-02-04T00:00:00,41742.2425,43519.925,42631.083750000005,416.99209675850716,3091144.805429602,False,False,False,False,924.7295994439744,False,False,False,False,924.7295994439744,False,False,False,False,924.7295994439744
BTCUSDT_000009,BTCUSDT,2022-02-04T00:00:00,36409.195,37001.755833333336,36705.47541666667,161.43663216640306,1039194.6898939953,False,False,False,False,233.54394867132592,False,False,False,False,1008.0115090912686,False,False,False,False,1239.1187186752702
BTCUSDT_000010,BTCUSDT,2022-02-05T00:00:00,41510.9675,42953.823749999996,42232.395625,341.64679238463094,2706367.051026734,False,True,False,False,33.81941703431355,False,True,False,False,33.81941703431355,False,True,False,False,33.81941703431355
