variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,break_state_at_entry,vah_at_entry,val_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-24 10:12:00+00:00,66272.7,2024-04-24 10:16:00+00:00,66347.3,0.0001256520407347814,4,take_profit,1,66845.31666666667,66237.56666666667,6.254465828581145
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-24 10:21:00+00:00,66295.1,2024-04-24 10:24:00+00:00,66350.6,-0.0001628340556089061,3,take_profit,1,66845.31666666667,66237.56666666667,6.10106251126678
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-24 17:31:00+00:00,65049.1,2024-04-24 17:33:00+00:00,64987.3,-0.001950051576424471,2,breakout_resume_down,1,67033.4,65025.875,27.17397812144786
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-24 18:49:00+00:00,64392.1,2024-04-24 18:50:00+00:00,64237.8,-0.003396256683661391,1,hard_stop,1,66475.75416666667,64356.7,6.033013856812909
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-24 20:22:00+00:00,63642.0,2024-04-24 20:24:00+00:00,63768.0,0.0009798246441029565,2,take_profit,1,66326.85833333332,63642.0,10.687486759035485
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-24 20:29:00+00:00,63892.2,2024-04-24 20:35:00+00:00,64025.8,0.0010910220652912148,6,take_profit,1,66326.85833333332,63642.0,7.408398256353121
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-25 08:53:00+00:00,63784.1,2024-04-25 08:56:00+00:00,63864.7,0.0002636378031516404,3,take_profit,1,65171.0,63769.416666666664,7.434860238886809
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-25 11:26:00+00:00,63826.2,2024-04-25 11:29:00+00:00,63886.0,-6.308067846749667e-05,3,take_profit,1,65043.3,63662.71666666667,6.01948852429622
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-25 11:34:00+00:00,63782.5,2024-04-25 11:40:00+00:00,63863.4,0.0002683729863207649,6,take_profit,1,65043.3,63662.71666666667,6.329798042630754
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-25 14:10:00+00:00,63644.0,2024-04-25 14:18:00+00:00,63798.4,0.0014259945949343109,8,take_profit,1,64862.875,63321.5,3.9565073459864846
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-25 14:55:00+00:00,63258.6,2024-04-25 14:59:00+00:00,63358.0,0.0005713278510747219,4,take_profit,1,64395.46666666667,63067.4625,10.721752823631679
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-25 15:04:00+00:00,63364.6,2024-04-25 15:12:00+00:00,63473.5,0.0007186252260725787,8,take_profit,1,64425.441666666666,63250.541666666664,8.552462572303499
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-26 13:41:00+00:00,63952.1,2024-04-26 13:44:00+00:00,64072.1,0.0008764043713968004,3,take_profit,1,64782.57916666666,63951.5375,4.875387774302638
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-26 17:33:00+00:00,63849.3,2024-04-26 17:34:00+00:00,63955.3,0.0006601591560125861,1,take_profit,1,64730.5,63795.299999999996,7.979157713794638
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-26 17:39:00+00:00,63868.1,2024-04-26 17:41:00+00:00,63761.3,-0.0026721962920456246,2,hard_stop,1,64730.5,63795.299999999996,7.508437270726422
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-26 20:01:00+00:00,63870.9,2024-04-26 20:05:00+00:00,63961.8,0.00042318332761859343,4,take_profit,1,64652.566666666666,63795.299999999996,10.488149565729262
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-26 20:10:00+00:00,63850.1,2024-04-26 20:13:00+00:00,63952.4,0.0006021901296945362,3,take_profit,1,64574.63333333333,63717.36666666666,11.287366818873606
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-26 22:33:00+00:00,63842.5,2024-04-26 22:37:00+00:00,63781.3,-0.0019586090770254963,4,breakout_resume_down,1,64514.450000000004,63802.4,8.641003057697592
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-27 00:15:00+00:00,63901.3,2024-04-27 00:16:00+00:00,63846.3,-0.0018607023644275902,1,hard_stop,1,64514.450000000004,63802.4,15.71584302325594
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-27 00:24:00+00:00,63756.7,2024-04-27 00:25:00+00:00,63722.2,-0.0015411195999792673,1,breakout_resume_down,1,64455.1125,63743.0625,14.869593550878246
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-27 09:49:00+00:00,62957.7,2024-04-27 09:57:00+00:00,62917.1,-0.001644877433578439,8,hard_stop,1,63988.5,62461.9,0.9962232866617396
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-30 09:47:00+00:00,61770.0,2024-04-30 09:50:00+00:00,61711.9,-0.001940586045005687,3,breakout_resume_down,1,63412.38333333333,61751.74166666667,8.476430164851829
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,long,2024-04-30 09:55:00+00:00,61754.1,2024-04-30 09:56:00+00:00,61717.6,-0.0015910538733460147,1,breakout_resume_down,1,63412.38333333333,61751.74166666667,13.333545768870218
