variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,break_state_at_entry,vah_at_entry,val_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-24 01:09:00+00:00,66732.2,2024-04-24 01:10:00+00:00,66748.3,-0.0012412628386296856,1,breakout_resume_up,-1,66745.725,66047.29999999999,3.4189749292354588
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-24 01:15:00+00:00,66661.8,2024-04-24 01:26:00+00:00,66715.6,-0.0018070589153008623,11,hard_stop,-1,66846.48333333334,66136.625,1.0509163358078364
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-24 05:18:00+00:00,66810.5,2024-04-24 05:29:00+00:00,66728.0,0.00023483584167161096,11,take_profit,-1,66845.31666666667,66085.62916666667,4.020306613127378
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-25 16:52:00+00:00,64384.8,2024-04-25 16:55:00+00:00,64417.6,-0.0015094370099774093,3,breakout_resume_up,-1,64397.958333333336,63435.041666666664,3.819454974307104
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-25 17:25:00+00:00,64438.7,2024-04-25 17:27:00+00:00,64534.7,-0.0024897879690309868,2,breakout_resume_up,-1,64494.25,63435.041666666664,4.780507095724501
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-25 18:40:00+00:00,64489.9,2024-04-25 18:56:00+00:00,64650.1,-0.0034841099148857904,16,hard_stop,-1,64581.700000000004,63541.3,6.401496259351559
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-25 21:54:00+00:00,64683.4,2024-04-25 21:55:00+00:00,64696.7,-0.0012056168970709926,1,breakout_resume_up,-1,64690.370833333334,63471.82083333333,12.57153614457854
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-25 22:00:00+00:00,64677.6,2024-04-25 22:04:00+00:00,64586.3,0.000411617004959953,4,take_profit,-1,64791.916666666664,63471.82083333333,12.269531877308651
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-27 18:43:00+00:00,63207.5,2024-04-27 18:45:00+00:00,63254.5,-0.0017435826444646132,2,breakout_resume_up,-1,63211.825,62530.075000000004,3.5800316524775284
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-27 18:56:00+00:00,63279.3,2024-04-27 18:57:00+00:00,63299.9,-0.0013255408956799322,1,breakout_resume_up,-1,63280.0,62598.25,4.244057640883402
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-27 19:02:00+00:00,63227.0,2024-04-27 19:04:00+00:00,63164.3,-8.335046736362116e-06,2,take_profit,-1,63273.350000000006,62597.14166666667,4.157509210223366
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-27 19:23:00+00:00,63232.0,2024-04-27 19:31:00+00:00,63275.7,-0.0016911057692307043,8,breakout_resume_up,-1,63273.350000000006,62597.14166666667,6.697984898107696
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-27 20:10:00+00:00,63260.0,2024-04-27 20:16:00+00:00,63229.9,-0.0005241858994625695,6,take_profit,-1,63273.350000000006,62664.762500000004,7.542986111111277
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-27 22:12:00+00:00,63318.7,2024-04-27 22:15:00+00:00,63352.5,-0.0015338075481651217,3,breakout_resume_up,-1,63348.1,62778.4,7.49747687132026
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-27 22:20:00+00:00,63283.0,2024-04-27 22:32:00+00:00,63249.4,-0.0004690517200511826,12,take_profit,-1,63338.825,62775.0875,8.526450421940972
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-04-28 08:56:00+00:00,63677.3,2024-04-28 09:00:00+00:00,63650.4,-0.0005775574655332285,4,take_profit,-1,63701.525,62745.675,18.79395982388513
