symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_1h_at_entry,ema50_4h_at_entry,ema50_4h_slope_at_entry
BTCUSDT,long,2023-01-09,17208.270966,2023-01-09,17174.824348,rsi_cross_back,-9.718180886995054,-0.0019436361773990107,1,67.27956607599467,16894.71970099492,0.0009648111218971015
BTCUSDT,long,2023-01-10,17222.633837999998,2023-01-10,17190.951122,rsi_cross_back,-9.197094159445776,-0.0018395976073122267,1,66.16355442266901,16905.838928406883,0.0006581480846532863
BTCUSDT,long,2023-01-10,17209.161144,2023-01-11,17328.963514,rsi_cross_back,34.80114691527557,0.006961546178662292,36,62.95381161319351,16905.838928406883,0.0006581480846532863
BTCUSDT,long,2023-01-11,17490.587418,2023-01-15,20613.586457999998,rsi_cross_back,892.9074481545113,0.1785531249102612,86,64.60145016305397,17054.698286530052,0.0006651262882603139
BTCUSDT,long,2023-01-15,20754.740117999998,2023-01-16,20743.550460000002,rsi_cross_back,-2.720185557669232,-0.0005391374662547799,23,187.11380330145215,18610.2965966772,0.004683269168845881
BTCUSDT,long,2023-01-18,21207.210594,2023-01-18,21225.843982000002,rsi_cross_back,4.43297812302349,0.0008786345529701034,9,169.7311516935203,19780.800777596884,0.0028017329963806606
BTCUSDT,long,2023-01-18,21263.431836,2023-01-18,21038.521454,rsi_cross_back,-53.36819722386096,-0.01057733218864576,3,125.7027468515777,19947.67259367435,0.002578662610881015
BTCUSDT,long,2023-01-19,20880.615287999997,2023-01-19,20836.991768,rsi_cross_back,-10.535473481765452,-0.0020891874783530717,2,139.65572119536134,20133.274634095113,0.0012390935534567623
BTCUSDT,long,2023-01-19,20981.925546,2023-01-20,20939.541254,rsi_cross_back,-10.185699676928696,-0.00202003824229946,12,141.8828642369565,20162.41837393452,0.0014475409673324654
BTCUSDT,long,2023-01-22,22762.85166,2023-01-22,22779.053278,rsi_cross_back,3.5885510500789692,0.0007117569556747139,8,232.88964594968255,20994.44059372526,0.0034904365317730804
BTCUSDT,long,2023-01-22,22874.133912,2023-01-22,22789.951097999998,rsi_cross_back,-18.555883781261027,-0.0036802623576422944,3,175.86012806302838,21200.07272339585,0.0030580947921147583
BTCUSDT,long,2023-01-22,22823.843856,2023-01-22,22717.605570000003,rsi_cross_back,-23.464710950697558,-0.004654706134088249,3,187.22261681612204,21262.59967541954,0.0029493744120362175
BTCUSDT,long,2023-01-23,22762.871664,2023-01-23,22719.085274,rsi_cross_back,-9.69469040280088,-0.0019235881415281542,1,173.39579315314938,21424.730788259672,0.002360819066240431
BTCUSDT,long,2023-01-23,22777.884666,2023-01-23,22691.36082,rsi_cross_back,-19.14266976749381,-0.003798590047703221,1,161.05229103511357,21424.730788259672,0.002360819066240431
BTCUSDT,long,2023-01-23,22788.736836,2023-01-23,22617.52559,rsi_cross_back,-37.85381216676811,-0.007512976574003516,5,153.5541411822684,21474.580561269097,0.0023267397617309053
BTCUSDT,long,2023-01-25,22729.44498,2023-01-26,22934.672147999998,rsi_cross_back,45.4758092807508,0.009029132395471207,16,163.2537268698197,22048.49650269266,0.000980922569046117
