symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,pcr_z_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
ETHUSDT,long,2022-02-27 16:00:00,2022-02-27 16:00:00,2615.99,2022-03-03 16:00:00,2022-03-03 16:00:00,2832.97,time_stop,817.4374,0.081744,12,-2.1893,0.0622,1.0,100000.0
ETHUSDT,long,2022-03-10 00:00:00,2022-03-10 00:00:00,2591.2,2022-03-14 00:00:00,2022-03-14 00:00:00,2585.72,time_stop,-33.1485,-0.003315,12,-1.9579,0.1394,1.0,100000.0
ETHUSDT,short,2022-03-15 08:00:00,2022-03-15 08:00:00,2571.5,2022-03-16 08:00:00,2022-03-16 08:00:00,2703.0,hard_stop,-523.3747,-0.052337,3,1.7897,0.2504,1.0,100000.0
ETHUSDT,short,2022-04-16 16:00:00,2022-04-16 16:00:00,3057.99,2022-04-18 00:00:00,2022-04-18 00:00:00,2891.18,take_profit,533.489,0.053349,4,3.3813,0.5481,1.0,100000.0
ETHUSDT,short,2022-04-18 16:00:00,2022-04-18 16:00:00,3054.02,2022-04-22 16:00:00,2022-04-22 16:00:00,2960.38,time_stop,294.6123,0.029461,12,2.4766,0.2475,1.0,100000.0
ETHUSDT,short,2022-04-25 16:00:00,2022-04-25 16:00:00,3006.11,2022-04-29 16:00:00,2022-04-29 16:00:00,2815.37,time_stop,622.5077,0.062251,12,2.4013,0.3318,1.0,100000.0
ETHUSDT,short,2022-05-30 00:00:00,2022-05-30 00:00:00,1906.8,2022-06-03 00:00:00,2022-06-03 00:00:00,1813.23,time_stop,478.7174,0.047872,12,2.1438,0.599,1.0,100000.0
ETHUSDT,long,2022-06-22 00:00:00,2022-06-22 00:00:00,1074.8,2022-06-25 00:00:00,2022-06-25 00:00:00,1233.74,take_profit,1466.7868,0.146679,9,-1.7463,0.5266,1.0,100000.0
ETHUSDT,short,2022-06-25 16:00:00,2022-06-25 16:00:00,1241.6,2022-06-29 16:00:00,2022-06-29 16:00:00,1099.32,take_profit,1133.9407,0.113394,12,2.1683,0.0682,1.0,100000.0
ETHUSDT,short,2022-07-04 08:00:00,2022-07-04 08:00:00,1111.39,2022-07-07 08:00:00,2022-07-07 08:00:00,1219.75,hard_stop,-986.9953,-0.0987,9,1.958,0.3916,1.0,100000.0
