symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_1h_at_entry,ema50_4h_at_entry,ema50_4h_slope_at_entry
BTCUSDT,long,2022-08-01,23442.097482,2022-08-01,23322.064654,rsi_cross_back,-25.601981241688556,-0.005120396248337711,1,221.57724222950432,23097.260852141186,0.0002307178134613367
BTCUSDT,short,2022-08-02,22984.0959,2022-08-02,23374.034258,rsi_cross_back,-83.39136533979013,-0.016682544129776766,1,221.52180498171398,23080.61797054138,-0.00035003954342606306
BTCUSDT,short,2022-08-02,22985.706222,2022-08-02,23025.973884000003,rsi_cross_back,-8.734434671522715,-0.0017487930023225573,2,251.35119735598627,23076.652559931917,-0.000171806951379084
BTCUSDT,short,2022-08-02,22992.387558000002,2022-08-03,23038.831312,rsi_cross_back,-10.067584629329755,-0.002015890188657554,7,230.0955355281581,23071.733243856157,-0.00021317286218114072
BTCUSDT,short,2022-08-05,22832.825652,2022-08-05,23101.958684,rsi_cross_back,-58.17452453570669,-0.011649792802477799,4,226.34456355210796,23050.79144898767,-0.00011073066821583246
BTCUSDT,long,2022-08-06,23186.206314,2022-08-06,22949.619158,rsi_cross_back,-50.924064921878596,-0.01020378895952223,5,126.91748305918907,23075.589406701507,0.00022401790727893188
BTCUSDT,short,2022-08-07,23027.744628,2022-08-07,23089.081260000003,rsi_cross_back,-13.251139908367458,-0.002656521119628219,1,101.30117756476682,23068.230811787314,-5.263754033018316e-05
BTCUSDT,long,2022-08-09,23812.501548,2022-08-09,23772.514546000002,rsi_cross_back,-8.37521761318444,-0.0016792440693135235,6,170.0404530620527,23238.378283475176,0.0010050162228792436
BTCUSDT,long,2022-08-13,24491.027226000002,2022-08-13,24382.202584000002,rsi_cross_back,-22.159811263408223,-0.004443449472158911,2,176.96877534596086,23792.38129599118,0.0010409947575366525
BTCUSDT,short,2022-08-17,23947.708583999996,2022-08-17,23986.921656000002,rsi_cross_back,-8.150901825091445,-0.0016347688362169377,1,177.38155864649661,24005.79681057933,-0.00025677135437471776
