variant,symbol,direction,entry_event_ts,entry_bar_ts,entry_price,exit_event_ts,exit_bar_ts,exit_price,price_pnl_pct,funding_pnl_pct,pnl_pct,funding_at_entry,funding_received,bars_held,exit_reason
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-19 00:00:00+00:00,2026-04-19 00:00:00+00:00,2348.82,2026-04-19 08:00:00+00:00,2026-04-19 08:00:00+00:00,2313.21,-0.0151608041484661,0.00011438,-0.0160464241484661,-0.00010377,-0.00011438,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-19 08:00:00+00:00,2026-04-19 08:00:00+00:00,2313.21,2026-04-19 16:00:00+00:00,2026-04-19 16:00:00+00:00,2325.47,0.005299994380103756,0.00022976,0.004529754380103756,-0.00011438,-0.00022976,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-19 16:00:00+00:00,2026-04-19 16:00:00+00:00,2325.47,2026-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,2264.14,-0.026373163274520772,9.27e-06,-0.027363893274520774,-0.00022976,-9.27e-06,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-23 16:00:00+00:00,2026-04-23 16:00:00+00:00,2331.41,2026-04-24 00:00:00+00:00,2026-04-24 00:00:00+00:00,2330.26,-0.0004932637331055423,3.645e-05,-0.0014568137331055424,-6.025e-05,-3.645e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-24 08:00:00+00:00,2026-04-24 08:00:00+00:00,2309.8,2026-04-24 16:00:00+00:00,2026-04-24 16:00:00+00:00,2320.79,0.004757987704563149,0.00012145,0.0038794377045631495,-6.98e-05,-0.00012145,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-24 16:00:00+00:00,2026-04-24 16:00:00+00:00,2320.79,2026-04-25 00:00:00+00:00,2026-04-25 00:00:00+00:00,2313.24,-0.003253202573261782,4.387e-05,-0.0042093325732617815,-0.00012145,-4.387e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-27 00:00:00+00:00,2026-04-27 00:00:00+00:00,2371.67,2026-04-27 08:00:00+00:00,2026-04-27 08:00:00+00:00,2316.14,-0.02341388135786182,7.865e-05,-0.024335231357861822,-6.636e-05,-7.865e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-27 08:00:00+00:00,2026-04-27 08:00:00+00:00,2316.14,2026-04-27 16:00:00+00:00,2026-04-27 16:00:00+00:00,2270.79,-0.019579990846839923,7.593e-05,-0.020504060846839926,-7.865e-05,-7.593e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-27 16:00:00+00:00,2026-04-27 16:00:00+00:00,2270.79,2026-04-28 00:00:00+00:00,2026-04-28 00:00:00+00:00,2300.0,0.012863364732097704,0.00016104,0.012024404732097704,-7.593e-05,-0.00016104,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-28 00:00:00+00:00,2026-04-28 00:00:00+00:00,2300.0,2026-04-28 08:00:00+00:00,2026-04-28 08:00:00+00:00,2284.95,-0.006543478260869651,0.00011678,-0.00742669826086965,-0.00016104,-0.00011678,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-28 08:00:00+00:00,2026-04-28 08:00:00+00:00,2284.95,2026-04-28 16:00:00+00:00,2026-04-28 16:00:00+00:00,2278.3,-0.0029103481476616677,-2.5e-07,-0.003910598147661667,-0.00011678,2.5e-07,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-30 00:00:00+00:00,2026-04-30 00:00:00+00:00,2254.26,2026-04-30 08:00:00+00:00,2026-04-30 08:00:00+00:00,2256.27,0.0008916451518456991,4.636e-05,-6.199484815430092e-05,-6.092e-05,-4.636e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-04-30 16:00:00+00:00,2026-04-30 16:00:00+00:00,2264.13,2026-05-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,2257.33,-0.003003361114423675,4e-05,-0.003963361114423675,-7.717e-05,-4e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-05-05 16:00:00+00:00,2026-05-05 16:00:00+00:00,2379.51,2026-05-06 00:00:00+00:00,2026-05-06 00:00:00+00:00,2360.02,-0.008190761963597692,2.041e-05,-0.009170351963597691,-6.52e-05,-2.041e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-05-06 08:00:00+00:00,2026-05-06 08:00:00+00:00,2369.61,2026-05-06 16:00:00+00:00,2026-05-06 16:00:00+00:00,2357.22,-0.005228708521655578,5.114e-05,-0.006177568521655579,-9.447e-05,-5.114e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-05-06 16:00:00+00:00,2026-05-06 16:00:00+00:00,2357.22,2026-05-07 00:00:00+00:00,2026-05-07 00:00:00+00:00,2350.11,-0.0030162649222387206,6.585e-05,-0.0039504149222387205,-5.114e-05,-6.585e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-05-07 00:00:00+00:00,2026-05-07 00:00:00+00:00,2350.11,2026-05-07 08:00:00+00:00,2026-05-07 08:00:00+00:00,2342.2,-0.0033657998987283166,0.00011993,-0.004245869898728317,-6.585e-05,-0.00011993,480,next_event
