symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_1h_at_entry,ema50_4h_at_entry,ema50_4h_slope_at_entry
ETHUSDT,short,2022-01-10,3137.407356,2022-01-10,3150.96968,rsi_cross_back,-21.5208735363015,-0.0043041747072603,1,35.62491259197066,3412.133878118288,-0.003102454189437332
ETHUSDT,short,2022-01-14,3292.20831,2022-01-14,3275.89469,rsi_cross_back,24.89412925308479,0.00497989756807482,8,31.36850380173813,3303.7133250918837,-0.00046041153747484255
ETHUSDT,short,2022-01-18,3160.48197,2022-01-19,3170.0458639999997,rsi_cross_back,-15.085296908816138,-0.003016957612068105,2,34.320251872823924,3270.206908230645,-0.001775881883859075
ETHUSDT,short,2022-01-19,3158.451564,2022-01-19,3157.598354,rsi_cross_back,1.3508844001840559,0.00027020852697079434,12,32.18036930196576,3265.879186339247,-0.0013233786157400094
ETHUSDT,short,2022-01-19,3123.3045359999996,2022-01-19,3150.049864,rsi_cross_back,-42.447831033178716,-0.008490445915049327,2,37.8220293809099,3246.3427317820906,-0.0016200791712162577
ETHUSDT,short,2022-01-19,3128.795634,2022-01-20,3122.095456,rsi_cross_back,10.724591541470243,0.0021460516164308885,7,38.39134920731385,3241.4932128886753,-0.0014938406983150297
ETHUSDT,short,2022-01-20,3081.956268,2022-01-23,2487.332434,rsi_cross_back,1194.8012698758198,0.2390608612953904,58,38.99358917309087,3221.963676410512,-8.466266226247577e-05
ETHUSDT,short,2022-01-23,2433.9967020000004,2022-01-23,2538.502198,rsi_cross_back,-208.21362409988936,-0.04116817235074133,9,57.643165592045264,2916.012274360036,-0.005813414504192335
ETHUSDT,short,2022-01-24,2457.8314680000003,2022-01-24,2385.12288,rsi_cross_back,153.86067441590365,0.030484210524197586,17,53.25677475282904,2863.6795579843642,-0.00460623385064647
ETHUSDT,short,2022-01-26,2519.623824,2022-01-27,2456.168668,rsi_cross_back,130.59389075588447,0.025835015659437577,15,58.763488818436564,2659.4871087707243,-0.0013128916349386145
ETHUSDT,short,2022-01-31,2540.598018,2022-01-31,2557.898318,rsi_cross_back,-34.23301322333907,-0.006763482300393697,1,32.52108426238317,2571.0701333020315,-0.00020728962594046918
ETHUSDT,long,2022-02-02,2763.4625819999997,2022-02-02,2686.5125900000003,rsi_cross_back,-140.89087571935545,-0.0278454980723164,6,31.920150496319284,2630.6081434445296,0.0018459464952668343
ETHUSDT,long,2022-02-06,3002.890458,2022-02-06,2985.722736,rsi_cross_back,-28.886570325085906,-0.005717065687249168,2,28.096722586398148,2795.3977980554373,0.0028737640335772703
