symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,macro_proximity_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
BTCUSDT,long,2022-04-19 04:00:00,2022-04-19 04:00:00,40671.6,2022-04-22 12:00:00,2022-04-22 12:00:00,39414.6,hard_stop,-321.0609,-0.032106,20,42,0.6844,1.0,100000.0
BTCUSDT,short,2022-04-24 00:00:00,2022-04-24 00:00:00,39750.1,2022-04-28 00:00:00,2022-04-28 00:00:00,39332.9,macro_regime_off,92.9557,0.009296,24,-30,0.7717,1.0,100000.0
BTCUSDT,short,2022-05-05 04:00:00,2022-05-05 04:00:00,39585.4,2022-05-05 12:00:00,2022-05-05 12:00:00,36886.4,take_profit,669.817,0.066982,2,6,0.1954,1.0,100000.0
BTCUSDT,short,2022-05-13 08:00:00,2022-05-13 08:00:00,30650.5,2022-05-23 08:00:00,2022-05-23 08:00:00,30393.8,time_stop,71.7507,0.007175,60,12,0.099,1.0,100000.0
BTCUSDT,short,2022-05-24 16:00:00,2022-05-24 16:00:00,29378.8,2022-05-26 00:00:00,2022-05-26 00:00:00,29826.3,macro_regime_off,-164.3207,-0.016432,8,-18,0.1157,1.0,100000.0
BTCUSDT,short,2022-05-28 00:00:00,2022-05-28 00:00:00,28805.2,2022-05-29 20:00:00,2022-05-29 20:00:00,29452.8,hard_stop,-236.8205,-0.023682,11,6,0.961,1.0,100000.0
BTCUSDT,long,2022-06-01 20:00:00,2022-06-01 20:00:00,29796.9,2022-06-02 04:00:00,2022-06-02 04:00:00,29952.8,macro_regime_off,40.3209,0.004032,2,-12,0.6428,1.0,100000.0
BTCUSDT,long,2022-06-04 00:00:00,2022-06-04 00:00:00,29543.2,2022-06-06 00:00:00,2022-06-06 00:00:00,31235.0,take_profit,560.6529,0.056065,12,6,0.4067,1.0,100000.0
BTCUSDT,long,2022-06-07 08:00:00,2022-06-07 08:00:00,29504.5,2022-06-10 00:00:00,2022-06-10 00:00:00,30102.0,macro_regime_off,190.5115,0.019051,16,-18,0.7279,1.0,100000.0
BTCUSDT,short,2022-06-22 08:00:00,2022-06-22 08:00:00,20497.5,2022-06-25 00:00:00,2022-06-25 00:00:00,21295.0,hard_stop,-401.0718,-0.040107,16,42,0.2613,1.0,100000.0
BTCUSDT,long,2022-06-26 20:00:00,2022-06-26 20:00:00,21029.1,2022-06-28 16:00:00,2022-06-28 16:00:00,20246.6,hard_stop,-384.1034,-0.03841,11,-24,0.8652,1.0,100000.0
BTCUSDT,long,2022-07-06 16:00:00,2022-07-06 16:00:00,20319.8,2022-07-07 00:00:00,2022-07-07 00:00:00,20474.0,macro_regime_off,63.8866,0.006389,2,-12,0.6277,1.0,100000.0
BTCUSDT,long,2022-07-11 00:00:00,2022-07-11 00:00:00,20540.0,2022-07-12 00:00:00,2022-07-12 00:00:00,19934.3,macro_regime_off,-306.888,-0.030689,6,-12,0.9568,1.0,100000.0
BTCUSDT,long,2022-07-14 00:00:00,2022-07-14 00:00:00,20215.3,2022-07-17 04:00:00,2022-07-17 04:00:00,21460.0,take_profit,603.7218,0.060372,19,6,0.1041,1.0,100000.0
BTCUSDT,long,2022-07-25 12:00:00,2022-07-25 12:00:00,21884.3,2022-07-26 00:00:00,2022-07-26 00:00:00,21130.2,macro_regime_off,-356.5849,-0.035658,3,-12,0.0464,1.0,100000.0
BTCUSDT,short,2022-08-02 12:00:00,2022-08-02 12:00:00,22962.9,2022-08-04 00:00:00,2022-08-04 00:00:00,23083.7,macro_regime_off,-64.6066,-0.006461,9,-18,0.7014,1.0,100000.0
BTCUSDT,long,2022-08-06 00:00:00,2022-08-06 00:00:00,23161.8,2022-08-08 08:00:00,2022-08-08 08:00:00,24160.0,take_profit,418.9682,0.041897,14,6,0.6221,1.0,100000.0
BTCUSDT,long,2022-08-15 16:00:00,2022-08-15 16:00:00,23972.2,2022-08-17 12:00:00,2022-08-17 12:00:00,23385.7,hard_stop,-256.6584,-0.025666,11,30,0.1174,1.0,100000.0
