openTime,equity
2021-11-20,100000.0
2021-11-21,100427.05662237648
2021-11-22,101425.52489098754
2021-11-23,100659.09738873763
2021-11-24,99845.79421359953
2021-11-25,101453.825572862
2021-11-26,102325.54123687318
2021-11-27,104044.97948235221
2021-11-28,104697.67664338878
2021-11-29,105669.59596142013
2021-11-30,106427.9513452545
2021-12-01,106571.25230818598
2021-12-02,106172.87015783892
2021-12-03,105470.17357114636
2021-12-04,110307.86204427452
2021-12-05,111539.08904982335
2021-12-06,113775.9336231102
2021-12-07,113388.54685292413
2021-12-08,114051.75825271997
2021-12-09,115714.00993035112
2021-12-10,116899.4891459273
2021-12-11,119021.23560752427
2021-12-12,119647.61965674064
2021-12-13,120591.28732466511
2021-12-14,119949.73549278226
2021-12-15,119067.96388041816
2021-12-16,118228.83911965793
2021-12-17,119412.64810175194
2021-12-18,119583.08722128798
2021-12-19,121016.43894625544
2021-12-20,121259.25836420798
2021-12-21,121971.87870068966
2021-12-22,121637.04323867979
2021-12-23,122812.59960591905
2021-12-24,123263.67850536201
2021-12-25,125010.072584492
2021-12-26,125059.90225775886
2021-12-27,126460.26070191663
2021-12-28,127273.20084166795
2021-12-29,128573.21695809354
2021-12-30,130696.88581129425
2021-12-31,130391.30388052094
2022-01-01,130779.01419101928
2022-01-02,131216.59429365554
2022-01-03,131811.44582274513
2022-01-04,132215.65748149378
2022-01-05,133011.68387242928
2022-01-06,133571.9654214942
2022-01-07,133240.53087210318
2022-01-08,130804.58260214658
2022-01-09,131040.97122723087
2022-01-10,129980.37970570497
2022-01-11,130556.43905719032
2022-01-12,132009.2042755756
2022-01-13,131861.87646701463
2022-01-14,134004.71086455515
2022-01-15,135734.72136881162
2022-01-16,136181.0341090359
2022-01-17,136306.79628763883
2022-01-18,137101.81144804513
2022-01-19,138229.07188483875
2022-01-20,138550.91682144956
2022-01-21,135575.42992045401
2022-01-22,140171.7592707669
2022-01-23,140299.49020890924
2022-01-24,140918.02448290112
2022-01-25,141998.46681974333
2022-01-26,143956.62616544127
2022-01-27,144882.21183020502
2022-01-28,147897.1910616001
2022-01-29,146930.23803413083
2022-01-30,146274.78897158627
2022-01-31,145883.90458952016
2022-02-01,145557.3807595916
2022-02-02,148998.86261646712
2022-02-03,151159.2611658922
2022-02-04,155070.73123750804
2022-02-05,155917.3747712446
2022-02-06,156998.07944862996
2022-02-07,156462.38179721203
2022-02-08,156280.15569519528
2022-02-09,158245.41914837583
2022-02-10,158918.78218265178
2022-02-11,157836.17004912713
2022-02-12,158912.79981175374
2022-02-13,159055.47123018734
2022-02-14,158965.9630226261
2022-02-15,160917.93803415395
2022-02-16,162818.39459018243
2022-02-17,163541.7504879057
2022-02-18,161611.93608887895
2022-02-19,162390.4953292052
2022-02-20,160074.35362703662
2022-02-21,161210.01689001548
2022-02-22,163828.21035118395
2022-02-23,162838.24249998224
2022-02-24,166355.11515503327
2022-02-25,168711.35346156248
2022-02-26,170233.74487337095
2022-02-27,169860.2353820781
2022-02-28,173263.22755952607
2022-03-01,176784.4880834461
2022-03-02,177418.89273083015
2022-03-03,178459.9488671496
2022-03-04,179480.05358392658
2022-03-05,179860.04442767444
2022-03-06,179563.34498615318
2022-03-07,179953.52030655023
2022-03-08,180914.71331003198
2022-03-09,183217.3390940897
2022-03-10,185659.3207909529
2022-03-11,186187.9061005877
2022-03-12,186393.44371995438
2022-03-13,185797.6301482118
2022-03-14,186562.35848152588
2022-03-15,185708.4817450733
2022-03-16,188017.3565060559
2022-03-17,186564.5542835218
2022-03-18,185744.5219381838
2022-03-19,187552.44945907377
2022-03-20,189544.26182482563
2022-03-21,190353.5924947364
2022-03-22,190463.75929072962
2022-03-23,190881.7921373676
2022-03-24,189546.9121828121
2022-03-25,188729.95778245505
2022-03-26,188935.22360802523
2022-03-27,188237.24155694412
2022-03-28,189777.86057752234
2022-03-29,192481.43998846455
2022-03-30,187886.6396129141
2022-03-31,189192.60346571737
2022-04-01,192557.874839979
2022-04-02,192944.935635455
2022-04-03,194003.48064390107
2022-04-04,196510.07841967253
2022-04-05,198281.38113069988
2022-04-06,196971.22180292182
2022-04-07,199560.631870929
2022-04-08,199028.05361104434
2022-04-09,201422.9992247597
2022-04-10,202626.1897173192
2022-04-11,205511.95142128467
2022-04-12,203869.01823023954
2022-04-13,203866.24980400427
2022-04-14,205440.04086538497
2022-04-15,205927.16399564082
2022-04-16,207818.08155250704
2022-04-17,207511.02148774744
2022-04-18,208865.13667147278
2022-04-19,210660.1959833353
2022-04-20,213011.69459905304
2022-04-21,214992.37242280244
2022-04-22,215368.9586120387
2022-04-23,216576.35053326143
2022-04-24,217869.85134174838
2022-04-25,217943.8454246881
2022-04-26,218572.06721810278
2022-04-27,219851.56003855378
2022-04-28,219387.44403561606
2022-04-29,220380.54578992745
2022-04-30,216280.77249489308
2022-05-01,217139.28098010615
2022-05-02,216562.7879464426
2022-05-03,217283.0445503536
2022-05-04,217374.6532933351
2022-05-05,219764.95336937127
2022-05-06,221240.39263048512
2022-05-07,220912.74733199607
2022-05-08,222326.0759126129
2022-05-09,225088.5174552457
2022-05-10,228406.4176603732
2022-05-11,232309.26381271431
2022-05-12,232309.26381271431
2022-05-13,232309.26381271431
2022-05-14,226525.9220985791
2022-05-15,231851.14755106
2022-05-16,235921.99855302746
2022-05-17,239467.84407052086
2022-05-18,238566.15556199237
2022-05-19,240021.78058245598
2022-05-20,240790.29637190473
2022-05-21,242683.41824616597
2022-05-22,243360.3429841268
2022-05-23,241698.32724196187
2022-05-24,245099.94890907608
2022-05-25,247660.2661532735
2022-05-26,243373.9018675929
2022-05-27,246454.3241361915
2022-05-28,251170.96992465455
2022-05-29,250205.06008901462
2022-05-30,253890.87579817357
2022-05-31,256642.42235647843
2022-06-01,260645.48152623163
2022-06-02,264780.3987104415
2022-06-03,266208.23578817357
2022-06-04,266906.537492386
2022-06-05,267525.321646885
2022-06-06,267758.69956590474
2022-06-07,267190.1778207188
2022-06-08,271246.54717359674
2022-06-09,270945.17619691073
2022-06-10,272855.6457002353
2022-06-11,271651.699953043
2022-06-12,277850.1891560418
2022-06-13,286515.1281401797
2022-06-14,286400.09778055956
2022-06-15,279333.0933186038
2022-06-16,280882.22847119457
2022-06-17,283264.20025572594
2022-06-18,279134.19148847315
2022-06-19,283453.7671164936
2022-06-20,279086.5470234183
2022-06-21,280697.311747181
2022-06-22,285121.8421056852
2022-06-23,287055.5817334686
2022-06-24,286309.01988302404
2022-06-25,286669.48911970307
2022-06-26,290344.91497966205
2022-06-27,290689.0204140374
2022-06-28,289948.3851650482
2022-06-29,292522.8135426273
2022-06-30,295310.681042275
2022-07-01,295033.6504784223
2022-07-02,301859.13930016366
2022-07-03,302324.8343915907
2022-07-04,303008.33670909656
2022-07-05,304850.9415018721
2022-07-06,307293.31874001847
2022-07-07,307574.5866910169
2022-07-08,309220.21369286976
2022-07-09,308995.4666087723
2022-07-10,307888.96510155435
2022-07-11,307033.1636931043
2022-07-12,309237.0854205721
2022-07-13,312708.03693281
2022-07-14,310954.7324455235
2022-07-15,314740.1022795626
2022-07-16,314391.46583786735
2022-07-17,316605.8913316182
2022-07-18,315039.3792024577
2022-07-19,307145.60080704594
2022-07-20,307749.75322017074
2022-07-21,308863.6537300802
2022-07-22,308186.2969619925
2022-07-23,310843.1655571552
2022-07-24,310539.9330801121
2022-07-25,314163.4987650026
2022-07-26,316318.15512821294
2022-07-27,319230.92207755795
2022-07-28,323182.4808818104
2022-07-29,326247.70450944686
2022-07-30,326094.5945971468
2022-07-31,326310.2555544442
