window_id,test_start_iso,test_end_iso,n_trades,sharpe_daily_resampled,annualized_return_daily_resampled,max_drawdown_pct,profit_factor
0,2022-11-20 16:01:00,2023-05-22 04:00:00,4434,1.7251879304620172,0.33506573823666885,-0.09958906153703295,1.0128684687781335
1,2023-05-22 04:01:00,2023-11-20 16:00:00,4543,1.596417353524659,0.3796904901769209,-0.13296598196012466,1.011501467866772
2,2023-11-20 16:01:00,2024-05-21 04:00:00,4182,1.0470961026291423,0.19031002351305815,-0.11723222956073287,1.0060485172475948
3,2024-05-21 04:01:00,2024-11-19 16:00:00,4317,3.077368649684193,0.5112190899678852,-0.10658959578041516,1.018764237124345
4,2024-11-19 16:01:00,2025-05-21 04:00:00,4341,1.687899449370634,0.33353440400395873,-0.09653120094295464,1.0103590609807165
5,2025-05-21 04:01:00,2025-11-19 16:00:00,4194,-0.37981647537519736,-0.061120628928224896,-0.09956293910563196,0.9989951879549678
6,2025-11-19 16:01:00,2026-05-21 04:00:00,4321,4.369234160449502,0.5364256959406823,-0.03750926442659552,1.0265201097526975
