identifier	project_id	status
SMA-34954	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34952	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34951	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34938	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34937	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34936	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-34934	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-34920	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-34895	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34872	99e0c1c1-350c-44de-9597-4bcea7517d9e	done
SMA-35068		in_review
SMA-35067		in_progress
SMA-35052	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-35031		done
SMA-35016		cancelled
SMA-35011		done
SMA-35010		done
SMA-35009		done
SMA-35008	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-35007		done
SMA-34994		done
SMA-34993		done
SMA-34970	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-34959	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-34958	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34957	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34950	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34948	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34947	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34946	3bfac0d2-f958-4cba-91d6-c3c7902b1b6c	done
SMA-34942	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34921	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-34912	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34871	99e0c1c1-350c-44de-9597-4bcea7517d9e	done
SMA-34752	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-30199	915627d9-d97a-440d-9e50-47c46dcb0eb6	in_review
SMA-35073		in_progress
SMA-35071		in_review
SMA-35070	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-35066		cancelled
SMA-35065	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-35064		done
SMA-35063		done
SMA-35061		done
SMA-35059		done
SMA-35058	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-35057		done
SMA-35056		done
SMA-35053		done
SMA-35051		done
SMA-35050		done
SMA-35049		done
SMA-35048		done
SMA-35046	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-35045		cancelled
SMA-35044		done
SMA-35030		done
SMA-35015		in_progress
SMA-35013		cancelled
SMA-35012		in_progress
SMA-34986	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-34985		done
SMA-34984		done
SMA-34983		cancelled
SMA-34982		done
SMA-34981		in_review
SMA-34976		done
SMA-34944	d1f4d321-98ed-459d-b3d4-ceacbde591ab	cancelled
SMA-34943	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34939	d1f4d321-98ed-459d-b3d4-ceacbde591ab	cancelled
SMA-34935	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-34932	d1f4d321-98ed-459d-b3d4-ceacbde591ab	cancelled
SMA-34930	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34929	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34922	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34918	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-34915	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-34914	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34913	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-34911	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34909	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34901	d1f4d321-98ed-459d-b3d4-ceacbde591ab	in_progress
SMA-34900	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34899	3bfac0d2-f958-4cba-91d6-c3c7902b1b6c	done
SMA-34870	99e0c1c1-350c-44de-9597-4bcea7517d9e	done
SMA-34734	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-34733	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-30054	915627d9-d97a-440d-9e50-47c46dcb0eb6	in_progress
