symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry
BTCUSDT,short,2024-09-06,53938.485539999994,2024-09-18,61722.95294,atr_trailing>entry+3.0*ATR,-144.32120817013217,-0.14432120817013216,12,2726.460674784542
BTCUSDT,long,2024-09-26,65152.22783999999,2024-10-26,67058.38564000001,time_stop>=30d,29.214761691768725,0.02925698572704416,30,2251.0585774936735
BTCUSDT,long,2024-10-29,72754.0479,2024-11-28,95675.26112,time_stop>=30d,314.68804948752165,0.31505069314500633,30,2155.0993935458937
BTCUSDT,long,2024-12-16,106044.40464,2024-12-29,93681.26000000001,atr_trailing<entry-3.0*ATR,-116.81728276290545,-0.11658460134667592,13,4075.7013225527244
BTCUSDT,short,2025-02-24,91532.8029,2025-03-26,86856.42524000001,time_stop>=30d,51.13192084039663,0.05108963684974166,30,3207.7312863241114
BTCUSDT,long,2025-05-08,103248.74562,2025-06-05,101438.30828000001,donchian_opposite_break,-17.55819343527516,-0.01753471511085647,28,2982.623788995454
BTCUSDT,long,2025-07-14,119840.4633,2025-08-01,113222.15104000001,donchian_opposite_break,-55.29027252409454,-0.055226023646388844,18,2901.0236232978446
BTCUSDT,long,2025-10-02,120505.39626,2025-10-17,106357.32428000002,atr_trailing<entry-3.0*ATR,-117.47780184567786,-0.11740612801666062,15,2578.8069817012756
BTCUSDT,short,2025-11-04,101470.59006,2025-12-04,92016.29306,time_stop>=30d,93.12020292864821,0.09317278035349597,30,4031.7850694875824
BTCUSDT,long,2026-01-13,95394.27504,2026-01-25,86611.57422,atr_trailing<entry-3.0*ATR,-92.10115811166688,-0.09206737842828938,12,2585.455384227515
BTCUSDT,short,2026-01-29,84621.62094,2026-02-28,66923.71258,time_stop>=30d,209.02579717473438,0.20914168463575622,30,2662.5559573324313
BTCUSDT,long,2026-03-04,72655.92828,2026-04-03,66916.614,time_stop>=30d,-79.11440749717129,-0.07899306245020965,30,3683.1473218286687
BTCUSDT,long,2026-05-04,79842.06522,2026-05-22,75497.99738,donchian_opposite_break,-54.44879433261326,-0.05440825995708132,18,2222.6247383783575
BTCUSDT,short,2026-05-28,73606.11828,2026-06-23,62404.61658,force_close_eod,152.21218077553468,0.15218166589615723,26,2016.5236423609542
