symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry
ETHUSDT,short,2024-09-06,2224.1447399999997,2024-09-21,2610.87772,atr_trailing>entry+3.0*ATR,-173.8794121825005,-0.17387941218250047,15,147.2274752423307
ETHUSDT,long,2024-09-23,2646.369168,2024-10-23,2523.3352320000004,time_stop>=30d,-46.410760373285164,-0.04649159969354655,30,123.15380167914356
ETHUSDT,long,2024-11-09,3127.6554060000003,2024-12-09,3711.80749,time_stop>=30d,186.35852698095093,0.18676996285440528,30,132.50023176741757
ETHUSDT,short,2024-12-19,3417.38334,2025-01-18,3306.0386599999997,time_stop>=30d,32.57079696473738,0.032581852523457355,30,222.04665331164207
ETHUSDT,short,2025-02-02,2868.62361,2025-03-04,2170.075898,time_stop>=30d,243.50988515470334,0.24351319900068735,30,208.77906102662885
ETHUSDT,short,2025-03-10,1864.882902,2025-04-09,1668.356262,time_stop>=30d,105.63801467322027,0.10538283116287595,30,212.5598601455722
ETHUSDT,long,2025-05-09,2344.76886,2025-06-08,2507.8183360000003,time_stop>=30d,69.77939009502477,0.06953754750905383,30,121.87800947662916
ETHUSDT,long,2025-06-10,2816.3031479999995,2025-06-21,2294.1710740000003,atr_trailing<entry-3.0*ATR,-186.17041375417807,-0.18539626118402486,11,141.7399305394227
ETHUSDT,long,2025-07-15,3138.247524,2025-09-22,4196.020628,donchian_opposite_break,337.8384722158201,0.33705853216185,69,134.36676629863237
ETHUSDT,short,2025-09-25,3873.87462,2025-10-02,4480.80366,atr_trailing>entry+3.0*ATR,-157.56418298453593,-0.1566723499171998,7,189.99436163628596
ETHUSDT,short,2025-10-10,3820.7539979999997,2025-11-09,3580.593738,time_stop>=30d,63.11553390492457,0.06285677123565481,30,248.85484700503184
ETHUSDT,short,2025-11-20,2833.5365939999997,2025-12-09,3315.826702,donchian_opposite_break,-171.0159502503624,-0.170207827568293,19,238.94489795085846
ETHUSDT,short,2026-01-30,2706.2011319999997,2026-03-15,2177.294454,time_stop>=30d,196.03618186987177,0.19544248642343698,44,137.81734846066516
ETHUSDT,long,2026-03-16,2352.1303319999997,2026-03-27,1991.181684,atr_trailing<entry-3.0*ATR,-154.223040433431,-0.15345605772325033,11,126.47132634259296
ETHUSDT,long,2026-04-17,2418.1435319999996,2026-05-16,2179.224068,donchian_opposite_break,-99.14429229643285,-0.09880284641432924,29,112.71434665461717
ETHUSDT,short,2026-06-02,1859.331792,2026-06-23,1660.447844,force_close_eod,107.22888511475283,0.10696528121324134,21,78.72992683037972
