variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,funding_ema_at_entry,exit_reason
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T17:30:00,46345.55,163.56,2022-01-05T18:00:00,45978.96,164.38,0.01212337950641198,2,3.4285315463761434,2.32942393755414,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T18:30:00,45974.33,163.89,2022-01-05T19:00:00,45919.99,162.0,-0.011150161270838987,2,2.5054327609449283,3.219498421425478,0.0001,regime_break
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T19:30:00,45957.89,158.65,2022-01-05T20:00:00,44706.0,158.1,0.022973185676134957,2,4.600302686865313,2.784862667503539,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T20:30:00,44170.63,156.3,2022-01-05T21:00:00,44176.27,156.43,-9.595280996763588e-05,2,2.68001387908212,2.5793223756990136,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T21:30:00,43888.23,153.4,2022-01-05T22:00:00,43741.67,150.0,-0.019624884496263182,2,3.3719217927228624,4.412444357130911,0.0001,regime_break
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T22:30:00,43188.71,151.58,2022-01-05T23:00:00,43470.06,154.97,0.01504999404425802,2,2.8374493311641595,1.8185366340522369,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T01:00:00,43689.46,153.27,2022-01-06T01:30:00,43596.07,152.49,-0.0037514720216161638,2,2.6721090837723454,2.7884002487915267,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T02:00:00,43502.38,150.85,2022-01-06T02:30:00,43278.0,150.86,0.004424169735926986,2,3.2202229842322083,2.845906076131173,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T03:00:00,43239.69,150.21,2022-01-06T03:30:00,43083.35,148.12,-0.011098194343591028,2,2.973501537520195,3.4513307611038937,0.0001,regime_break
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T04:00:00,42921.42,148.46,2022-01-06T04:30:00,42853.92,149.48,0.007643178871022971,2,3.0297186084008976,2.512166078681072,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T05:30:00,43135.16,149.34,2022-01-06T06:00:00,42991.79,149.5,0.0035951194274953754,2,2.8133136433035637,2.52871548321589,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T06:30:00,43124.01,149.43,2022-01-06T07:00:00,43020.21,150.34,0.0076968197151840115,2,2.6537369037972662,2.1789991211561253,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T08:00:00,43270.0,149.89,2022-01-06T08:30:00,43100.24,149.69,0.0017889606464817306,2,2.529913914155809,2.3535149353250966,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T09:00:00,43038.51,148.19,2022-01-06T09:30:00,42789.97,147.05,-0.0027179986051071073,2,2.713775480982531,2.738506339439708,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T11:00:00,42915.17,147.67,2022-01-06T11:30:00,42772.28,147.56,0.0017846876653949914,2,2.5292020797374506,2.362836636436115,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T12:00:00,42948.0,146.39,2022-01-06T12:30:00,42705.78,149.05,0.023010483602756062,2,2.8365501771285095,1.7594242634405484,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T02:30:00,42948.33,144.92,2022-01-07T03:00:00,42782.28,141.16,-0.022879075428770077,2,2.625312217496996,3.4244931874885705,0.0001,regime_break
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T03:30:00,42205.74,139.63,2022-01-07T04:00:00,41858.82,138.63,0.00025795032402733465,2,3.212438647022193,3.0793173346586347,0.0001,regime_break
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T05:30:00,41847.79,140.05,2022-01-07T06:00:00,41831.99,138.09,-0.014417443017935216,2,2.5287221790643066,2.949522803537636,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T06:30:00,41650.79,137.15,2022-01-07T07:00:00,41513.53,137.73,0.0067244421247285805,2,2.9565689785283995,2.6305197139591856,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T08:30:00,42413.53,139.59,2022-01-07T09:00:00,42095.7,141.53,0.02059144301529139,2,2.7509666927073693,2.005441467682335,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T10:30:00,42336.59,139.11,2022-01-07T11:00:00,42199.99,139.01,0.0017076678579759593,2,2.608630179824723,2.478162144532589,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T13:30:00,42679.44,137.99,2022-01-07T14:00:00,41480.86,140.15,0.042936619519416984,2,2.8178417709306656,1.486234643317147,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-10T17:00:00,41971.0,132.92,2022-01-10T18:30:00,41295.01,133.7,0.021174312286316856,4,3.110839339305624,2.01062415571018,9.053185185185185e-05,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-10T19:30:00,41509.99,132.64,2022-01-10T20:00:00,41427.97,132.73,0.001854438242831514,2,2.608361826134234,2.4394787691874678,9.053185185185185e-05,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2022-01-13T15:30:00,43259.55,154.95,2022-01-13T16:00:00,43178.18,154.51,0.00015865373847026088,2,-2.5940945456772564,-2.5038346671970815,3.4163343629063116e-05,confluence_lost
