variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,exit_reason
A,ETHUSDT/SOLUSDT,long_spread,2024-07-21T00:00:00+00:00,3534.29,184.473,2024-08-05T00:00:00+00:00,2418.6,129.768,-0.0275921512426192,15,-2.1709777373955066,-4.487864184775139,stop_z
A,ETHUSDT/SOLUSDT,long_spread,2024-08-06T00:00:00+00:00,2459.87,144.328,2024-08-07T00:00:00+00:00,2341.41,144.736,-0.05124019087840419,1,-3.8659095659400173,-4.017609634660692,stop_z
A,ETHUSDT/SOLUSDT,long_spread,2024-08-08T00:00:00+00:00,2681.59,163.069,2024-09-02T00:00:00+00:00,2536.74,134.865,0.14341485056693876,25,-2.35750568122729,-0.4945529411159698,mean_reversion
A,ETHUSDT/SOLUSDT,long_spread,2024-10-22T00:00:00+00:00,2621.78,167.56,2024-10-23T00:00:00+00:00,2523.84,170.81,-0.056072511060962935,1,-2.053275234144248,-3.744684802639317,stop_z
A,ETHUSDT/SOLUSDT,long_spread,2024-10-24T00:00:00+00:00,2535.39,177.1,2024-10-30T00:00:00+00:00,2659.36,174.83,0.06211473776300665,6,-3.610869952510113,-0.04164606319944791,mean_reversion
A,ETHUSDT/SOLUSDT,short_spread,2024-11-09T00:00:00+00:00,3127.03,199.94,2024-11-14T00:00:00+00:00,3061.03,209.65,0.07077305787908257,5,3.057406348337882,0.3388513337018762,mean_reversion
A,ETHUSDT/SOLUSDT,short_spread,2024-11-27T00:00:00+00:00,3655.88,242.05,2025-01-02T00:00:00+00:00,3454.83,208.17,-0.09032265125905718,36,2.6065978246858688,0.36202466174975134,mean_reversion
A,ETHUSDT/SOLUSDT,long_spread,2025-01-18T00:00:00+00:00,3306.7,261.9,2025-02-23T00:00:00+00:00,2818.54,167.84,0.3296544936021652,36,-2.0088502977043463,-0.13875105290635104,mean_reversion
A,ETHUSDT/SOLUSDT,long_spread,2025-04-08T00:00:00+00:00,1472.67,105.32,2025-05-02T00:00:00+00:00,1841.22,147.93,-0.11026713304772322,24,-2.032717225525156,-0.46360320006831574,mean_reversion
A,ETHUSDT/SOLUSDT,short_spread,2025-05-09T00:00:00+00:00,2344.3,172.74,2025-06-28T00:00:00+00:00,2434.8,150.67,-0.16058472899774717,50,2.1092363291946223,0.37782956323702604,mean_reversion
A,ETHUSDT/SOLUSDT,short_spread,2025-07-09T00:00:00+00:00,2767.7,156.99,2025-07-10T00:00:00+00:00,2950.62,164.29,-0.01877666898566648,1,2.8291245656669624,4.12419942292944,stop_z
A,ETHUSDT/SOLUSDT,short_spread,2025-07-11T00:00:00+00:00,2956.93,162.87,2025-07-15T00:00:00+00:00,3137.62,163.99,-0.05150759972598666,4,3.7020170133138524,3.5183709456023537,stop_z
A,ETHUSDT/SOLUSDT,short_spread,2025-07-16T00:00:00+00:00,3370.55,173.64,2025-07-17T00:00:00+00:00,3476.65,175.82,-0.01874631590442726,1,3.9261775573631303,3.7198087033452008,stop_z
A,ETHUSDT/SOLUSDT,short_spread,2025-07-18T00:00:00+00:00,3546.36,177.21,2025-07-22T00:00:00+00:00,3746.01,205.78,0.09893188584229713,4,3.3663395407387053,0.3514582379587871,mean_reversion
