pair_key,p_value,alpha,beta,r_squared,n_obs,selected
BTCUSDT-SOLUSDT,0.04800408733438447,7.729641262745384,0.7861989196056383,0.8140063426549465,88,True
ETHUSDT-SOLUSDT,0.2178075409095802,2.6931746776712298,1.1245506765201583,0.8627897421695484,88,False
BTCUSDT-ETHUSDT,0.4081542698854447,6.260389634136298,0.6449449263975132,0.802899623115485,88,False
