symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry
ETHUSDT,short,2024-04-23T13:35:00+00:00,3187.677408,2024-04-23T14:05:00+00:00,3222.6953320000002,atr_trailing>entry+3.0*ATR,-10.985403953397865,-0.010985403953397865,6,6.264134877285588
ETHUSDT,short,2024-04-23T14:10:00+00:00,3231.89625,2024-04-23T17:10:00+00:00,3227.544362,vwap_retouch,1.3463953019913042,0.001346543225204,36,10.079773959393705
ETHUSDT,long,2024-04-23T20:05:00+00:00,3212.6123939999998,2024-04-23T22:00:00+00:00,3213.6471420000003,vwap_retouch,0.322058229770695,0.00032208927598387227,23,5.96367023774292
ETHUSDT,short,2024-04-24T03:35:00+00:00,3244.158702,2024-04-24T04:55:00+00:00,3269.3559980000005,atr_trailing>entry+3.0*ATR,-7.766250265405226,-0.00776697391051373,16,6.323490354293102
ETHUSDT,short,2024-04-24T05:00:00+00:00,3269.4737640000003,2024-04-24T13:00:00+00:00,3259.3779940000004,vwap_retouch,3.0873608562010237,0.0030878883663676415,96,7.605392152848619
ETHUSDT,long,2024-04-24T13:30:00+00:00,3246.509172,2024-04-24T14:30:00+00:00,3200.1198480000003,atr_trailing<entry-3.0*ATR,-14.286986103273527,-0.0142889859668629,12,8.839020879031084
ETHUSDT,long,2024-04-24T14:35:00+00:00,3199.5097739999997,2024-04-24T18:00:00+00:00,3171.245624,atr_trailing<entry-3.0*ATR,-8.831401713246743,-0.008833900189860633,41,12.335996965094122
ETHUSDT,long,2024-04-24T18:45:00+00:00,3135.907056,2024-04-24T21:25:00+00:00,3139.661942,vwap_retouch,1.196939939875051,0.0011973843398247475,32,10.863537713739507
ETHUSDT,long,2024-04-25T08:35:00+00:00,3128.7056159999997,2024-04-25T10:15:00+00:00,3091.3816,atr_trailing<entry-3.0*ATR,-11.925254340000796,-0.01192953910688399,20,7.938343503049971
ETHUSDT,long,2024-04-25T10:20:00+00:00,3080.055888,2024-04-25T18:20:00+00:00,3165.3268080000003,time_stop>=96b,27.67161614057217,0.027684861281971784,96,10.617430737051823
ETHUSDT,short,2024-04-25T20:00:00+00:00,3176.73522,2024-04-26T04:00:00+00:00,3137.5723599999997,time_stop>=96b,12.32553479497312,0.012328021471049833,96,7.373663237312313
ETHUSDT,long,2024-04-26T07:35:00+00:00,3131.156106,2024-04-26T12:10:00+00:00,3136.052664,vwap_retouch,1.5636952231450427,0.0015638179107764216,55,5.961047207996604
ETHUSDT,long,2024-04-26T12:50:00+00:00,3119.163708,2024-04-26T18:20:00+00:00,3146.380598,vwap_retouch,8.725152914526086,0.008725701036529365,66,7.829848886814001
ETHUSDT,long,2024-04-27T00:25:00+00:00,3115.332942,2024-04-27T00:40:00+00:00,3087.8523059999998,atr_trailing<entry-3.0*ATR,-8.82130673965413,-0.008821091200081455,3,6.245316812279537
ETHUSDT,long,2024-04-27T00:45:00+00:00,3099.039684,2024-04-27T02:05:00+00:00,3104.309014,vwap_retouch,1.7002021488318522,0.001700310592086085,16,8.772518312044884
ETHUSDT,short,2024-04-27T02:25:00+00:00,3125.5949939999996,2024-04-27T10:25:00+00:00,3117.316412,time_stop>=96b,2.6485180495237173,0.0026486419436591024,96,9.968060474475296
ETHUSDT,short,2024-04-27T11:25:00+00:00,3126.37515,2024-04-27T13:20:00+00:00,3144.17104,atr_trailing>entry+3.0*ATR,-5.692064465885949,-0.00569217996758975,23,5.098527398770212
