dt,equity
2022-01-01 00:00:00,100000.0
2022-01-01 04:00:00,100000.0
2022-01-01 08:00:00,100000.0
2022-01-01 12:00:00,100000.0
2022-01-01 16:00:00,100000.0
2022-01-01 20:00:00,100000.0
2022-01-02 00:00:00,100000.0
2022-01-02 04:00:00,100000.0
2022-01-02 08:00:00,100000.0
2022-01-02 12:00:00,100000.0
2022-01-02 16:00:00,100000.0
2022-01-02 20:00:00,100000.0
2022-01-03 00:00:00,99584.7780614107
2022-01-03 04:00:00,100491.99570020747
2022-01-03 08:00:00,100034.04065409776
2022-01-03 12:00:00,100233.7383340447
2022-01-03 16:00:00,101197.22817131446
2022-01-03 20:00:00,102332.73708684323
2022-01-04 00:00:00,102654.35786348174
2022-01-04 04:00:00,102477.07756341429
2022-01-04 08:00:00,102458.77766147185
2022-01-04 12:00:00,103919.10983647901
2022-01-04 16:00:00,101410.87952649253
2022-01-04 20:00:00,100013.70065817061
2022-01-05 00:00:00,100013.70065817061
2022-01-05 04:00:00,100013.70065817061
2022-01-05 08:00:00,100013.70065817061
2022-01-05 12:00:00,100013.70065817061
2022-01-05 16:00:00,100013.70065817061
2022-01-05 20:00:00,99708.70793264284
2022-01-06 00:00:00,100735.09872019252
2022-01-06 04:00:00,100927.79189297301
2022-01-06 08:00:00,100463.80701640947
2022-01-06 12:00:00,100966.74541713558
2022-01-06 16:00:00,100396.27220824597
2022-01-06 20:00:00,101311.56477895328
2022-01-07 00:00:00,100743.62700654763
2022-01-07 04:00:00,101719.53955864404
2022-01-07 08:00:00,101698.79507832078
2022-01-07 12:00:00,101682.89097673963
2022-01-07 16:00:00,100034.1292793005
2022-01-07 20:00:00,100034.1292793005
2022-01-08 00:00:00,100034.1292793005
2022-01-08 04:00:00,100034.1292793005
2022-01-08 08:00:00,100034.1292793005
2022-01-08 12:00:00,100034.1292793005
2022-01-08 16:00:00,100034.1292793005
2022-01-08 20:00:00,100034.1292793005
2022-01-09 00:00:00,101587.73778690236
2022-01-09 04:00:00,100008.68484615466
2022-01-09 08:00:00,98977.40786480367
2022-01-09 12:00:00,100810.20290933491
2022-01-09 16:00:00,100699.64042365986
2022-01-09 20:00:00,100415.439674148
2022-01-10 00:00:00,99910.11395328601
2022-01-10 04:00:00,100580.44399116417
2022-01-10 08:00:00,100876.15666977015
2022-01-10 12:00:00,101053.87207516114
2022-01-10 16:00:00,103841.91740265078
2022-01-10 20:00:00,100062.54448841108
2022-01-11 00:00:00,100062.54448841108
2022-01-11 04:00:00,100062.54448841108
2022-01-11 08:00:00,100062.54448841108
2022-01-11 12:00:00,99450.48931192233
