variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,twap_slices_used,cancel_replace_triggered,micro_z_at_entry
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-02T03:45:00,47329.470000,2022-01-02T06:00:00,47035.390000,0.005013,10,micro_z_compressed,4,False,-1.877
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-02T15:00:00,47287.140000,2022-01-02T17:30:00,47590.980000,0.005225,11,micro_z_compressed,4,False,1.941
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-02T20:30:00,46956.180000,2022-01-02T22:45:00,47255.380000,-0.007572,10,micro_z_compressed,4,False,-2.267
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-03T04:30:00,46928.720000,2022-01-03T05:00:00,46770.460000,-0.004572,3,micro_z_compressed,2,False,2.367
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-03T14:00:00,47026.980000,2022-01-03T16:00:00,46625.780000,0.007331,9,micro_z_compressed,4,False,-1.850
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-04T03:15:00,46192.330000,2022-01-04T04:30:00,46139.070000,-0.002353,6,micro_z_extreme_cut,4,False,2.301
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-04T05:15:00,46268.820000,2022-01-04T06:45:00,46367.530000,0.000933,7,micro_z_compressed,4,False,2.998
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-04T19:45:00,46052.360000,2022-01-04T20:15:00,46403.210000,-0.008819,3,micro_z_compressed,2,False,-1.935
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-04T21:15:00,46125.720000,2022-01-04T22:45:00,46159.910000,-0.001941,7,micro_z_compressed,4,False,-2.129
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-05T02:15:00,46282.410000,2022-01-05T05:45:00,46302.800000,-0.000759,15,micro_z_compressed,4,False,2.318
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-05T18:00:00,45781.080000,2022-01-05T21:00:00,44185.540000,0.033652,13,micro_z_compressed,4,False,-2.775
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-06T05:00:00,43133.290000,2022-01-06T10:30:00,42746.620000,-0.010165,23,micro_z_compressed,4,False,2.210
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-06T17:00:00,42847.890000,2022-01-06T21:30:00,43121.770000,0.005192,19,micro_z_compressed,4,False,2.097
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-07T00:30:00,42765.760000,2022-01-07T05:45:00,41851.330000,0.020182,22,micro_z_compressed,4,False,-1.850
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-07T10:30:00,42324.790000,2022-01-07T14:00:00,41720.720000,-0.015472,15,micro_z_compressed,4,False,1.924
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-07T15:45:00,41319.110000,2022-01-07T16:45:00,42135.260000,-0.020952,5,micro_z_compressed,4,False,-2.053
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-07T22:00:00,41700.000000,2022-01-08T00:45:00,41991.890000,-0.008200,12,micro_z_compressed,4,False,-2.536
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-08T13:00:00,41844.210000,2022-01-08T15:30:00,41680.000000,0.002724,11,micro_z_compressed,4,False,-2.459
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-08T22:00:00,41966.270000,2022-01-09T00:15:00,41474.370000,-0.012921,10,micro_z_compressed,4,False,2.285
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-09T05:15:00,41855.270000,2022-01-09T08:00:00,41836.110000,-0.000742,12,micro_z_compressed,4,False,-1.941
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-10T03:00:00,41910.310000,2022-01-10T05:45:00,42031.290000,-0.004087,12,micro_z_compressed,4,False,-2.643
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-10T08:00:00,41933.180000,2022-01-10T09:00:00,41785.010000,-0.004733,5,micro_z_compressed,4,False,2.113
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-10T14:15:00,39903.030000,2022-01-10T14:30:00,40684.290000,-0.020779,2,twap_cancel_replace,1,True,-2.738
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-11T13:30:00,41590.010000,2022-01-11T14:15:00,41369.610000,0.004099,4,twap_cancel_replace,3,True,-1.927
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-11T23:00:00,42874.900000,2022-01-11T23:15:00,42790.010000,-0.003180,2,micro_z_extreme_cut,1,False,3.368
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-12T11:00:00,42784.140000,2022-01-12T11:30:00,43110.780000,-0.008835,3,twap_cancel_replace,2,True,-2.220
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-13T14:30:00,44177.660000,2022-01-13T15:00:00,43779.900000,-0.010204,3,twap_cancel_replace,2,True,2.398
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-14T20:15:00,43051.010000,2022-01-14T23:45:00,43059.960000,-0.000992,15,micro_z_compressed,4,False,2.515
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2022-01-15T04:30:00,42833.350000,2022-01-15T07:15:00,42970.810000,-0.004409,12,micro_z_compressed,4,False,-2.039
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2022-01-15T13:15:00,42873.410000,2022-01-15T21:45:00,43296.720000,0.008673,35,micro_z_compressed,4,False,2.188
