per_symbol_rt_bps,pair_rt_bps,sharpe_daily,annualized_return,max_drawdown_pct,profit_factor,n_trades,win_rate
4.0,8.0,-26.287542805808677,-0.9988946667925975,-0.9999999999999628,0.01528878968614671,40037,0.27219821664959915
12.0,24.0,-39.651484236921064,-0.9999999991778811,-1.0,0.00015332140663715902,40037,0.17718610285485925
22.0,44.0,-43.65408576631034,-1.0,-1.0,0.0,40037,0.10490296475759922
32.0,64.0,-45.66405807074802,-1.0,-1.0,0.0,40037,0.05974473611908984
44.0,88.0,-47.43290742770859,-1.0,-1.0,0.0,40037,0.03172065839098834
60.0,120.0,-49.43573292171027,-1.0,-1.0,0.0,40037,0.01428678472413018
