variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,funding_at_entry,support_level_price,support_distance_atr,near_support
funding_carry_asym,BTCUSDT,long,2024-02-29 16:30:00+00:00,61855.88,2024-02-29 17:30:00+00:00,60960.32,-0.015482170870740105,4,hard_stop,0.00057031,61526.613333333335,0.6471617764050651,True
funding_carry_asym,BTCUSDT,long,2024-02-29 19:45:00+00:00,61600.0,2024-02-29 21:00:00+00:00,61098.09,-0.009152889610389703,5,hard_stop,0.00057031,61990.37333333333,0.6888596746633197,True
funding_carry_asym,BTCUSDT,long,2024-02-29 22:45:00+00:00,61224.02,2024-03-01 00:45:00+00:00,61501.11,0.0035178380615975644,8,time_stop,0.00057031,61563.950000000004,0.6562138042866911,True
funding_carry_asym,BTCUSDT,long,2024-03-01 06:15:00+00:00,61668.57,2024-03-01 07:30:00+00:00,61422.4,-0.004996822738876549,5,hard_stop,0.00053322,61804.878541666665,0.6823127470049495,True
funding_carry_asym,BTCUSDT,long,2024-03-01 08:45:00+00:00,61908.62,2024-03-01 10:45:00+00:00,61991.11,0.0003244477269884838,8,time_stop,0.00064824,61822.916666666664,0.35114448710746987,True
funding_carry_asym,BTCUSDT,long,2024-03-01 15:15:00+00:00,61878.11,2024-03-01 15:45:00+00:00,61263.99,-0.010926672877048125,2,hard_stop,0.00064824,61570.833333333336,0.9812152495040938,True
funding_carry_asym,BTCUSDT,long,2024-03-01 17:00:00+00:00,61680.39,2024-03-01 18:15:00+00:00,62240.31,0.008072763613362321,5,take_profit,0.0004601,61624.68958333333,0.1646021195337083,True
funding_carry_asym,BTCUSDT,long,2024-03-02 00:30:00+00:00,62175.49,2024-03-02 02:30:00+00:00,62033.98,-0.0032839772379757905,8,time_stop,0.00033426,62020.525,0.7049265021249908,True
funding_carry_asym,BTCUSDT,long,2024-03-02 03:45:00+00:00,62307.45,2024-03-02 04:45:00+00:00,62035.95,-0.005361424352946504,4,hard_stop,0.00033426,62365.488541666666,0.28113319124545855,True
funding_carry_asym,BTCUSDT,long,2024-03-02 06:15:00+00:00,62252.64,2024-03-02 06:45:00+00:00,61946.0,-0.005927734876464638,2,hard_stop,0.00033426,62278.204583333325,0.14260607340463924,True
funding_carry_asym,BTCUSDT,long,2024-03-02 08:30:00+00:00,62073.46,2024-03-02 09:15:00+00:00,61835.62,-0.004834589217034082,3,hard_stop,0.00057174,62212.221666666665,0.7749203537940271,True
funding_carry_asym,BTCUSDT,long,2024-03-02 10:30:00+00:00,61991.9,2024-03-02 11:45:00+00:00,61826.32,-0.0036759941137471603,5,hard_stop,0.00057174,62080.25583333333,0.5353902376036452,True
funding_carry_asym,BTCUSDT,long,2024-03-02 13:00:00+00:00,61953.5,2024-03-02 13:45:00+00:00,61803.69,-0.003421103900506008,3,hard_stop,0.00057174,61816.32416666666,0.8993241081115373,True
funding_carry_asym,BTCUSDT,long,2024-03-02 15:00:00+00:00,61962.22,2024-03-02 15:45:00+00:00,61771.2,-0.004085846289238939,3,hard_stop,0.00057174,61796.746875,0.9950790995155012,True
funding_carry_asym,BTCUSDT,long,2024-03-02 17:00:00+00:00,61841.1,2024-03-02 19:00:00+00:00,61976.6,0.0011830994468079537,8,time_stop,0.00056396,61796.746875,0.25586619169864466,True
funding_carry_asym,BTCUSDT,long,2024-03-02 20:15:00+00:00,61851.1,2024-03-02 22:15:00+00:00,61877.1,-0.0005876356087442991,8,time_stop,0.00056396,61954.573333333334,0.8081013185468806,True
funding_carry_asym,BTCUSDT,long,2024-03-02 23:30:00+00:00,62037.62,2024-03-03 00:00:00+00:00,61828.8,-0.004368022100783406,2,hard_stop,0.00056396,61945.615000000005,0.8462675584405117,True
funding_carry_asym,BTCUSDT,long,2024-03-03 03:00:00+00:00,61877.24,2024-03-03 04:15:00+00:00,62090.79,0.0024461881913286137,5,take_profit,0.00046267,61957.35166666667,0.7747154701793852,True
funding_carry_asym,BTCUSDT,long,2024-03-03 05:30:00+00:00,61934.0,2024-03-03 06:00:00+00:00,61833.03,-0.00263228385055064,2,hard_stop,0.00046267,61957.35166666667,0.2648031600234665,True
funding_carry_asym,BTCUSDT,long,2024-03-03 09:00:00+00:00,61826.24,2024-03-03 10:00:00+00:00,61622.71,-0.004295967941120077,4,hard_stop,0.00042989,61957.35166666667,0.6335886469986762,True
funding_carry_asym,BTCUSDT,long,2024-03-03 11:30:00+00:00,61768.54,2024-03-03 12:00:00+00:00,62242.0,0.006663067038981288,2,take_profit,0.00042989,61874.717500000006,0.8061111050856629,True
funding_carry_asym,BTCUSDT,long,2024-03-03 14:45:00+00:00,62102.68,2024-03-03 16:15:00+00:00,62398.35,0.0037549861603394866,6,take_profit,0.00042989,61874.717500000006,0.936636066420509,True
funding_carry_asym,BTCUSDT,long,2024-03-05 09:30:00+00:00,66368.07,2024-03-05 10:30:00+00:00,67028.44,0.008946116072382274,4,take_profit,0.00082969,66182.668125,0.4777633644832557,True
funding_carry_asym,BTCUSDT,long,2024-03-05 12:00:00+00:00,67029.7,2024-03-05 13:00:00+00:00,67832.03,0.010965768624952913,4,take_profit,0.00082969,66762.15000000001,0.8993795560848296,True
funding_carry_asym,BTCUSDT,long,2024-03-05 15:15:00+00:00,67170.01,2024-03-05 16:00:00+00:00,65385.39,-0.02757170231223718,3,hard_stop,0.00082969,66823.98333333334,0.5549040428280071,True
funding_carry_asym,BTCUSDT,long,2024-03-06 05:15:00+00:00,65759.64,2024-03-06 07:15:00+00:00,66076.92,0.0038168439316274092,8,time_stop,0.0003628,66084.79166666666,0.6536359428763513,True
funding_carry_asym,BTCUSDT,long,2024-03-06 09:00:00+00:00,67072.75,2024-03-06 09:45:00+00:00,66120.14,-0.015205638180184968,3,hard_stop,0.00033876,66917.70833333334,0.3000048835593403,True
funding_carry_asym,BTCUSDT,long,2024-03-06 11:00:00+00:00,66574.4,2024-03-06 11:45:00+00:00,67301.31,0.00991576156600735,3,take_profit,0.00033876,66917.70833333334,0.6670529563886115,True
funding_carry_asym,BTCUSDT,long,2024-03-06 13:45:00+00:00,66327.48,2024-03-06 15:45:00+00:00,66481.12,0.0013083853051555439,8,time_stop,0.00033876,66917.70833333334,0.9233436992390242,True
funding_carry_asym,BTCUSDT,long,2024-03-06 17:00:00+00:00,67001.56,2024-03-06 19:00:00+00:00,66881.11,-0.002805719336684045,8,time_stop,0.00049354,66917.70833333334,0.13857292827416656,True
funding_carry_asym,BTCUSDT,long,2024-03-06 20:15:00+00:00,66916.84,2024-03-06 21:15:00+00:00,66481.11,-0.0075155148892266325,4,hard_stop,0.00049354,67125.9375,0.4952578250961478,True
funding_carry_asym,BTCUSDT,long,2024-03-07 00:00:00+00:00,66250.0,2024-03-07 00:15:00+00:00,65819.99,-0.007491716981132017,1,hard_stop,0.00049354,66501.25,0.8377912321902388,True
funding_carry_asym,BTCUSDT,long,2024-03-07 01:45:00+00:00,66410.0,2024-03-07 02:15:00+00:00,65951.18,-0.00791089926215943,2,hard_stop,0.00030311,66501.25,0.2450176546967629,True
funding_carry_asym,BTCUSDT,long,2024-03-07 07:30:00+00:00,66300.0,2024-03-07 08:00:00+00:00,66766.06,0.006027562594268457,2,take_profit,0.00030311,66501.25,0.8031069621606247,True
