symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry,risk_per_trade
BTCUSDT,long,2022-02-11,43284.098905,2022-02-11,42645.63545,stop,-1361.8114687532236,-0.014750531284047241,61,312.08783733347957,0.01
BTCUSDT,long,2022-02-13,42556.198690000005,2022-02-13,42284.248345,stop,-630.33565560336,-0.006390381504255638,2,110.92292158141582,0.01
BTCUSDT,long,2022-02-13,42656.779335,2022-02-13,42407.02390500001,stop,-573.8359487034224,-0.005854999695091068,5,115.00523242337606,0.01
BTCUSDT,long,2022-02-13,42775.62734,2022-02-13,42304.26827,stop,-1073.6583063996368,-0.011019337396350082,2,153.1373449733175,0.01
BTCUSDT,long,2022-02-17,43375.996545,2022-02-17,43047.012480000005,stop,-730.8425168043113,-0.007584472777673157,4,170.99246818472915,0.01
BTCUSDT,long,2022-03-03,42489.709105,2022-03-04,41540.95496,stop,-2135.3146843993613,-0.02232903366449157,11,258.7029038321865,0.01
BTCUSDT,long,2022-03-04,41754.367745,2022-03-04,41238.040015,stop,-1156.1341098929722,-0.012365837585023298,1,176.20756749590566,0.01
BTCUSDT,long,2022-03-21,41090.162930000006,2022-03-21,40820.69697,stop,-605.5455656010181,-0.006557918995333867,1,135.04514438689787,0.01
BTCUSDT,long,2022-03-21,41163.663015000006,2022-03-21,40873.41777,stop,-646.806583717004,-0.00705100624534416,19,140.59596841509705,0.01
BTCUSDT,long,2022-03-21,41167.829255000004,2022-03-21,40727.526935,stop,-974.1891284926502,-0.01069530086885806,6,197.08756246920333,0.01
BTCUSDT,long,2022-03-22,41195.530745000004,2022-03-22,41631.33918,target,953.2918359128992,0.010579022217182876,5,131.25045017923796,0.01
BTCUSDT,long,2022-04-03,46238.353650000005,2022-04-03,46241.533500000005,trailing,6.262603190585151,6.87708309008439e-05,49,153.56017312674214,0.01
BTCUSDT,long,2022-04-04,46253.4763,2022-04-04,45937.57013000001,stop,-622.0054908450564,-0.00682989031896819,7,156.751693115904,0.01
BTCUSDT,long,2022-07-10,20951.920810000003,2022-07-10,20803.597725,trailing,-640.3081587637116,-0.007079211798529328,9,90.40399220452892,0.01
BTCUSDT,long,2022-07-11,20656.047665000002,2022-07-11,20521.241895,trend_reversal,-586.1111554552937,-0.00652621315492119,4,105.08849214546497,0.01
BTCUSDT,long,2022-07-23,22884.79578,2022-07-23,22719.40969,trailing,-644.8030518523577,-0.007226898224913958,22,102.1576656628165,0.01
BTCUSDT,long,2022-07-24,22656.553930000002,2022-07-24,22392.86025,stop,-1030.9343598501953,-0.01163873733025389,6,110.89619738302189,0.01
BTCUSDT,long,2022-07-24,22605.908075,2022-07-24,22469.465170000003,trailing,-528.4085828686075,-0.006035718828339753,22,90.23238702777091,0.01
BTCUSDT,long,2022-07-31,23434.839610000003,2022-08-01,23137.271955,stop,-1104.9315589672447,-0.01269766125785754,27,129.95441082005166,0.01
BTCUSDT,long,2022-08-01,23302.902000000002,2022-08-01,23017.26224,stop,-1053.1020485213105,-0.012257690479923977,12,81.03621712787181,0.01
BTCUSDT,long,2022-08-01,23279.697245000003,2022-08-01,23143.25297,trailing,-497.3744293492224,-0.005861084599341426,13,120.00393465409624,0.01
BTCUSDT,long,2022-08-12,23858.444065,2022-08-12,24142.431950000002,target,1004.1769169809697,0.011903034591287831,22,86.57979793580958,0.01
