symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_1h_at_entry,ema50_4h_at_entry,ema50_4h_slope_at_entry
BTCUSDT,short,2023-07-16,30282.925374,2023-07-16,30314.965794,rsi_cross_back,-5.284587853030542,-0.0010569175706061085,4,79.98190149229927,30513.19725672503,-0.00017820794985746666
BTCUSDT,short,2023-07-16,30238.036398,2023-07-17,30306.597468,rsi_cross_back,-11.310647277776646,-0.00226224900609151,4,87.96370773855418,30502.990697637775,-0.00033449654591689176
BTCUSDT,short,2023-07-17,30302.499288,2023-07-17,30280.582672,rsi_cross_back,3.6183218670855797,0.0007237844871545995,9,86.26706898050489,30485.31603422849,-0.00023111311576173624
BTCUSDT,short,2023-07-17,30180.864966,2023-07-17,30236.541482,rsi_cross_back,-9.205631361634182,-0.001841365224694913,6,107.96653831220972,30464.9270273674,-0.000406092793110217
BTCUSDT,short,2023-07-17,30112.761348,2023-07-18,30161.976398,rsi_cross_back,-8.156649319046581,-0.001631691814574232,2,157.64600531033307,30431.230646946995,-0.000732920329895384
BTCUSDT,short,2023-07-18,30126.023999999998,2023-07-19,30049.308936,rsi_cross_back,12.76099051583588,0.0025529726544921694,22,143.39869813797458,30419.73140589025,-0.0003778763070792932
BTCUSDT,short,2023-07-21,29819.952798000002,2023-07-21,29875.093786,rsi_cross_back,-9.226966047348942,-0.001845717653473633,1,109.43428744913795,30139.197655777924,-0.00048822658309887937
BTCUSDT,short,2023-07-25,29183.3355,2023-07-25,29270.134802,rsi_cross_back,-14.82330639865456,-0.002965456175284431,3,104.41895279782209,29805.28340188257,-0.0009262381172816892
BTCUSDT,short,2023-07-25,29204.669766000003,2023-07-26,29282.712286,rsi_cross_back,-13.320151379161164,-0.0026651397328829596,7,101.89259534933689,29780.82169984796,-0.0008207169750671516
BTCUSDT,short,2023-07-26,29207.030238,2023-07-26,29262.266376,rsi_cross_back,-9.432930756467087,-0.0018876233744253845,1,96.74758667575408,29717.86012638738,-0.0006520374656140461
BTCUSDT,short,2023-07-26,29215.831998,2023-07-26,29223.284174,rsi_cross_back,-1.2742199214573557,-0.0002550081625195544,6,98.71526606225737,29717.86012638738,-0.0006520374656140461
