entry_z,lookback,max_hold,fund_thr,n_trades,sharpe,total_ret,mdd,pf,win_rate
2.3,96,48,0.0001,3761,6.782387377140686,511.1549468321314,-0.1544831756985081,1.8370880607907545,0.6083488433927147
2.3,96,48,5e-05,3761,6.782387377140686,511.1549468321314,-0.1544831756985081,1.8370880607907545,0.6083488433927147
2.3,96,96,0.0001,3761,6.782387377140686,511.1549468321314,-0.1544831756985081,1.8370880607907545,0.6083488433927147
2.3,96,96,5e-05,3761,6.782387377140686,511.1549468321314,-0.1544831756985081,1.8370880607907545,0.6083488433927147
2.3,144,48,0.0001,3694,6.367630217497611,393.9310532870172,-0.15392507149472723,1.7840349577317143,0.6085544125609096
2.3,144,48,5e-05,3694,6.367630217497611,393.9310532870172,-0.15392507149472723,1.7840349577317143,0.6085544125609096
2.3,144,96,0.0001,3694,6.367630217497611,393.9310532870172,-0.15392507149472723,1.7840349577317143,0.6085544125609096
2.3,144,96,5e-05,3694,6.367630217497611,393.9310532870172,-0.15392507149472723,1.7840349577317143,0.6085544125609096
2.5,96,48,0.0001,2784,6.311432881994595,168.4903912805956,-0.10555847273559182,1.9840060988863315,0.615301724137931
2.5,96,48,5e-05,2784,6.311432881994595,168.4903912805956,-0.10555847273559182,1.9840060988863315,0.615301724137931
2.5,96,96,0.0001,2784,6.311432881994595,168.4903912805956,-0.10555847273559182,1.9840060988863315,0.615301724137931
2.5,96,96,5e-05,2784,6.311432881994595,168.4903912805956,-0.10555847273559182,1.9840060988863315,0.615301724137931
2.5,144,48,0.0001,2703,6.1126260614360355,163.8310622982758,-0.15770906174508525,1.9686058762074332,0.6119126896041436
2.5,144,48,5e-05,2703,6.1126260614360355,163.8310622982758,-0.15770906174508525,1.9686058762074332,0.6119126896041436
2.5,144,96,0.0001,2703,6.1126260614360355,163.8310622982758,-0.15770906174508525,1.9686058762074332,0.6119126896041436
2.5,144,96,5e-05,2703,6.1126260614360355,163.8310622982758,-0.15770906174508525,1.9686058762074332,0.6119126896041436
3.0,96,48,0.0001,1249,4.764350096770486,19.956590791532566,-0.11281173712247328,2.3426285606654127,0.6525220176140912
3.0,96,48,5e-05,1249,4.764350096770486,19.956590791532566,-0.11281173712247328,2.3426285606654127,0.6525220176140912
3.0,96,96,0.0001,1249,4.764350096770486,19.956590791532566,-0.11281173712247328,2.3426285606654127,0.6525220176140912
3.0,96,96,5e-05,1249,4.764350096770486,19.956590791532566,-0.11281173712247328,2.3426285606654127,0.6525220176140912
3.0,144,48,0.0001,1173,4.093405472608802,13.066601861819473,-0.14057974885184443,2.1081296222536827,0.6155157715260017
3.0,144,48,5e-05,1173,4.093405472608802,13.066601861819473,-0.14057974885184443,2.1081296222536827,0.6155157715260017
3.0,144,96,0.0001,1173,4.093405472608802,13.066601861819473,-0.14057974885184443,2.1081296222536827,0.6155157715260017
3.0,144,96,5e-05,1173,4.093405472608802,13.066601861819473,-0.14057974885184443,2.1081296222536827,0.6155157715260017
