symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,rv_bps_at_entry
SOLUSDT,long,2024-04-30T04:00:00+00:00,135.0580062,2024-05-03T04:00:00+00:00,137.15956260000002,time_stop>=18b,15.560398521565102,0.0155603985215651,18,6680.754451040758
SOLUSDT,long,2024-05-30T04:00:00+00:00,165.1270188,2024-06-02T00:00:00+00:00,166.2527428,regime_reversal_to_low,6.81838245081098,0.0068173216483939925,17,5718.7118869411015
SOLUSDT,long,2024-06-07T16:00:00+00:00,162.04740299999997,2024-06-10T16:00:00+00:00,160.42190920000002,time_stop>=18b,-10.033221980713767,-0.010030977170303434,18,5937.974989324317
SOLUSDT,short,2024-07-02T16:00:00+00:00,152.7885516,2024-07-05T16:00:00+00:00,134.888017,time_stop>=18b,117.17333748884678,0.11715887357099608,18,5853.713871679225
SOLUSDT,short,2024-07-14T00:00:00+00:00,143.9107764,2024-07-14T04:00:00+00:00,144.65606300000002,regime_reversal_to_low,-5.185517760711288,-0.00517881022285982,1,5512.181182494534
SOLUSDT,short,2024-07-14T08:00:00+00:00,144.868968,2024-07-14T12:00:00+00:00,145.8018338,regime_reversal_to_low,-6.4473826000339125,-0.0064393763059042985,1,5439.095066793578
SOLUSDT,short,2024-07-16T04:00:00+00:00,154.4718882,2024-07-16T16:00:00+00:00,161.8156304,regime_reversal_to_low,-47.59700635060253,-0.04754096221373194,3,6345.732510545859
SOLUSDT,short,2024-07-18T00:00:00+00:00,158.916777,2024-07-21T00:00:00+00:00,173.04438420000002,time_stop>=18b,-88.96189325800052,-0.08889940676307595,18,5843.072012165247
SOLUSDT,short,2024-08-22T08:00:00+00:00,144.4598862,2024-08-23T08:00:00+00:00,143.386317,regime_reversal_to_low,7.430219984898505,0.0074316076818286,6,5509.723583350154
SOLUSDT,short,2024-08-23T12:00:00+00:00,144.36686759999998,2024-08-24T08:00:00+00:00,157.2575422,stop_loss>+4.0*ATR,-89.2810487373436,-0.089291087451703,5,5382.320452634245
SOLUSDT,short,2024-08-26T12:00:00+00:00,157.5625062,2024-08-26T16:00:00+00:00,157.88841599999998,regime_reversal_to_low,-2.066368396628491,-0.002068447677433305,1,5705.672871319669
SOLUSDT,short,2024-08-27T00:00:00+00:00,158.48769119999997,2024-08-27T04:00:00+00:00,157.6504636,regime_reversal_to_low,5.277183868538668,0.0052826032965769265,1,5439.629485755244
SOLUSDT,long,2024-08-27T20:00:00+00:00,146.7563454,2024-08-30T20:00:00+00:00,137.89341579999999,time_stop>=18b,-60.33336957636608,-0.06039213892825657,18,7500.251781862947
SOLUSDT,short,2024-09-19T00:00:00+00:00,137.99059259999999,2024-09-20T04:00:00+00:00,150.9927954,stop_loss>+4.0*ATR,-94.0767415049327,-0.09422528416621945,7,5908.352749580122
SOLUSDT,short,2024-09-21T00:00:00+00:00,145.954185,2024-09-24T00:00:00+00:00,146.53868640000002,time_stop>=18b,-3.9946101948232684,-0.004004690924073406,18,6929.865089440172
SOLUSDT,short,2024-09-26T04:00:00+00:00,151.7943528,2024-09-29T00:00:00+00:00,157.7554426,regime_reversal_to_low,-39.170404776492326,-0.03927082720827024,17,5626.809081543645
SOLUSDT,short,2024-09-29T08:00:00+00:00,156.72033779999998,2024-09-29T16:00:00+00:00,159.36812,regime_reversal_to_low,-16.845128360183168,-0.016894949546235827,2,5636.515628200565
SOLUSDT,short,2024-09-29T20:00:00+00:00,158.416677,2024-09-30T00:00:00+00:00,156.0757786,regime_reversal_to_low,14.730778901412773,0.014776843223393676,1,4971.156984287474
SOLUSDT,long,2024-10-01T12:00:00+00:00,149.5559052,2024-10-04T12:00:00+00:00,142.3355272,time_stop>=18b,-48.13539990267334,-0.04827878906114913,18,5980.670705435037
SOLUSDT,long,2024-10-07T20:00:00+00:00,143.93778179999998,2024-10-08T00:00:00+00:00,144.6170708,regime_reversal_to_low,4.7030356344067545,0.004719323804391218,1,5669.526916422645
SOLUSDT,long,2024-10-08T04:00:00+00:00,143.048604,2024-10-08T08:00:00+00:00,144.3721198,regime_reversal_to_low,9.220712788000151,0.009252210528387872,1,5216.960805561952
SOLUSDT,short,2024-10-18T12:00:00+00:00,154.68093,2024-10-19T00:00:00+00:00,154.459102,regime_reversal_to_low,1.4293505638413364,0.0014341005061192513,3,5583.141837419008
SOLUSDT,short,2024-10-19T04:00:00+00:00,154.500894,2024-10-19T08:00:00+00:00,153.739246,regime_reversal_to_low,4.91347449083324,0.004929731992359687,1,4820.194255833129
SOLUSDT,short,2024-10-22T04:00:00+00:00,167.14342200000002,2024-10-22T16:00:00+00:00,168.376318,regime_reversal_to_low,-7.3523125291727744,-0.007376275926670894,3,5740.2991726967375
SOLUSDT,short,2024-10-22T20:00:00+00:00,167.593512,2024-10-23T00:00:00+00:00,165.41691,regime_reversal_to_low,12.944241039442275,0.012987388199132699,1,5179.9901634033295
SOLUSDT,short,2024-10-23T16:00:00+00:00,173.054604,2024-10-26T16:00:00+00:00,171.405712,time_stop>=18b,9.49773881385043,0.009528160256285445,18,5658.488697857568
SOLUSDT,short,2024-10-29T20:00:00+00:00,179.43588,2024-10-30T00:00:00+00:00,180.093974,regime_reversal_to_low,-3.656210486984335,-0.003667571948263726,1,5508.312437666536
SOLUSDT,short,2024-10-30T04:00:00+00:00,178.745742,2024-10-30T08:00:00+00:00,175.654862,regime_reversal_to_low,17.237848468054317,0.01729204827715558,1,5211.259877269907
SOLUSDT,long,2024-11-04T16:00:00+00:00,159.57190799999998,2024-11-07T16:00:00+00:00,197.020588,time_stop>=18b,233.98703136563458,0.2346821597194917,18,5665.249380534891
SOLUSDT,long,2024-12-02T00:00:00+00:00,228.615714,2024-12-05T00:00:00+00:00,233.143362,time_stop>=18b,19.79230185240358,0.01980462287907292,18,6318.825018154146
SOLUSDT,long,2024-12-16T08:00:00+00:00,214.07280599999999,2024-12-19T08:00:00+00:00,210.287934,time_stop>=18b,-17.672802566704338,-0.017680302653668156,18,5916.545740273928
SOLUSDT,short,2025-01-06T20:00:00+00:00,218.153622,2025-01-07T00:00:00+00:00,217.226546,regime_reversal_to_low,4.247093768953912,0.004249647525907174,1,5534.81253699384
SOLUSDT,long,2025-01-10T00:00:00+00:00,189.057804,2025-01-13T00:00:00+00:00,184.91300999999999,time_stop>=18b,-21.911178479387793,-0.021923421896934858,18,6415.677007799802
SOLUSDT,long,2025-02-17T08:00:00+00:00,184.206834,2025-02-17T12:00:00+00:00,180.21395,regime_reversal_to_low,-21.659235696559215,-0.021676090475557408,1,5626.459092404201
SOLUSDT,long,2025-02-18T16:00:00+00:00,165.223038,2025-02-21T16:00:00+00:00,168.32632800000002,time_stop>=18b,18.763756246829303,0.018782429118631816,18,7892.685796074378
SOLUSDT,long,2025-04-01T16:00:00+00:00,126.745344,2025-04-02T04:00:00+00:00,124.42511,regime_reversal_to_low,-18.29150160264495,-0.018306266145760697,3,5562.499667437849
SOLUSDT,long,2025-04-02T08:00:00+00:00,125.655126,2025-04-05T08:00:00+00:00,120.195956,time_stop>=18b,-43.402673873807004,-0.043445660943430164,18,4826.352542416154
SOLUSDT,short,2025-04-22T16:00:00+00:00,144.19883399999998,2025-04-25T16:00:00+00:00,151.279738,time_stop>=18b,-49.0352407212743,-0.04910514047568526,18,5751.315565460941
SOLUSDT,long,2025-04-28T12:00:00+00:00,146.249244,2025-04-29T00:00:00+00:00,147.350524,regime_reversal_to_low,7.515747187804637,0.007530158583247015,3,5604.232174631171
SOLUSDT,long,2025-04-29T04:00:00+00:00,148.849764,2025-04-29T08:00:00+00:00,148.900214,regime_reversal_to_low,0.3383091644826589,0.0003389323479210393,1,5418.5489247926735
SOLUSDT,long,2025-04-30T00:00:00+00:00,148.139622,2025-04-30T04:00:00+00:00,146.280738,regime_reversal_to_low,-12.525159688001892,-0.012548189167108759,1,5601.95998670397
SOLUSDT,long,2025-04-30T08:00:00+00:00,147.869568,2025-05-03T08:00:00+00:00,147.000594,time_stop>=18b,-5.865103672653483,-0.0058766249996752284,18,5460.712878534936
SOLUSDT,short,2025-05-10T08:00:00+00:00,168.943782,2025-05-13T08:00:00+00:00,173.895214,time_stop>=18b,-29.24898496297027,-0.029308163587814073,18,7247.174102891272
SOLUSDT,long,2025-06-01T20:00:00+00:00,157.651524,2025-06-04T20:00:00+00:00,153.14936400000002,time_stop>=18b,-28.49165268330822,-0.028557668747940412,18,5949.7257499245825
SOLUSDT,short,2025-07-01T00:00:00+00:00,153.88076999999998,2025-07-04T00:00:00+00:00,151.599674,time_stop>=18b,14.785297241481818,0.014823788573452013,18,6493.324058613035
SOLUSDT,short,2025-07-14T00:00:00+00:00,167.113416,2025-07-17T00:00:00+00:00,169.51609000000002,time_stop>=18b,-14.342298395834154,-0.014377505154942405,18,5899.114146489487
SOLUSDT,short,2025-07-22T16:00:00+00:00,198.969786,2025-07-25T16:00:00+00:00,182.08357600000002,time_stop>=18b,84.64821993932415,0.08486821210130857,18,5580.083940114567
SOLUSDT,long,2025-08-01T00:00:00+00:00,171.054204,2025-08-01T04:00:00+00:00,169.29613400000002,regime_reversal_to_low,-10.259911370293796,-0.010277853211955956,1,5451.532066697971
SOLUSDT,long,2025-08-01T16:00:00+00:00,166.44328199999998,2025-08-02T00:00:00+00:00,164.277138,regime_reversal_to_low,-12.990253109322072,-0.013014307180027718,2,5501.568433840416
SOLUSDT,long,2025-08-05T04:00:00+00:00,166.153224,2025-08-08T04:00:00+00:00,177.01459000000003,time_stop>=18b,65.24026428965723,0.06536957718015768,18,5483.106062841034
