variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,cost_pct,net_pnl_pct,bars_held,size_mult,exit_reason,z_entry,z_exit
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,short,2022-07-04 17:00:00+00:00,19740.95,2022-07-04 17:15:00+00:00,19979.97,-0.012107826624351947,0.003,-0.015107826624351946,1,1.0,hard_stop,2.0160481663306298,2.8290067546749924
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,long,2022-07-05 16:15:00+00:00,19550.62,2022-07-05 17:15:00+00:00,19681.12,0.006674980128507535,0.003,0.003674980128507535,4,1.0,trailing_stop,-2.8508024704119443,-2.2532354846645974
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,long,2022-07-06 12:15:00+00:00,19999.38,2022-07-06 12:30:00+00:00,20159.17,0.007989747682177972,0.003,0.004989747682177972,1,1.0,trailing_stop,-2.119608088940459,-1.7209581825994646
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,short,2022-07-08 01:15:00+00:00,21699.33,2022-07-08 01:30:00+00:00,22144.14,-0.02049878959396434,0.003,-0.02349878959396434,1,1.0,hard_stop,3.198010450750785,2.49804613091321
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,long,2022-07-12 00:15:00+00:00,19988.03,2022-07-12 00:30:00+00:00,19836.96,-0.007558023477051035,0.003,-0.010558023477051034,1,1.0,hard_stop,-3.850807983988031,-3.8293762234059243
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,short,2022-07-14 00:30:00+00:00,20173.65,2022-07-14 01:15:00+00:00,20284.01,-0.0054705023632311,0.003,-0.0084705023632311,3,1.0,hard_stop,2.0499182833387852,1.9787507536327023
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,short,2022-07-14 17:15:00+00:00,20272.92,2022-07-14 17:30:00+00:00,20526.78,-0.01252212310806744,0.003,-0.01552212310806744,1,1.0,hard_stop,2.8077205405661805,2.4533974996809986
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,long,2022-07-18 20:30:00+00:00,21607.27,2022-07-18 22:00:00+00:00,21784.6,0.008206959972268502,0.003,0.0052069599722685015,6,1.0,trailing_stop,-2.105074627936009,-1.4755820049568087
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,short,2022-07-19 16:15:00+00:00,23076.99,2022-07-19 17:45:00+00:00,23460.08,-0.016600518525162977,0.003,-0.019600518525162976,6,1.0,hard_stop,2.2997800416323706,2.6606591146541194
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,long,2022-07-20 16:15:00+00:00,24055.41,2022-07-20 16:30:00+00:00,23626.9,-0.017813456515602843,0.003,-0.020813456515602843,1,1.0,hard_stop,-3.029513966211316,-3.776762599564866
vpvr_edge_zscore_15m_only_v1_20260720,BTCUSDT,short,2022-07-22 08:15:00+00:00,23196.22,2022-07-22 09:00:00+00:00,23434.61,-0.010277105493912364,0.003,-0.013277105493912363,3,1.0,hard_stop,2.41996218753233,2.673469514773079
