date,equity
2026-04-18,100000.0
2026-04-19,98848.33302316377
2026-04-20,96143.45778795362
2026-04-21,95922.80162869768
2026-04-22,96411.31620640025
2026-04-23,96411.31620640025
2026-04-24,95708.69828581868
2026-04-25,95293.67635121528
2026-04-26,95592.63524302187
2026-04-27,92258.93829903392
2026-04-28,92322.33018346259
2026-04-29,92322.33018346259
2026-04-30,92553.02529429866
2026-05-01,92933.86103362337
2026-05-02,93188.20374653314
2026-05-03,93188.20374653314
2026-05-04,93188.20374653314
2026-05-05,93188.20374653314
2026-05-06,91757.95860526776
2026-05-07,88949.10502151256
2026-05-08,89234.12375156293
2026-05-09,89652.30068351215
2026-05-10,89652.30068351215
2026-05-11,89652.30068351215
2026-05-12,89652.30068351215
2026-05-13,89652.30068351215
2026-05-14,89652.30068351215
2026-05-15,89652.30068351215
2026-05-16,89652.30068351215
2026-05-17,89652.30068351215
2026-05-18,89652.30068351215
2026-05-19,89652.30068351215
2026-05-20,89652.30068351215
2026-05-21,89652.30068351215
2026-05-22,89652.30068351215
2026-05-23,89652.30068351215
2026-05-24,89652.30068351215
2026-05-25,89652.30068351215
2026-05-26,89652.30068351215
2026-05-27,89652.30068351215
2026-05-28,89652.30068351215
2026-05-29,89652.30068351215
2026-05-30,89652.30068351215
2026-05-31,89652.30068351215
2026-06-01,89652.30068351215
2026-06-02,89652.30068351215
2026-06-03,89652.30068351215
2026-06-04,89652.30068351215
2026-06-05,84063.78436576719
2026-06-06,83035.60674412055
2026-06-07,86435.23242072396
2026-06-08,86399.53719794855
2026-06-09,85754.09912562206
2026-06-10,86430.84365782213
2026-06-11,86274.55574245112
2026-06-12,86208.36593319294
2026-06-13,86208.36593319294
2026-06-14,86208.36593319294
2026-06-15,86208.36593319294
2026-06-16,86208.36593319294
2026-06-17,86208.36593319294
2026-06-18,86208.36593319294
2026-06-19,86208.36593319294
2026-06-20,86208.36593319294
2026-06-21,86208.36593319294
2026-06-22,86208.36593319294
2026-06-23,86208.36593319294
2026-06-24,86599.12473884663
2026-06-25,86599.12473884663
2026-06-26,86292.52720771587
2026-06-27,86292.52720771587
2026-06-28,86508.95476025941
2026-06-29,86508.95476025941
2026-06-30,86508.95476025941
2026-07-01,86508.95476025941
2026-07-02,86508.95476025941
2026-07-03,86508.95476025941
2026-07-04,86508.95476025941
2026-07-05,86508.95476025941
2026-07-06,86508.95476025941
2026-07-07,86508.95476025941
2026-07-08,86508.95476025941
2026-07-09,86508.95476025941
2026-07-10,86508.95476025941
2026-07-11,86508.95476025941
2026-07-12,86508.95476025941
2026-07-13,86508.95476025941
2026-07-14,86508.95476025941
2026-07-15,86508.95476025941
2026-07-16,86508.95476025941
2026-07-17,86508.95476025941
