date,equity
2026-04-11,100000.0
2026-04-12,100000.0
2026-04-13,100000.0
2026-04-14,100000.0
2026-04-15,100000.0
2026-04-16,100000.0
2026-04-17,100000.0
2026-04-18,100000.0
2026-04-19,100000.0
2026-04-20,100000.0
2026-04-21,100000.0
2026-04-22,100000.0
2026-04-23,100000.0
2026-04-24,99079.02834826506
2026-04-25,99079.02834826506
2026-04-26,99079.02834826506
2026-04-27,99079.02834826506
2026-04-28,98780.64801955891
2026-04-29,98780.64801955891
2026-04-30,98780.64801955891
2026-05-01,98780.64801955891
2026-05-02,98780.64801955891
2026-05-03,98780.64801955891
2026-05-04,98780.64801955891
2026-05-05,98780.64801955891
2026-05-06,98780.64801955891
2026-05-07,98780.64801955891
2026-05-08,98817.91535529341
2026-05-09,98817.91535529341
2026-05-10,99056.98120146996
2026-05-11,99056.98120146996
2026-05-12,96691.57962768791
2026-05-13,96691.57962768791
2026-05-14,96731.00797672206
2026-05-15,95464.00345234464
2026-05-16,95464.00345234464
2026-05-17,94873.67569448407
2026-05-18,92900.9213813953
2026-05-19,92900.9213813953
2026-05-20,92684.21746631387
2026-05-21,92684.21746631387
2026-05-22,92684.21746631387
2026-05-23,94861.59826997388
2026-05-24,96596.24507179596
2026-05-25,96596.24507179596
2026-05-26,96598.14642017373
2026-05-27,97252.03922816613
2026-05-28,97074.38976932978
2026-05-29,97074.38976932978
2026-05-30,97074.38976932978
2026-05-31,97074.38976932978
2026-06-01,97074.38976932978
2026-06-02,97074.38976932978
2026-06-03,98156.91010262514
2026-06-04,94854.74608944092
2026-06-05,86651.84184154173
2026-06-06,83903.3184697579
2026-06-07,83991.61494694627
2026-06-08,86512.67382855693
2026-06-09,86512.67382855693
2026-06-10,86512.67382855693
2026-06-11,86512.67382855693
2026-06-12,86512.67382855693
2026-06-13,86512.67382855693
2026-06-14,85593.5216620016
2026-06-15,85593.5216620016
2026-06-16,85593.5216620016
2026-06-17,85593.5216620016
2026-06-18,85593.5216620016
2026-06-19,85593.5216620016
2026-06-20,85593.5216620016
2026-06-21,85593.5216620016
2026-06-22,85593.5216620016
2026-06-23,84242.0592328431
2026-06-24,85166.92763604419
2026-06-25,86749.48764359535
2026-06-26,86749.48764359535
2026-06-27,86749.48764359535
2026-06-28,86749.48764359535
2026-06-29,86749.48764359535
2026-06-30,86749.48764359535
2026-07-01,86749.48764359535
2026-07-02,86749.48764359535
2026-07-03,86749.48764359535
2026-07-04,86749.48764359535
2026-07-05,86749.48764359535
2026-07-06,86749.48764359535
2026-07-07,86749.48764359535
2026-07-08,86749.48764359535
2026-07-09,86749.48764359535
2026-07-10,86749.48764359535
