date,equity
2026-04-11,100000.0
2026-04-12,99055.4901742673
2026-04-13,99055.4901742673
2026-04-14,99055.4901742673
2026-04-15,99055.4901742673
2026-04-16,99055.4901742673
2026-04-17,99055.4901742673
2026-04-18,99055.4901742673
2026-04-19,99055.4901742673
2026-04-20,99055.4901742673
2026-04-21,99055.4901742673
2026-04-22,99055.4901742673
2026-04-23,99055.4901742673
2026-04-24,99055.4901742673
2026-04-25,99055.4901742673
2026-04-26,99055.4901742673
2026-04-27,99055.4901742673
2026-04-28,98757.1807316832
2026-04-29,98757.1807316832
2026-04-30,98757.1807316832
2026-05-01,98757.1807316832
2026-05-02,98757.1807316832
2026-05-03,98757.1807316832
2026-05-04,98757.1807316832
2026-05-05,98757.1807316832
2026-05-06,98757.1807316832
2026-05-07,98757.1807316832
2026-05-08,98757.1807316832
2026-05-09,98757.1807316832
2026-05-10,98757.1807316832
2026-05-11,98757.1807316832
2026-05-12,98757.1807316832
2026-05-13,98757.1807316832
2026-05-14,98797.45137992899
2026-05-15,98797.45137992899
2026-05-16,98797.45137992899
2026-05-17,98852.24718738525
2026-05-18,96796.76450928795
2026-05-19,96796.76450928795
2026-05-20,96570.97301524816
2026-05-21,96570.97301524816
2026-05-22,96570.97301524816
2026-05-23,98839.66329048939
2026-05-24,100647.05330865114
2026-05-25,100647.05330865114
2026-05-26,100649.03439095296
2026-05-27,101073.50733212044
2026-05-28,100888.87723055395
2026-05-29,100888.87723055395
2026-05-30,100888.87723055395
2026-05-31,100888.87723055395
2026-06-01,100888.87723055395
2026-06-02,100888.87723055395
2026-06-03,102013.93463513748
2026-06-04,98582.01381119063
2026-06-05,95210.72974123493
2026-06-06,94174.31623009309
2026-06-07,94273.42149215417
2026-06-08,97103.0949863803
2026-06-09,97103.0949863803
2026-06-10,97103.0949863803
2026-06-11,97103.0949863803
2026-06-12,97103.0949863803
2026-06-13,97103.0949863803
2026-06-14,95029.16333106573
2026-06-15,95029.16333106573
2026-06-16,95029.16333106573
2026-06-17,95029.16333106573
2026-06-18,95029.16333106573
2026-06-19,95029.16333106573
2026-06-20,95029.16333106573
2026-06-21,95029.16333106573
2026-06-22,95029.16333106573
2026-06-23,95029.16333106573
2026-06-24,96072.46012779544
2026-06-25,97857.66522378103
2026-06-26,97857.66522378103
2026-06-27,97857.66522378103
2026-06-28,97857.66522378103
2026-06-29,97857.66522378103
2026-06-30,97857.66522378103
2026-07-01,97857.66522378103
2026-07-02,97857.66522378103
2026-07-03,97857.66522378103
2026-07-04,97857.66522378103
2026-07-05,97857.66522378103
2026-07-06,97857.66522378103
2026-07-07,97857.66522378103
2026-07-08,97857.66522378103
2026-07-09,97857.66522378103
2026-07-10,97857.66522378103
