=== U5 funding_carry ETH/SOL 1m — multi-window (SMA-34947) ===
windows=[30, 90, 365]  elapsed=13.83s
G1 Sharpe>=1, G2 ann>=15%, G3 maxDD>=-25%, G4 PF>=1.5, G5 BS-CI_lo>=0.5, G7 trades>=30 (G6 Bonferroni per-variant)

Funding event stats per window:
Window Sym       n_evt     max%     min%     mean%    neg%   <=-1bp%  <=-0.5bp%
30     SOLUSDT      90  0.0100% -0.0209%   0.0001%   50.0%      4.4%      15.6%
30     ETHUSDT      89  0.0100% -0.0081%   0.0031%   12.4%      0.0%       2.2%
90     SOLUSDT     270  0.0100% -0.0388%  -0.0007%   50.4%     10.4%      24.4%
90     ETHUSDT     269  0.0100% -0.0230%   0.0016%   32.3%      3.0%      10.4%
365    SOLUSDT    1095  0.0259% -0.3028%  -0.0011%   44.5%     12.1%      24.6%
365    ETHUSDT    1094  0.0100% -0.0365%   0.0025%   27.2%      2.5%       8.5%

Per-(window, scope, symbol, variant) results:
Win  Scope      Sym     Variant     Trades  Sharpe    Ann%   MaxDD%     PF  BS_CIlo  p1side G_pass  Gates
365  per_symbol ETHUSDT abs_0.5bp       93  -1.175 -20.08%  -24.353   0.73   -3.103   0.879      2  NNYNNNY
365  per_symbol ETHUSDT abs_0.25bp     170  -0.446 -12.11%  -21.018   0.91   -2.449   0.674      2  NNYNNNY
365  per_symbol ETHUSDT pct_q20        206  -2.735 -48.45%  -52.558   0.62   -4.384   0.997      1  NNNNNNY
365  per_symbol ETHUSDT pct_q10        114  -1.992 -33.23%  -35.585   0.62   -3.697   0.980      1  NNNNNNY
365  per_symbol ETHUSDT pct_q05         68  -0.290  -5.14%  -13.913   0.92   -2.206   0.609      2  NNYNNNY
365  portfolio  ETH+SOL abs_1bp        160  -0.575  -8.65%  -16.096   0.00   -2.454   0.727      2  NNYNNY
365  portfolio  ETH+SOL abs_0.5bp      362  -0.358 -10.05%  -29.198   0.00   -2.247   0.644      1  NNNNNY
365  portfolio  ETH+SOL abs_0.25bp     532  -0.304 -11.92%  -33.179   0.00   -2.209   0.627      1  NNNNNY
365  portfolio  ETH+SOL pct_q20        411  -1.638 -32.77%  -40.085   0.00   -3.355   0.956      1  NNNNNY
365  portfolio  ETH+SOL pct_q10        233  -1.598 -25.31%  -30.550   0.00   -3.222   0.951      1  NNNNNY
365  portfolio  ETH+SOL pct_q05        143  -0.528  -7.89%  -14.555   0.00   -2.278   0.705      2  NNYNNY

Rows passing G1+G2+G3+G4+G5+G7 across all windows: 0
