date,total_trades,winning_trades,losing_trades,win_rate,gross_pnl_usd,net_pnl_usd,fees_usd,slippage_usd,equity_usd,daily_return_pct,rolling_20d_sharpe,rolling_20d_pf,max_drawdown_pct,max_drawdown_pct_vs_backtest,profit_factor_lifetime,bootstrap_ci_lo,action,kill_triggered,kill_reason,notes
2023-10-31,1,0,1,0.0,0,-933.5117675736983,0.0,0.0,99066.4882324263,-0.9335117675737026,0.0,0.0,-0.009335117675736982,0.0,1.0235243770514892,0.0,RUN,False,,
2023-11-01,3,1,2,0.3333333333333333,1281.6876632137428,1280.5996632840397,0.0,0.0,99646.7977017124,1.3018696349164083,0.0,0.0,-0.01634889961501336,0.0,1.0235243770514892,0.0,RUN,False,,
2023-11-02,3,1,2,0.3333333333333333,0.3410029428341659,-1811.644698152697,0.0,0.0,97350.95499355171,-1.8269435288960634,0.0,0.0,-0.026490450064482866,0.0,1.0235243770514892,0.0,RUN,False,,
2023-11-03,3,1,2,0.3333333333333333,3347.641523743703,3221.3224871000275,0.0,0.0,98167.16901950192,3.3927997956189726,0.0,0.0,-0.05054153467598109,0.0,1.0235243770514892,0.0,RUN,False,,
2023-11-04,3,1,2,0.3333333333333333,1372.2330047949508,921.020706985757,0.0,0.0,98646.41720613342,0.9424578870793177,0.0,0.0,-0.022746035008523322,0.0,1.0235243770514892,0.0,RUN,False,,
2023-11-05,3,2,1,0.6666666666666666,2161.372819525277,2161.372819525277,0.0,0.0,99265.71420185053,2.225825116320368,0.0,0.0,-0.028956586176747515,0.0,1.0235243770514892,0.0,RUN,False,,
2023-11-06,3,1,2,0.3333333333333333,72.46992434286221,-1157.248600704188,0.0,0.0,97940.30972827571,-1.1677871990169564,0.0,0.0,-0.020596902717242918,0.0,1.0235243770514892,0.0,RUN,False,,
2023-11-07,3,2,1,0.6666666666666666,1801.663866887262,1801.663866887262,0.0,0.0,98956.33968654211,1.8544283655802962,0.0,0.0,-0.028453241803451528,0.0,1.0235243770514892,0.0,RUN,False,,
2023-11-08,3,2,1,0.6666666666666666,2089.5545415424713,2089.5545415424713,0.0,0.0,99816.27490300452,2.1381609183382277,0.0,0.0,-0.022732796385379478,0.0,1.0235243770514892,0.0,RUN,False,,
2023-11-09,3,1,2,0.3333333333333333,1659.9103979308566,-4094.3952084554476,0.0,0.0,94790.93481289664,-4.140548661334654,0.0,0.0,-0.05723100946788051,0.0,1.0235243770514892,0.0,RUN,False,,
2023-11-10,3,3,0,1.0,5729.800651381913,2979.541746262752,0.0,0.0,100520.73546427855,3.054649664096165,0.0,0.0,-0.02987756246581132,0.0,1.0235243770514892,0.0,RUN,False,,
