variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,funding_ema_at_entry,exit_reason
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-07T03:00:00,3308.32,141.17,2022-01-07T03:30:00,3238.05,139.62,0.00946071796904382,2,2.5067169565360707,1.847530366932203,6.485747118336139e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T08:30:00,3214.49,145.65,2022-01-08T09:30:00,3239.38,146.79,-0.0008839190514188016,3,-2.5134323456963386,-2.441458537143974,8.713958059918469e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T10:00:00,3232.33,147.3,2022-01-08T11:00:00,3215.26,145.66,0.005052720472445116,3,-2.8257507884724333,-2.3019307860623575,8.713958059918469e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T11:30:00,3218.33,146.36,2022-01-08T14:00:00,3190.39,144.98,-5.271547698280021e-05,6,-2.5531764333483093,-2.320749228900378,8.713958059918469e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T15:30:00,3159.67,144.15,2022-01-08T16:00:00,3156.06,143.82,0.00034675762037308445,2,-2.514161699661109,-2.3957281655075735,8.713958059918469e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T21:00:00,3065.59,143.4,2022-01-08T21:30:00,3077.72,144.39,-0.003746941718482199,2,-3.8332258590662383,-3.841562709249143,8.999745157714365e-05,regime_break
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T22:00:00,3122.99,146.47,2022-01-08T22:30:00,3116.84,144.26,0.012319147377397055,2,-3.668670078256506,-2.8229185642938677,8.999745157714365e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T23:30:00,3080.03,142.15,2022-01-09T00:00:00,3072.81,140.95,0.005297653833190719,2,-2.552539575537119,-2.1756239626758944,8.999745157714365e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-09T00:30:00,3117.44,144.63,2022-01-09T01:00:00,3094.5,142.23,0.008435465691037059,2,-2.7293105700417426,-2.189398990640275,9.222024011555618e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-13T14:00:00,3381.0,156.16,2022-01-13T14:30:00,3384.35,157.06,-0.005572488557076571,2,-2.538215500420567,-2.7764536291065225,2.8605958547952426e-06,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-13T15:00:00,3312.13,153.9,2022-01-13T15:30:00,3300.21,154.9,-0.010896618351517317,2,-2.78956294641778,-3.297185204887975,2.8605958547952426e-06,regime_break
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-13T16:00:00,3305.94,154.47,2022-01-13T16:30:00,3300.47,152.44,0.010687112882364036,2,-2.9592014850006176,-2.2705846852320337,2.8605958547952426e-06,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-20T21:00:00,3172.88,136.1,2022-01-20T21:30:00,3078.74,132.11,-0.0004464739252969301,2,2.9217358757802727,2.7981671163597923,8.006673854575312e-05,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-20T22:00:00,3086.48,132.46,2022-01-20T22:30:00,3059.14,131.96,0.004283262646976449,2,2.713979629708002,1.9974436599422172,8.006673854575312e-05,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-20T23:30:00,2999.92,127.45,2022-01-21T00:00:00,3021.33,128.08,-0.002993742035814905,2,3.7918034606433038,3.895220822841238,8.006673854575312e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-21T00:30:00,3015.06,126.8,2022-01-21T01:00:00,2994.16,125.32,-0.0055400556043571966,2,4.577791293494634,4.7911542218803795,6.0485241091141315e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-21T01:30:00,2898.74,121.44,2022-01-21T02:00:00,2942.32,127.14,0.03110264062120374,2,4.421272571542293,1.2217979882922816,6.0485241091141315e-05,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-21T12:00:00,2811.68,118.69,2022-01-21T12:30:00,2776.84,118.05,0.0061989701062217465,2,3.2845490651719835,2.555936177418751,3.389963195977658e-05,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-21T13:00:00,2786.56,117.84,2022-01-21T15:30:00,2830.14,121.77,0.016910950882537048,6,2.963133937085615,1.2433757770808322,3.389963195977658e-05,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T05:30:00,2495.0,104.23,2022-01-22T06:00:00,2487.92,100.36,-0.03509174995871054,2,3.3084150886043178,5.473138325431776,5.0984715629988304e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T06:30:00,2506.2,102.31,2022-01-22T07:00:00,2464.98,100.14,-0.005562836976730634,2,4.3730716681290165,4.427039072890775,5.0984715629988304e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T07:30:00,2461.13,100.32,2022-01-22T08:00:00,2496.89,103.01,0.011484283520236583,2,4.012634807865714,3.1770418648077112,5.0984715629988304e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T08:30:00,2468.13,100.88,2022-01-22T09:00:00,2460.24,100.97,0.00328890128503292,2,3.5804813206082575,3.2374574738637274,6.187700104554647e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T09:30:00,2388.1,97.12,2022-01-22T10:00:00,2404.55,95.09,-0.02859029819532852,2,3.596472157817199,4.760630261500375,6.187700104554647e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T10:30:00,2449.17,99.09,2022-01-22T11:00:00,2439.52,98.82,0.0004153146827619254,2,3.4798672261811117,3.3040863468957573,6.187700104554647e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T11:30:00,2430.11,98.6,2022-01-22T12:00:00,2434.52,99.79,0.009454232850819056,2,3.12688760084459,2.597194806221144,6.187700104554647e-05,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T12:30:00,2489.02,102.08,2022-01-22T13:00:00,2486.78,101.58,-0.004798166530474024,2,2.5159705570121846,2.6308193346785305,6.187700104554647e-05,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T13:30:00,2466.0,99.67,2022-01-22T14:00:00,2456.96,99.1,-0.0028530166418606387,2,3.0033580708116863,3.001261150953238,6.187700104554647e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T14:30:00,2418.17,96.02,2022-01-22T15:00:00,2390.21,94.73,-0.0026722385806235752,2,3.5137449506641665,3.45726176396272,6.187700104554647e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T15:30:00,2385.72,92.99,2022-01-22T16:00:00,2442.86,97.0,0.01837207560631873,2,3.9177506699210745,3.1234756765445915,6.187700104554647e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T16:30:00,2438.9,95.31,2022-01-22T17:00:00,2386.04,92.88,-0.004622045349242021,2,3.5612842927602064,3.5562584095819876,6.885322303542502e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T17:30:00,2378.98,92.18,2022-01-22T18:00:00,2359.84,91.75,0.00258067857539448,2,3.568742908654744,3.336797714152563,6.885322303542502e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T18:30:00,2329.59,89.94,2022-01-22T19:00:00,2327.67,89.2,-0.008203527998428805,2,3.431738659431162,3.523186981178617,6.885322303542502e-05,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-22T19:30:00,2335.92,90.5,2022-01-22T20:00:00,2392.51,93.83,0.011769579220055748,2,3.0968689849456874,2.673435552625129,6.885322303542502e-05,confluence_lost
