symbol,direction,entry_date,exit_date,pnl_usd,pnl_pct,bars_held,reason,funding_at_entry,atr_at_entry
BTCUSD,short,2022-01-12,2022-01-14,13.700658170613336,0.013700658170613335,12,time_stop,7.650343330337474e-05,869.0632341170651
BTCUSD,short,2022-01-15,2022-01-17,20.428621129883354,0.020428621129883355,12,time_stop,0.0002521200150280456,722.056335930099
BTCUSD,long,2022-01-18,2022-01-20,28.41520911057172,0.02841520911057172,12,time_stop,-0.0004178260282855144,592.7232072261107
BTCUSD,long,2022-01-21,2022-01-22,-96.51634807638781,-0.09651634807638781,6,trail_stop,-0.00019939217633119493,936.1090154027024
BTCUSD,long,2022-01-22,2022-01-24,-18.076248580858383,-0.018076248580858382,12,time_stop,-8.709521235765748e-05,1198.8789690248564
BTCUSD,short,2022-01-31,2022-02-02,6.2403303931590415,0.0062403303931590414,12,time_stop,0.00035098317177233504,782.0328280724718
BTCUSD,short,2022-02-04,2022-02-06,-25.1329073228438,-0.0251329073228438,12,time_stop,0.00010653466944237823,885.8459740736339
BTCUSD,short,2022-02-06,2022-02-08,-59.775124168536045,-0.059775124168536045,8,trail_stop,0.0005938833642248996,738.7919947317266
BTCUSD,long,2022-02-17,2022-02-19,-47.2363075440926,-0.047236307544092596,12,time_stop,-5.998236015765179e-07,804.4267070189478
BTCUSD,long,2022-02-20,2022-02-21,-35.398030676768236,-0.035398030676768236,9,trail_stop,-1.7042309927301207e-06,724.3891947642135
BTCUSD,short,2022-02-28,2022-03-02,-58.32283555686827,-0.05832283555686827,12,time_stop,6.453396851580816e-05,1138.101324744692
BTCUSD,short,2022-03-02,2022-03-04,108.07129408841324,0.10807129408841323,12,time_stop,6.30431222948428e-05,1112.9985236022337
BTCUSD,long,2022-03-06,2022-03-08,1.3022647857363543,0.0013022647857363543,12,time_stop,-8.040068145873883e-06,861.8692184236231
BTCUSD,short,2022-03-16,2022-03-18,-26.14186158120152,-0.02614186158120152,12,time_stop,0.00013631738996651134,945.5322150615475
BTCUSD,short,2022-03-18,2022-03-20,-11.239079759982403,-0.011239079759982402,12,time_stop,0.0002682692303855429,774.92339042721
BTCUSD,short,2022-03-20,2022-03-22,-42.46709690226766,-0.042467096902267666,9,trail_stop,0.00011786637552212239,601.1183082214607
BTCUSD,short,2022-03-24,2022-03-26,-13.018328779004696,-0.013018328779004695,12,time_stop,0.0001551929779690911,696.6019947848088
BTCUSD,short,2022-03-27,2022-03-27,-48.522230721473264,-0.04852223072147326,5,trail_stop,0.0004429873931604909,543.5790260032886
BTCUSD,short,2022-03-28,2022-03-30,-8.949265285959422,-0.008949265285959422,12,time_stop,0.0002589276858270006,659.7490834261115
BTCUSD,short,2022-03-30,2022-04-01,49.03056305780616,0.04903056305780616,12,time_stop,0.0003764437321936005,700.8025089710679
BTCUSD,long,2022-04-06,2022-04-08,-36.36624373621559,-0.03636624373621559,12,time_stop,-2.1137809537390157e-06,749.9586898568235
BTCUSD,long,2022-04-09,2022-04-11,-4.848465105324168,-0.004848465105324168,12,time_stop,-2.7468180284813603e-05,711.4767734971405
BTCUSD,long,2022-04-11,2022-04-13,-33.5084887814459,-0.0335084887814459,12,time_stop,-0.00024084403740889216,656.7424536758826
BTCUSD,short,2022-04-19,2022-04-21,-17.47453738376009,-0.01747453738376009,12,time_stop,8.1827345275397e-05,650.7586503861147
BTCUSD,long,2022-04-22,2022-04-24,4.772078451560242,0.004772078451560242,12,time_stop,-3.9198034533952805e-05,743.2681917792768
BTCUSD,long,2022-04-26,2022-04-28,43.87766691037116,0.04387766691037116,12,time_stop,-0.0002286342832681377,765.3431488784648
BTCUSD,long,2022-04-30,2022-05-02,22.782900466308913,0.022782900466308913,12,time_stop,-0.000699339112963282,626.66897328083
BTCUSD,long,2022-05-03,2022-05-05,-22.950595376367996,-0.022950595376367997,10,trail_stop,-0.00014370383441697545,596.5889630752775
BTCUSD,long,2022-05-05,2022-05-07,-12.386101713133101,-0.012386101713133101,12,time_stop,-1.9819174931449515e-05,829.7071147447515
BTCUSD,long,2022-05-09,2022-05-09,-78.14065028803601,-0.07814065028803602,3,trail_stop,-0.00023813360921734835,692.1129295607255
BTCUSD,long,2022-05-10,2022-05-12,-78.58674882811547,-0.07858674882811548,12,trail_stop,-5.390422232151435e-05,1008.2654133236719
BTCUSD,long,2022-05-23,2022-05-25,16.58122480254649,0.01658122480254649,12,time_stop,-0.00019685892705688574,606.9434897453871
BTCUSD,short,2022-06-01,2022-06-03,32.12681355429442,0.03212681355429442,12,time_stop,5.590789313107325e-06,524.9789079227754
BTCUSD,long,2022-06-07,2022-06-09,23.744092521876958,0.023744092521876956,12,time_stop,-0.0002446067567568783,571.9398787581549
BTCUSD,long,2022-06-10,2022-06-12,-49.901811703554095,-0.049901811703554094,8,trail_stop,-0.00015143860181301934,572.2105691338958
BTCUSD,long,2022-06-12,2022-06-13,-78.45712328139233,-0.07845712328139233,5,trail_stop,-0.00022509721073938206,599.5953833243288
BTCUSD,long,2022-06-13,2022-06-15,-80.05072689723345,-0.08005072689723344,12,time_stop,-9.02947717558833e-05,950.1395176355251
BTCUSD,short,2022-06-26,2022-06-28,48.2773401651723,0.048277340165172294,12,time_stop,6.363116267238991e-05,491.306814112996
BTCUSD,long,2022-07-01,2022-07-03,-5.659042478105272,-0.005659042478105272,12,time_stop,-0.0002563568963337603,576.9653271388478
BTCUSD,short,2022-07-06,2022-07-07,-62.03432499595592,-0.06203432499595592,5,trail_stop,0.0001814151202453827,461.6655797477711
BTCUSD,short,2022-07-08,2022-07-10,12.018966212165175,0.012018966212165175,12,time_stop,0.00020613188190967896,499.02856664079525
BTCUSD,short,2022-07-10,2022-07-12,48.22126437112934,0.048221264371129335,12,time_stop,0.00027716141731507133,425.88436095847425
BTCUSD,short,2022-07-18,2022-07-19,-52.67584044997667,-0.05267584044997667,9,trail_stop,0.00032379092267115065,493.00977312303115
BTCUSD,short,2022-07-19,2022-07-21,9.546489832096663,0.009546489832096662,12,time_stop,0.0003820021480557621,690.0855629595347
BTCUSD,long,2022-07-26,2022-07-28,93.92890596038228,0.09392890596038228,12,time_stop,-0.00018507271835154667,508.6699676912817
BTCUSD,short,2022-07-28,2022-07-30,-33.74190822528603,-0.033741908225286034,12,time_stop,0.0003129784281466605,567.3582634813107
BTCUSD,short,2022-07-30,2022-08-01,39.562546340144856,0.039562546340144854,12,time_stop,0.0005543821640060368,531.1582763282809
BTCUSD,long,2022-08-04,2022-08-06,32.30262178569132,0.03230262178569132,12,time_stop,-0.00030373109803724196,440.71927978314847
BTCUSD,short,2022-08-09,2022-08-10,-7.853866310969477,-0.007853866310969477,9,trail_stop,0.0002414532588262908,316.8143195946425
BTCUSD,short,2022-08-10,2022-08-12,-24.133812381133268,-0.02413381238113327,12,time_stop,0.00046523668427728637,394.33991339875575
BTCUSD,short,2022-08-13,2022-08-15,15.057042843449647,0.015057042843449647,12,time_stop,9.782734727377783e-06,401.18380410362596
BTCUSD,long,2022-08-17,2022-08-19,-59.823769021849856,-0.059823769021849854,9,trail_stop,-1.5176279903466444e-05,391.29522706159105
BTCUSD,long,2022-08-19,2022-08-21,1.6849198949896587,0.0016849198949896588,12,time_stop,-0.00026519172950408373,449.088163221662
BTCUSD,long,2022-08-21,2022-08-23,1.4709925366682677,0.0014709925366682677,12,time_stop,-0.0002314963048590501,369.8019098473675
BTCUSD,long,2022-08-27,2022-08-29,-19.458389549496374,-0.019458389549496375,12,time_stop,-0.0001512698565761126,370.1738465860198
