pair,direction,entry_ts,exit_ts,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,pnl_pct,bars_held,exit_reason,entry_price_a,entry_price_b,exit_price_a,exit_price_b
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-02T12:30:00,2022-01-02T12:49:00,-2.6262163445413664,-0.49553949658399676,,0,0.0016585230812192994,20,z_mean_revert,47151.84,175.87,47358.92,176.21
BTCUSDT/SOLUSDT,short_a_long_b,2022-01-13T11:15:00,2022-01-13T11:16:00,3.185682824700265,3.156916074222942,,-1,-0.0008150388927919743,2,regime_break,43641.24,150.16,43638.99,150.15
BTCUSDT/SOLUSDT,short_a_long_b,2022-01-13T11:17:00,2022-01-13T11:18:00,3.5327017413600235,3.0859749808320935,,-1,1.645186408096922e-05,2,regime_break,43616.56,149.93,43644.95,150.15
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-15T10:11:00,2022-01-15T10:17:00,-2.5893144917805437,-0.14341261099930616,,1,0.0013346596325654277,7,z_mean_revert,43151.0,146.23,43234.26,146.2
BTCUSDT/SOLUSDT,long_a_short_b,2022-02-06T23:13:00,2022-02-06T23:16:00,-2.5555304958479685,-3.1874509733013934,,1,-0.00188268085816543,4,regime_break,41704.28,113.33,41931.44,114.07
BTCUSDT/SOLUSDT,long_a_short_b,2022-02-08T01:46:00,2022-02-08T02:17:00,-2.6700639239099897,-0.10068895746015984,,1,0.004862501036905687,32,z_mean_revert,44038.43,118.62,43987.08,117.81
BTCUSDT/SOLUSDT,short_a_long_b,2022-02-20T14:18:00,2022-02-20T14:20:00,2.585043536654844,3.415505342486377,,-1,-0.004299762761576486,3,regime_break,38079.12,87.85,38043.34,87.46
BTCUSDT/SOLUSDT,short_a_long_b,2022-02-20T14:21:00,2022-02-20T14:25:00,2.8653379303394524,0.2922972140145426,,-1,0.008814480672813341,5,z_mean_revert,38026.0,87.58,38268.26,88.98
BTCUSDT/SOLUSDT,short_a_long_b,2022-03-02T12:35:00,2022-03-02T12:54:00,2.6696688093495746,0.4872111591800623,,-1,0.009039178135809367,20,z_mean_revert,43857.41,102.58,44024.45,103.98
BTCUSDT/SOLUSDT,long_a_short_b,2022-03-12T12:47:00,2022-03-12T12:48:00,-3.14774643655446,-3.117603574212213,,1,-0.0008655034075953687,2,regime_break,39167.55,81.58,39188.99,81.63
BTCUSDT/SOLUSDT,long_a_short_b,2022-03-12T12:49:00,2022-03-12T13:49:00,-2.8706738714481657,-3.1258112761607832,,1,-0.0039333343227754055,61,regime_break,39194.01,81.62,39042.39,81.56
BTCUSDT/SOLUSDT,short_a_long_b,2022-03-17T18:57:00,2022-03-17T19:15:00,2.540185405473574,0.4018964430257637,,-1,0.0035760107732166987,19,z_mean_revert,40782.39,88.99,40741.41,89.29
BTCUSDT/SOLUSDT,short_a_long_b,2022-03-22T18:58:00,2022-03-22T22:57:00,2.8427124012089795,1.1561487667264345,,-1,-0.005993455459290841,240,max_holding,42578.01,92.12,42507.95,91.49
BTCUSDT/SOLUSDT,short_a_long_b,2022-03-31T14:04:00,2022-03-31T14:35:00,2.7440543692453634,0.3095937789027292,,-1,0.016985654329860014,32,z_mean_revert,46249.56,121.56,46420.0,124.17
BTCUSDT/SOLUSDT,long_a_short_b,2022-04-07T06:49:00,2022-04-07T06:54:00,-2.582388335681982,0.06940874205330501,,1,0.00646835169490847,6,z_mean_revert,43441.01,115.1,43401.98,114.16
BTCUSDT/SOLUSDT,short_a_long_b,2022-04-08T06:40:00,2022-04-08T06:50:00,2.8209200442143105,3.001013490485634,,-1,-0.0030132979913512817,11,regime_break,43495.1,120.25,43551.58,120.14
BTCUSDT/SOLUSDT,long_a_short_b,2022-04-24T19:00:00,2022-04-24T19:01:00,-2.8022214484236296,-3.280308466790383,,1,-0.0019328699663835095,2,regime_break,39718.8,100.84,39784.09,101.12
BTCUSDT/SOLUSDT,long_a_short_b,2022-04-24T19:02:00,2022-04-24T19:03:00,-3.4204932372218297,-3.5306659173188244,,1,-0.0011701902898198827,2,regime_break,39723.54,101.01,39716.7,101.03
BTCUSDT/SOLUSDT,long_a_short_b,2022-04-24T19:04:00,2022-04-24T19:05:00,-3.3932184629920332,-3.4180003623490847,,1,-0.0009824717024465627,2,regime_break,39689.21,100.94,39666.24,100.9
BTCUSDT/SOLUSDT,long_a_short_b,2022-04-24T19:06:00,2022-04-24T19:51:00,-3.3016692099625433,-0.4431479970938165,,1,0.004901916205094193,46,z_mean_revert,39664.03,100.88,39670.01,100.32
BTCUSDT/SOLUSDT,long_a_short_b,2022-05-07T08:16:00,2022-05-07T08:17:00,-3.6078068656085756,-3.0610777608495563,,1,0.0008041424397494896,2,regime_break,36028.42,81.61,36006.75,81.43
BTCUSDT/SOLUSDT,long_a_short_b,2022-05-07T08:18:00,2022-05-07T09:47:00,-2.500540113285188,-0.3535468057099333,,1,0.0033040661364921683,90,z_mean_revert,35969.5,81.2,35966.51,80.86
BTCUSDT/SOLUSDT,long_a_short_b,2022-05-29T08:13:00,2022-05-29T08:16:00,-2.786777476254933,-3.456236605541468,,1,-0.004201859343543423,4,regime_break,29021.06,42.81,29024.02,42.96
BTCUSDT/SOLUSDT,long_a_short_b,2022-06-08T02:07:00,2022-06-08T02:08:00,-3.5628226575544124,-3.995510009154474,,1,-0.004680950460299793,2,regime_break,31209.61,40.64,31203.68,40.79
BTCUSDT/SOLUSDT,long_a_short_b,2022-06-08T02:09:00,2022-06-08T03:17:00,-3.289926835213814,-0.4453873925606267,,1,0.016019937320594726,69,z_mean_revert,31200.08,40.59,30702.54,39.26
BTCUSDT/SOLUSDT,short_a_long_b,2022-06-16T19:36:00,2022-06-16T20:44:00,2.6671558531452955,0.46795834875084474,,-1,0.021051697250452885,69,z_mean_revert,20881.6,30.65,20561.56,30.85
BTCUSDT/SOLUSDT,short_a_long_b,2022-06-24T16:35:00,2022-06-24T16:36:00,2.5066595294836813,3.170985014796241,,-1,-0.003966784905494491,2,regime_break,20838.21,39.57,20835.74,39.44
BTCUSDT/SOLUSDT,long_a_short_b,2022-07-11T10:25:00,2022-07-11T11:41:00,-2.684939989243895,-0.4054856246145743,,1,0.0013108105541925993,77,z_mean_revert,20590.0,35.55,20471.29,35.27
BTCUSDT/SOLUSDT,long_a_short_b,2022-08-10T07:34:00,2022-08-10T08:34:00,-2.561133394347248,-0.4263959890440843,,1,0.001034188516801616,61,z_mean_revert,22976.48,39.74,23041.75,39.78
BTCUSDT/SOLUSDT,short_a_long_b,2022-08-12T06:21:00,2022-08-12T06:32:00,2.88106679290229,3.2961465528923513,,-1,-0.0023238462982988254,12,regime_break,23913.15,42.99,23927.34,42.95
BTCUSDT/SOLUSDT,short_a_long_b,2022-08-31T08:26:00,2022-08-31T08:43:00,3.136285122691634,0.2725037453328282,,-1,0.0060858164354199665,18,z_mean_revert,20170.34,31.97,20258.58,32.33
BTCUSDT/SOLUSDT,short_a_long_b,2022-08-31T14:39:00,2022-08-31T15:02:00,2.750329738626675,4.035588124245698,,-1,-0.004483649023128344,24,regime_break,20172.78,32.22,20053.0,31.91
BTCUSDT/SOLUSDT,short_a_long_b,2022-09-07T12:13:00,2022-09-07T12:17:00,3.1629694978844256,3.059900988260286,,-1,-0.000688762260885744,5,regime_break,18698.69,30.91,18696.61,30.91
BTCUSDT/SOLUSDT,short_a_long_b,2022-09-08T12:37:00,2022-09-08T12:41:00,2.850536204334801,3.12133289380117,,-1,-0.00187354025706341,5,regime_break,19199.45,32.55,19149.28,32.43
BTCUSDT/SOLUSDT,short_a_long_b,2022-09-08T12:42:00,2022-09-08T12:43:00,3.2281138756561027,3.4092133380508405,,-1,-0.001464580969159445,2,regime_break,19139.88,32.4,19152.6,32.4
BTCUSDT/SOLUSDT,short_a_long_b,2022-09-08T12:44:00,2022-09-08T12:45:00,3.433134844127324,3.031325521643067,,-1,0.0001517857037955046,2,regime_break,19127.7,32.35,19121.32,32.37
BTCUSDT/SOLUSDT,long_a_short_b,2022-09-10T01:03:00,2022-09-10T02:06:00,-2.9196199679988717,-0.4165883769396057,,1,0.0054880922094802335,64,z_mean_revert,21281.22,34.93,21274.91,34.7
BTCUSDT/SOLUSDT,long_a_short_b,2022-10-02T00:20:00,2022-10-02T00:43:00,-2.5700937024678225,-0.43243167220407663,,1,0.004136532987202646,24,z_mean_revert,19312.15,32.81,19295.65,32.62
BTCUSDT/SOLUSDT,long_a_short_b,2022-10-12T04:05:00,2022-10-12T04:16:00,-2.6958844966444087,-3.0804216343290474,,1,-0.0015657157471205877,12,regime_break,19084.97,31.13,19101.01,31.18
BTCUSDT/SOLUSDT,long_a_short_b,2022-10-15T14:02:00,2022-10-15T15:09:00,-2.997720998276561,-0.38295707920332794,,1,0.0025965966045147456,68,z_mean_revert,19172.43,30.08,19135.57,29.92
BTCUSDT/SOLUSDT,long_a_short_b,2022-10-23T17:29:00,2022-10-23T17:51:00,-2.8360334992110205,-0.1847549314277583,,1,0.002702700427101546,23,z_mean_revert,19200.65,28.17,19376.96,28.33
BTCUSDT/SOLUSDT,long_a_short_b,2022-10-25T12:59:00,2022-10-25T13:11:00,-2.808073042218629,-3.5363247893017213,,1,-0.002255965284262284,13,regime_break,19328.3,28.34,19361.54,28.43
BTCUSDT/SOLUSDT,short_a_long_b,2022-10-29T00:38:00,2022-10-29T00:41:00,2.663010052641497,3.0224142806383516,,-1,-0.0020005334034497216,4,regime_break,20561.31,31.92,20566.67,31.89
BTCUSDT/SOLUSDT,short_a_long_b,2022-10-29T00:42:00,2022-10-29T00:47:00,2.955729716050121,3.016362467475299,,-1,-0.0014790040590356482,6,regime_break,20573.18,31.9,20580.7,31.89
BTCUSDT/SOLUSDT,short_a_long_b,2022-10-29T00:48:00,2022-10-29T00:49:00,3.2996017630520136,3.374933565771643,,-1,-0.0011950222660722424,2,regime_break,20579.41,31.86,20581.08,31.85
BTCUSDT/SOLUSDT,short_a_long_b,2022-10-29T00:50:00,2022-10-29T00:51:00,3.1763934173631094,3.074362663552814,,-1,-0.0006246093566982573,2,regime_break,20580.21,31.86,20583.06,31.87
BTCUSDT/SOLUSDT,short_a_long_b,2022-10-29T00:52:00,2022-10-29T02:20:00,2.84869837101603,0.4120304443111478,,-1,0.002401717071825483,89,z_mean_revert,20580.08,31.88,20669.12,32.12
BTCUSDT/SOLUSDT,long_a_short_b,2022-11-19T16:35:00,2022-11-19T17:14:00,-2.7722346003510907,-0.4846031160081384,,1,0.007153171126364511,40,z_mean_revert,16654.39,12.87,16644.5,12.76
BTCUSDT/SOLUSDT,long_a_short_b,2022-12-02T00:36:00,2022-12-02T01:04:00,-2.797054879237727,-3.5382442557802154,,1,-0.0053851063842352605,29,regime_break,16967.84,13.57,17015.08,13.67
BTCUSDT/SOLUSDT,long_a_short_b,2022-12-10T14:43:00,2022-12-10T15:01:00,-3.0148079926225666,0.32508374761691794,,1,0.0015128615589620428,19,z_mean_revert,17174.8,13.63,17164.12,13.59
BTCUSDT/SOLUSDT,long_a_short_b,2022-12-12T17:33:00,2022-12-12T17:34:00,-2.5341920071639086,-3.4303241790070667,,1,-0.001998369008556188,2,regime_break,16988.82,13.16,16994.28,13.18
BTCUSDT/SOLUSDT,long_a_short_b,2022-12-12T17:35:00,2022-12-12T17:37:00,-4.1795773820686515,-3.642912193596317,,1,-0.0001741857705287224,3,regime_break,17000.41,13.2,16998.17,13.19
BTCUSDT/SOLUSDT,long_a_short_b,2022-12-17T06:36:00,2022-12-17T06:37:00,-5.140807085530901,-3.9038211524833497,,1,0.003105286463919966,2,regime_break,16761.38,12.54,16746.64,12.48
BTCUSDT/SOLUSDT,long_a_short_b,2022-12-17T06:38:00,2022-12-17T08:30:00,-2.7984053560711164,-0.4522163900731553,,1,0.002500372179075639,113,z_mean_revert,16742.44,12.43,16716.88,12.37
BTCUSDT/SOLUSDT,long_a_short_b,2022-12-20T21:53:00,2022-12-20T23:29:00,-2.572084899251909,-0.33841624413441357,,1,0.00027642890820036637,97,z_mean_revert,16882.09,12.28,16914.01,12.29
BTCUSDT/SOLUSDT,long_a_short_b,2022-12-28T14:43:00,2022-12-28T14:44:00,-4.126872735086233,-3.217120132892607,,1,0.002867375080000257,2,regime_break,16728.93,10.23,16724.87,10.19
BTCUSDT/SOLUSDT,short_a_long_b,2023-01-08T17:57:00,2023-01-08T20:03:00,2.789667898808488,-0.14072950026105122,,-1,0.00651197906920622,127,z_mean_revert,16928.96,13.52,16930.39,13.62
BTCUSDT/SOLUSDT,short_a_long_b,2023-01-14T09:19:00,2023-01-14T10:23:00,2.5076141799744374,3.067541257033124,,-1,-0.012978237932225167,65,regime_break,20477.46,21.94,20288.17,21.47
BTCUSDT/SOLUSDT,long_a_short_b,2023-02-01T19:09:00,2023-02-01T19:37:00,-2.667972963592174,-3.026896870906664,,1,-0.00373951958369143,29,regime_break,23089.37,23.44,23060.9,23.48
BTCUSDT/SOLUSDT,long_a_short_b,2023-02-07T17:57:00,2023-02-07T18:00:00,-2.5186960475290934,-3.3944504710538443,,1,-0.005106452631354541,4,regime_break,23302.07,23.67,23329.7,23.8
BTCUSDT/SOLUSDT,short_a_long_b,2023-02-14T14:31:00,2023-02-14T14:37:00,3.1226345006087395,0.2964872083356768,,-1,0.010794632063328891,7,z_mean_revert,21589.14,20.91,21679.54,21.24
BTCUSDT/SOLUSDT,short_a_long_b,2023-02-20T23:19:00,2023-02-20T23:56:00,2.618770845358592,0.0841496355697889,,-1,0.007677860811107351,38,z_mean_revert,24789.87,25.97,24827.89,26.23
BTCUSDT/SOLUSDT,long_a_short_b,2023-03-07T01:21:00,2023-03-07T01:22:00,-3.189987074837834,-3.970840754068206,,1,-0.003229175112010018,2,regime_break,22470.95,20.86,22491.77,20.93
BTCUSDT/SOLUSDT,long_a_short_b,2023-03-07T01:23:00,2023-03-07T01:24:00,-3.435687005685722,-3.23406184341919,,1,-0.00048361913347458806,2,regime_break,22496.51,20.91,22482.11,20.89
BTCUSDT/SOLUSDT,long_a_short_b,2023-03-07T01:25:00,2023-03-07T01:26:00,-3.3881528308437048,-3.1157789942508622,,1,-0.0002424059896495072,2,regime_break,22487.62,20.91,22478.65,20.89
BTCUSDT/SOLUSDT,long_a_short_b,2023-03-07T01:28:00,2023-03-07T02:15:00,-2.7052278388135464,-0.4996193941566676,,1,0.004430538708392962,48,z_mean_revert,22467.05,20.86,22455.32,20.74
BTCUSDT/SOLUSDT,long_a_short_b,2023-04-07T00:50:00,2023-04-07T00:54:00,-3.6164454608118763,-3.115399632772334,,1,-0.000574238667096693,5,regime_break,28077.88,20.72,28097.77,20.73
BTCUSDT/SOLUSDT,long_a_short_b,2023-04-07T00:55:00,2023-04-07T01:00:00,-2.6337126005213323,-3.1998489131327137,,1,-0.0017460321530234683,6,regime_break,28097.47,20.72,28098.01,20.74
BTCUSDT/SOLUSDT,short_a_long_b,2023-04-12T22:10:00,2023-04-12T23:30:00,2.528217977910717,0.44559012724084895,,-1,0.0015970610212500355,81,z_mean_revert,29914.52,23.81,29930.76,23.88
BTCUSDT/SOLUSDT,short_a_long_b,2023-04-23T13:29:00,2023-04-23T13:32:00,2.6367238897058405,3.082276939403407,,-1,-0.0015478965965868056,4,regime_break,27611.96,22.0,27620.06,21.99
BTCUSDT/SOLUSDT,long_a_short_b,2023-04-23T22:32:00,2023-04-24T00:07:00,-2.548684450582779,-0.36391421175770217,,1,0.0022209778624117335,96,z_mean_revert,27578.37,21.48,27571.81,21.41
BTCUSDT/SOLUSDT,short_a_long_b,2023-04-30T12:22:00,2023-04-30T12:26:00,2.5550837566196813,3.115723954401442,,-1,-0.002048301553319897,5,regime_break,29202.3,23.44,29188.92,23.4
BTCUSDT/SOLUSDT,short_a_long_b,2023-04-30T12:27:00,2023-04-30T12:31:00,3.0430165081399525,3.0778067219394423,,-1,-0.00127428598106658,5,regime_break,29188.96,23.4,29190.33,23.39
BTCUSDT/SOLUSDT,long_a_short_b,2023-05-22T18:30:00,2023-05-22T18:33:00,-2.528043657988948,-3.1776065543868124,,1,-0.0014690269463703879,4,regime_break,26902.02,19.74,26897.65,19.75
BTCUSDT/SOLUSDT,long_a_short_b,2023-05-22T18:34:00,2023-05-22T19:27:00,-3.105026932551003,-0.48062302177987853,,1,0.0009638287861478918,54,z_mean_revert,26897.8,19.75,26836.29,19.67
BTCUSDT/SOLUSDT,long_a_short_b,2023-05-23T10:43:00,2023-05-23T11:03:00,-2.88424993837943,-0.4728686800232292,,1,0.00145053235172068,21,z_mean_revert,27291.22,19.87,27325.17,19.85
BTCUSDT/SOLUSDT,long_a_short_b,2023-05-26T00:56:00,2023-05-26T01:03:00,-2.8764725613469455,-3.790011464657672,,1,-0.0016649103677775826,8,regime_break,26445.36,19.26,26477.41,19.3
BTCUSDT/SOLUSDT,long_a_short_b,2023-06-16T15:08:00,2023-06-16T15:09:00,-2.542954723391373,-3.360103571627594,,1,-0.002802127173284074,2,regime_break,25590.56,14.76,25574.0,14.78
BTCUSDT/SOLUSDT,long_a_short_b,2023-06-16T15:10:00,2023-06-16T15:11:00,-5.177711187784238,-7.014535774919004,,1,-0.0073027779030295555,2,regime_break,25602.14,14.87,25659.48,15.0
BTCUSDT/SOLUSDT,long_a_short_b,2023-06-16T15:12:00,2023-06-16T15:13:00,-6.6063818051902485,-4.644935639775614,,1,0.00454004107261965,2,regime_break,25644.01,15.0,25609.99,14.9
BTCUSDT/SOLUSDT,long_a_short_b,2023-06-16T15:14:00,2023-06-16T15:15:00,-4.162902423261928,-4.067452046737637,,1,-0.0009522935925799552,2,regime_break,25619.5,14.89,25650.01,14.91
BTCUSDT/SOLUSDT,long_a_short_b,2023-06-29T01:23:00,2023-06-29T02:14:00,-3.002432895411484,-0.45338540254928017,,1,0.004490918305388414,52,z_mean_revert,30220.25,16.18,30174.69,16.07
BTCUSDT/SOLUSDT,short_a_long_b,2023-06-30T13:41:00,2023-06-30T13:46:00,2.8373690848523734,3.2557728930549747,,-1,-0.006151253243297105,6,regime_break,30062.0,17.92,29988.01,17.78
BTCUSDT/SOLUSDT,short_a_long_b,2023-07-14T09:31:00,2023-07-14T13:30:00,2.6832137302840255,1.00730178612089,,-1,-0.006154216115814215,240,max_holding,31151.38,27.85,31150.39,27.7
BTCUSDT/SOLUSDT,short_a_long_b,2023-07-15T13:25:00,2023-07-15T13:26:00,2.687987805925292,3.009855741874632,,-1,-0.002558087201125247,2,regime_break,30320.88,28.44,30320.88,28.39
BTCUSDT/SOLUSDT,short_a_long_b,2023-07-15T13:27:00,2023-07-15T13:46:00,3.2100975141742496,3.167487846146699,,-1,-0.0056676854078877344,20,regime_break,30306.73,28.34,30283.15,28.18
BTCUSDT/SOLUSDT,short_a_long_b,2023-07-19T22:17:00,2023-07-19T23:38:00,2.6274931445143244,0.48766847282602566,,-1,0.0021479976299549016,82,z_mean_revert,29891.26,26.4,29939.01,26.52
BTCUSDT/SOLUSDT,long_a_short_b,2023-08-01T00:39:00,2023-08-01T00:40:00,-2.80253705171112,-3.1052724177859057,,1,-0.0014280980629193022,2,regime_break,29257.18,23.91,29251.04,23.92
BTCUSDT/SOLUSDT,long_a_short_b,2023-08-01T00:41:00,2023-08-01T00:42:00,-3.1054252946874605,-3.0056268689866794,,1,-0.0006762860526195784,2,regime_break,29261.05,23.93,29264.67,23.93
BTCUSDT/SOLUSDT,long_a_short_b,2023-08-01T00:47:00,2023-08-01T01:26:00,-2.798095488999991,-0.2889678199718027,,1,0.003457025932730252,40,z_mean_revert,29278.16,23.94,29268.27,23.83
BTCUSDT/SOLUSDT,short_a_long_b,2023-08-07T00:40:00,2023-08-07T01:06:00,2.573790296641589,0.3753292488571856,,-1,0.0036630861367040976,27,z_mean_revert,29025.25,23.05,29072.0,23.19
BTCUSDT/SOLUSDT,short_a_long_b,2023-08-20T14:42:00,2023-08-20T15:31:00,2.5987056406299742,0.37206280321502194,,-1,0.0014189184229838289,50,z_mean_revert,26096.01,21.78,26074.05,21.81
BTCUSDT/SOLUSDT,long_a_short_b,2023-08-29T13:45:00,2023-08-29T14:21:00,-2.6772857532629506,-0.2814244837485972,,1,0.003929696144661899,37,z_mean_revert,26098.61,20.4,26823.34,20.87
BTCUSDT/SOLUSDT,long_a_short_b,2023-08-30T22:44:00,2023-08-30T23:40:00,-2.625329970372404,-0.3831083734440187,,1,0.0019493368907026695,57,z_mean_revert,27246.99,20.87,27295.79,20.85
BTCUSDT/SOLUSDT,short_a_long_b,2023-09-05T20:39:00,2023-09-05T21:16:00,2.6598098398423584,0.42850694496011377,,-1,0.005019663570078015,38,z_mean_revert,25675.01,20.09,25730.07,20.25
BTCUSDT/SOLUSDT,short_a_long_b,2023-09-17T00:13:00,2023-09-17T00:15:00,2.6194405852815708,3.1708081384395133,,-1,-0.001531719396417696,3,regime_break,26503.54,18.99,26495.02,18.97
BTCUSDT/SOLUSDT,short_a_long_b,2023-09-20T12:49:00,2023-09-20T13:10:00,2.5025153603783643,0.48350648955451325,,-1,0.002554627670864252,22,z_mean_revert,27027.85,19.92,27100.0,20.04
BTCUSDT/SOLUSDT,short_a_long_b,2023-10-01T16:21:00,2023-10-01T16:22:00,2.624450699006096,3.0774750807475284,,-1,-0.002547487986020091,2,regime_break,27130.63,22.89,27130.63,22.85
BTCUSDT/SOLUSDT,short_a_long_b,2023-10-01T16:23:00,2023-10-01T16:33:00,3.1516855425447554,3.332702513279325,,-1,-0.0035791434978126083,11,regime_break,27130.62,22.84,27122.87,22.77
BTCUSDT/SOLUSDT,short_a_long_b,2023-10-01T16:41:00,2023-10-01T16:58:00,2.589207764871661,3.113815619150395,,-1,-0.007357849578459063,18,regime_break,27097.11,22.79,27108.35,22.65
BTCUSDT/SOLUSDT,short_a_long_b,2023-10-01T16:59:00,2023-10-01T17:08:00,2.9889625132855646,3.027854938210885,,-1,-0.004546043953958278,10,regime_break,27112.19,22.66,27130.0,22.59
