date,equity
2026-06-10,100000.0
2026-06-11,100000.0
2026-06-12,100000.0
2026-06-13,100000.0
2026-06-14,100000.0
2026-06-15,100000.0
2026-06-16,100000.0
2026-06-17,100000.0
2026-06-18,100000.0
2026-06-19,100000.0
2026-06-20,95777.38050430594
2026-06-21,95777.38050430594
2026-06-22,95166.865125299
2026-06-23,95166.865125299
2026-06-24,94091.15938243548
2026-06-25,92884.49217664948
2026-06-26,93714.82385152535
2026-06-27,94315.80721704429
2026-06-28,95012.83549994898
2026-06-29,95124.3092708872
2026-06-30,95124.3092708872
2026-07-01,92985.11587233504
2026-07-02,91822.81135997275
2026-07-03,91822.81135997275
2026-07-04,87509.22119291725
2026-07-05,87161.28495361583
2026-07-06,87161.28495361583
2026-07-07,87161.28495361583
2026-07-08,87161.28495361583
2026-07-09,85497.48483512875
2026-07-10,85497.48483512875
2026-07-11,85497.48483512875
2026-07-12,85497.48483512875
2026-07-13,84115.31527024413
2026-07-14,86389.55334182363
2026-07-15,88530.5890197571
2026-07-16,88530.5890197571
2026-07-17,89698.88815358351
