variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,funding_paid_pct,net_pnl_pct,bars_held,decision_tf,size_mult,conviction,exit_reason,agree_count,regime_4h_at_entry
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 16:00:00+00:00,46868.9,2024-01-09 16:06:00+00:00,46800.0,-0.0014700579702106031,1.25e-06,-0.002471307970210603,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 16:07:00+00:00,46800.1,2024-01-09 16:13:00+00:00,46916.1,0.002478627182420645,1.25e-06,0.0014773771824206452,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 16:14:00+00:00,46916.0,2024-01-09 16:20:00+00:00,46821.1,-0.002022764089010143,1.25e-06,-0.003024014089010143,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 16:21:00+00:00,46821.1,2024-01-09 16:27:00+00:00,46829.2,0.00017299892569799802,1.25e-06,-0.000828251074302002,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 16:28:00+00:00,46829.2,2024-01-09 16:34:00+00:00,46811.0,-0.00038864640010927154,1.25e-06,-0.0013898964001092715,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 16:35:00+00:00,46811.0,2024-01-09 16:41:00+00:00,46824.3,0.0002841212535515947,1.25e-06,-0.0007171287464484053,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 16:42:00+00:00,46824.3,2024-01-09 16:48:00+00:00,46801.6,-0.0004847910166303482,1.25e-06,-0.0014860410166303482,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 16:49:00+00:00,46801.6,2024-01-09 16:55:00+00:00,46879.6,0.0016666096885575854,1.25e-06,0.0006653596885575854,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 16:56:00+00:00,46879.7,2024-01-09 17:02:00+00:00,46821.0,-0.0012521411186504627,1.25e-06,-0.0022533911186504627,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 17:03:00+00:00,46821.1,2024-01-09 17:09:00+00:00,46793.6,-0.0005873420316908629,1.25e-06,-0.0015885920316908628,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 17:10:00+00:00,46793.6,2024-01-09 17:16:00+00:00,46763.0,-0.000653935580934073,1.25e-06,-0.001655185580934073,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 17:17:00+00:00,46762.9,2024-01-09 17:23:00+00:00,46893.1,0.002784258461301592,1.25e-06,0.001783008461301592,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 17:24:00+00:00,46893.1,2024-01-09 17:30:00+00:00,46750.0,-0.003051621667153559,1.25e-06,-0.004052871667153559,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 17:31:00+00:00,46750.0,2024-01-09 17:37:00+00:00,46702.6,-0.0010139037433155584,1.25e-06,-0.0020151537433155584,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 17:38:00+00:00,46702.7,2024-01-09 17:44:00+00:00,46682.2,-0.000438946784661276,1.25e-06,-0.001440196784661276,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 17:45:00+00:00,46681.7,2024-01-09 17:51:00+00:00,46791.1,0.0023435307625900847,1.25e-06,0.0013422807625900848,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 17:52:00+00:00,46791.0,2024-01-09 17:58:00+00:00,46724.4,-0.0014233506443546151,1.25e-06,-0.002424600644354615,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 17:59:00+00:00,46724.4,2024-01-09 18:05:00+00:00,46648.5,-0.0016244189331484638,1.25e-06,-0.0026256689331484637,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 18:06:00+00:00,46648.6,2024-01-09 18:12:00+00:00,46614.8,-0.0007245662249241169,1.25e-06,-0.001725816224924117,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 18:13:00+00:00,46614.8,2024-01-09 18:19:00+00:00,46596.7,-0.0003882886980102196,1.25e-06,-0.0013895386980102196,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 18:20:00+00:00,46596.7,2024-01-09 18:26:00+00:00,46600.1,7.296654054900209e-05,1.25e-06,-0.0009282834594509979,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 18:27:00+00:00,46600.0,2024-01-09 18:33:00+00:00,46527.6,-0.001553648068669533,1.25e-06,-0.002554898068669533,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 18:34:00+00:00,46527.7,2024-01-09 18:40:00+00:00,46618.0,0.0019407793636909698,1.25e-06,0.0009395293636909698,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 18:41:00+00:00,46617.9,2024-01-09 18:47:00+00:00,46648.5,0.0006564002239481947,1.25e-06,-0.0003448497760518053,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 18:48:00+00:00,46648.5,2024-01-09 18:54:00+00:00,46650.9,5.144859963346349e-05,1.25e-06,-0.0009498014003665365,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 18:55:00+00:00,46651.0,2024-01-09 19:01:00+00:00,46705.1,0.0011596750337612427,1.25e-06,0.00015842503376124268,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 19:02:00+00:00,46705.0,2024-01-09 19:08:00+00:00,46653.1,-0.0011112300610213177,1.25e-06,-0.0021124800610213177,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 19:09:00+00:00,46653.1,2024-01-09 19:15:00+00:00,46655.0,4.0726125380752265e-05,1.25e-06,-0.0009605238746192477,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 19:16:00+00:00,46655.0,2024-01-09 19:22:00+00:00,46697.3,0.0009066552352374746,1.25e-06,-9.459476476252542e-05,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 19:23:00+00:00,46697.3,2024-01-09 19:29:00+00:00,46739.0,0.0008929852475410005,1.25e-06,-0.00010826475245899952,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 19:30:00+00:00,46738.8,2024-01-09 19:36:00+00:00,46807.3,0.0014655917567416576,1.25e-06,0.0004643417567416576,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 19:37:00+00:00,46807.4,2024-01-09 19:43:00+00:00,46743.9,-0.0013566230980571747,1.25e-06,-0.0023578730980571747,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 19:44:00+00:00,46743.9,2024-01-09 19:50:00+00:00,46834.9,0.0019467780822737257,1.25e-06,0.0009455280822737258,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 19:51:00+00:00,46834.9,2024-01-09 19:57:00+00:00,46859.8,0.0005316548129707943,1.25e-06,-0.0004695951870292057,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 19:58:00+00:00,46859.9,2024-01-09 20:04:00+00:00,46874.0,0.00030089692893064957,1.25e-06,-0.0007003530710693504,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 20:05:00+00:00,46874.0,2024-01-09 20:11:00+00:00,46830.0,-0.0009386866919827153,1.25e-06,-0.0019399366919827152,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 20:12:00+00:00,46830.0,2024-01-09 20:18:00+00:00,46777.3,-0.0011253469997863919,1.25e-06,-0.002126596999786392,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 20:19:00+00:00,46777.3,2024-01-09 20:25:00+00:00,46714.5,-0.0013425315270441107,1.25e-06,-0.0023437815270441107,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 20:26:00+00:00,46714.5,2024-01-09 20:32:00+00:00,46713.0,-3.210994444979853e-05,1.25e-06,-0.0010333599444497985,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 20:33:00+00:00,46713.0,2024-01-09 20:39:00+00:00,46690.0,-0.000492368291482026,1.25e-06,-0.001493618291482026,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 20:40:00+00:00,46690.1,2024-01-09 20:46:00+00:00,46745.9,0.001195114167671596,1.25e-06,0.00019386416767159593,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 20:47:00+00:00,46745.9,2024-01-09 20:53:00+00:00,46703.3,-0.0009113098688868781,1.25e-06,-0.0019125598688868781,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 20:54:00+00:00,46703.4,2024-01-09 21:00:00+00:00,46690.7,-0.0002719288103222306,1.25e-06,-0.0012731788103222306,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 21:01:00+00:00,46690.7,2024-01-09 21:07:00+00:00,46784.0,0.0019982566121306,1.25e-06,0.0009970066121306,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 21:08:00+00:00,46783.9,2024-01-09 21:14:00+00:00,47983.8,0.025647712140287604,1.25e-06,0.024646462140287602,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 21:15:00+00:00,47982.6,2024-01-09 21:17:00+00:00,46086.8,-0.039510155764797994,4.1666666666666667e-07,-0.040510572431464664,2,4h,0.5,,hard_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 21:18:00+00:00,46086.8,2024-01-09 21:24:00+00:00,46120.0,0.0007203798050634536,1.25e-06,-0.00028087019493654646,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 21:25:00+00:00,46119.9,2024-01-09 21:31:00+00:00,45970.8,-0.003232877781608301,1.25e-06,-0.004234127781608301,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 21:32:00+00:00,45973.4,2024-01-09 21:38:00+00:00,46102.3,0.0028037952381159137,1.25e-06,0.0018025452381159137,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 21:39:00+00:00,46101.8,2024-01-09 21:45:00+00:00,46102.8,2.169112702765652e-05,1.25e-06,-0.0009795588729723434,6,4h,0.5,,time_stop,1,MEAN_REVERT
vpvr_multi_tf_funding_v1,BTCUSDT,long,2024-01-09 21:46:00+00:00,46102.8,2024-01-09 21:52:00+00:00,45766.1,-0.0073032440545911514,1.25e-06,-0.008304494054591152,6,4h,0.5,,time_stop,1,MEAN_REVERT
