variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,poc_dist_at_entry,funding_z_at_entry
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-01-10T16:00:00,41904.400000,2022-01-10T21:00:00,41714.130000,0.003341,6,time_stop,2.090,-3.317
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-01-11T09:00:00,41984.800000,2022-01-11T14:00:00,41642.000000,0.006965,6,time_stop,2.579,-1.388
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-01-12T01:00:00,42626.050000,2022-01-12T06:00:00,42675.550000,-0.002361,6,time_stop,4.123,-6.494
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-01-12T16:00:00,43611.020000,2022-01-12T21:00:00,43773.090000,-0.004916,6,time_stop,2.081,-3.016
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-01-13T00:00:00,43720.000000,2022-01-13T05:00:00,43662.680000,0.000111,6,time_stop,2.649,-2.118
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-01-15T12:00:00,42715.560000,2022-01-15T15:00:00,43401.210000,0.014852,4,tp_atr,-1.809,1.320
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-01-17T17:00:00,42110.830000,2022-01-17T21:00:00,41724.200000,-0.010381,5,sl_atr,-1.929,1.497
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-01-18T01:00:00,42260.900000,2022-01-18T06:00:00,42236.070000,-0.001788,6,time_stop,-2.531,1.264
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-01-23T23:00:00,36244.550000,2022-01-24T04:00:00,35123.560000,0.029729,6,tp_atr,1.378,-1.676
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-01-25T17:00:00,37273.330000,2022-01-25T22:00:00,36791.160000,0.011736,6,time_stop,1.554,-3.302
