date,equity
2026-06-10,100000.0
2026-06-11,100000.0
2026-06-12,100000.0
2026-06-13,100000.0
2026-06-14,100000.0
2026-06-15,100000.0
2026-06-16,100000.0
2026-06-17,100000.0
2026-06-18,100000.0
2026-06-19,100000.0
2026-06-20,100000.0
2026-06-21,100000.0
2026-06-22,100000.0
2026-06-23,100000.0
2026-06-24,101097.87012761022
2026-06-25,102976.45669346923
2026-06-26,102976.45669346923
2026-06-27,102976.45669346923
2026-06-28,102976.45669346923
2026-06-29,102976.45669346923
2026-06-30,102976.45669346923
2026-07-01,102976.45669346923
2026-07-02,102976.45669346923
2026-07-03,102976.45669346923
2026-07-04,102976.45669346923
2026-07-05,102976.45669346923
2026-07-06,102976.45669346923
2026-07-07,102976.45669346923
2026-07-08,102976.45669346923
2026-07-09,102976.45669346923
2026-07-10,102976.45669346923
