ts,symbol,loid_z,vpvr_dist_pct,hvn_price,funding_rate,side
2026-06-19T00:05:00+00:00,SOLUSDT,4.815,0.001711,69.8295,0.0001,unknown
2026-06-19T00:19:00+00:00,SOLUSDT,6.656,0.000709,69.8295,0.0001,unknown
2026-06-19T06:28:00+00:00,SOLUSDT,4.1122,0.001111,68.8064,0.0001,unknown
2026-06-27T03:07:00+00:00,SOLUSDT,4.167,0.000495,71.8645,0.0001,unknown
2026-06-27T03:29:00+00:00,SOLUSDT,3.0865,0.000167,72.1779,0.0001,unknown
2026-06-27T03:36:00+00:00,SOLUSDT,9.9569,0.000583,72.1779,0.0001,unknown
2026-06-27T03:42:00+00:00,SOLUSDT,4.0278,0.00183,72.1779,0.0001,unknown
2026-06-30T03:33:00+00:00,SOLUSDT,3.6003,0.000829,74.4518,0.0001,unknown
2026-06-30T06:33:00+00:00,SOLUSDT,4.7808,0.00054,74.14,0.0001,unknown
2026-06-30T06:59:00+00:00,SOLUSDT,12.1363,0.000405,74.14,0.0001,unknown
2026-06-30T07:52:00+00:00,SOLUSDT,10.0243,0.000373,74.0524,0.0001,unknown
2026-07-01T00:12:00+00:00,SOLUSDT,4.1756,0.000916,73.6775,0.0001,unknown
2026-07-01T00:15:00+00:00,SOLUSDT,9.5572,0.000102,73.6775,0.0001,unknown
2026-07-01T00:33:00+00:00,SOLUSDT,4.6757,0.000896,73.684,0.0001,unknown
2026-07-01T00:51:00+00:00,SOLUSDT,3.1963,0.000489,73.684,0.0001,unknown
2026-07-01T13:30:00+00:00,SOLUSDT,4.8981,0.001116,75.1739,0.0001,unknown
2026-07-10T17:22:00+00:00,SOLUSDT,3.0391,0.001235,77.694,0.0001,unknown
2026-07-10T17:54:00+00:00,SOLUSDT,5.3178,0.000862,77.697,0.0001,unknown
2026-07-10T18:10:00+00:00,SOLUSDT,3.8508,0.000893,77.8395,0.0001,unknown
2026-07-10T20:55:00+00:00,SOLUSDT,3.6433,2.3e-05,77.8382,0.0001,unknown
2026-07-10T22:03:00+00:00,SOLUSDT,10.3786,0.001453,77.9168,0.0001,unknown
2026-07-10T22:15:00+00:00,SOLUSDT,4.6217,0.001838,77.9168,0.0001,unknown
2026-07-10T22:44:00+00:00,SOLUSDT,5.3318,0.000504,78.0407,0.0001,unknown
2026-07-10T22:51:00+00:00,SOLUSDT,5.9603,0.000632,78.0407,0.0001,unknown
