openTime,equity
2024-01-01,101175.82898265077
2024-01-02,100424.95489363292
2024-01-03,100238.823517936
2024-01-04,99752.74340321936
2024-01-05,99113.93083607644
2024-01-06,98390.51485395271
2024-01-07,98667.10399585126
2024-01-08,100729.23149667552
2024-01-09,101536.54692552166
2024-01-10,100468.42491116225
2024-01-11,100108.66003518766
2024-01-12,101847.9963657463
2024-01-13,101230.66912182188
2024-01-14,101348.21669417848
2024-01-15,102528.9977389438
2024-01-16,103339.7613710981
2024-01-17,102215.13663646429
2024-01-18,101353.10190690229
2024-01-19,100989.08003318733
2024-01-20,100998.01691718827
2024-01-21,100969.74095115808
2024-01-22,101415.81419717269
2024-01-23,99001.2498718067
2024-01-24,98725.99963078464
2024-01-25,100648.71263792245
2024-01-26,101487.03251929463
2024-01-27,101451.85619668929
2024-01-28,101140.42214829636
2024-01-29,100965.40874045662
2024-01-30,101180.12320629999
2024-01-31,101075.33081745297
2024-02-01,101236.58164307178
2024-02-02,100353.9161858911
2024-02-03,100646.00064008702
2024-02-04,101570.5488978105
2024-02-05,102746.42317279383
2024-02-06,102385.34521491996
2024-02-07,101696.86488695635
2024-02-08,102192.44329921222
2024-02-09,102430.69393744573
2024-02-10,102351.68463433895
2024-02-11,102062.98019467155
2024-02-12,102408.39233961816
2024-02-13,102573.49873608048
2024-02-14,102078.95337902922
2024-02-15,102274.67728980244
2024-02-16,101194.93722367835
2024-02-17,102041.7953303666
2024-02-18,101758.94066287721
2024-02-19,102675.46406270175
2024-02-20,102088.68247540802
2024-02-21,103212.3186688063
2024-02-22,103195.58573322155
2024-02-23,103242.99519016947
2024-02-24,104197.90728681884
2024-02-25,105081.77196306559
2024-02-26,105261.3747443497
2024-02-27,105261.3747443497
2024-02-28,105537.5414502208
2024-02-29,105537.5414502208
2024-03-01,105537.5414502208
2024-03-02,105537.5414502208
2024-03-03,105537.5414502208
2024-03-04,105537.5414502208
2024-03-05,105537.5414502208
2024-03-06,106182.76618445759
2024-03-07,106481.34736617129
2024-03-08,106481.34736617129
2024-03-09,107090.16288417984
2024-03-10,107482.08855421869
2024-03-11,107052.32783285974
2024-03-12,107052.32783285974
2024-03-13,107052.32783285974
2024-03-14,107052.32783285974
2024-03-15,107488.22034677393
2024-03-16,110947.46952632688
2024-03-17,112674.50187735718
2024-03-18,113375.54876000885
2024-03-19,110506.41208042727
2024-03-20,110688.17681227723
2024-03-21,111848.02311037177
2024-03-22,113302.85164911473
2024-03-23,113255.21095903488
2024-03-24,113417.90918889655
2024-03-25,113044.40504798973
2024-03-26,112965.6093375031
2024-03-27,113089.39386201344
2024-03-28,112095.16297876809
2024-03-29,111373.89004582407
2024-03-30,111836.5295447517
2024-03-31,112541.74467953524
2024-04-01,112541.74467953524
2024-04-02,112500.23499032478
2024-04-03,112697.6768234517
2024-04-04,110962.27279482552
2024-04-05,110576.93128090331
2024-04-06,111834.52992534128
2024-04-07,112345.32506810938
2024-04-08,113187.05410274355
2024-04-09,112072.45161627665
2024-04-10,111979.6533397466
2024-04-11,113269.13988952704
2024-04-12,112496.03157320563
2024-04-13,112783.06930077098
2024-04-14,110926.87151829929
2024-04-15,108954.82282102085
2024-04-16,110069.24952887783
2024-04-17,108523.39387516226
2024-04-18,109441.81694707174
2024-04-19,110724.19279769134
2024-04-20,108946.36460620182
2024-04-21,109588.54847759975
2024-04-22,109823.05953486096
2024-04-23,108894.10238095315
2024-04-24,110368.6319221335
2024-04-25,110469.18128276325
2024-04-26,109019.94758552412
2024-04-27,107430.21758614981
2024-04-28,106530.31878882978
2024-04-29,107177.14183571085
2024-04-30,106960.71663264869
2024-05-01,104376.74708143866
2024-05-02,103972.3986586397
2024-05-03,105667.16255433616
2024-05-04,106693.8053009451
2024-05-05,108499.63044457341
2024-05-06,107628.84950308567
2024-05-07,108248.25850085563
2024-05-08,109176.69232186943
2024-05-09,107909.5062227028
2024-05-10,108662.82858197083
2024-05-11,109651.88665636885
2024-05-12,109775.00377921504
2024-05-13,109388.31947744497
2024-05-14,110119.47607678667
2024-05-15,110421.09341408839
2024-05-16,109566.26588053908
2024-05-17,110606.6619758679
2024-05-18,109459.68215380561
2024-05-19,109496.37272193164
2024-05-20,111385.66181365009
2024-05-21,111772.90795018843
2024-05-22,113111.36846480495
2024-05-23,113801.44858599053
2024-05-24,114097.13885193251
2024-05-25,115756.04287365469
2024-05-26,115543.26331665873
2024-05-27,115491.6583354576
2024-05-28,115319.34999641702
2024-05-29,115609.50110789144
2024-05-30,115364.08684924564
2024-05-31,115586.64091736151
2024-06-01,115406.31934203605
2024-06-02,115217.47420599476
2024-06-03,116006.10194173128
2024-06-04,116302.09804978127
2024-06-05,117494.50877156561
2024-06-06,118188.00592815365
2024-06-07,116610.29442765248
2024-06-08,115775.00318519036
2024-06-09,116351.55303114816
2024-06-10,115599.76976867637
2024-06-11,115149.37821001418
2024-06-12,116675.05002028009
2024-06-13,116104.53541936522
2024-06-14,116485.87894184039
2024-06-15,116872.27269357194
2024-06-16,115575.80885840835
2024-06-17,116627.49431235534
2024-06-18,118802.0180729581
2024-06-19,119421.13600423664
2024-06-20,119764.41596571435
2024-06-21,122679.9116694904
2024-06-22,123750.46237977817
2024-06-23,123754.55948797998
2024-06-24,123078.71875675209
2024-06-25,122604.72029490494
2024-06-26,122010.94112189741
2024-06-27,120753.86666783653
2024-06-28,121049.92466388787
2024-06-29,120892.45567023438
2024-06-30,120128.68615168685
2024-07-01,121221.41256927022
2024-07-02,120577.68437017282
2024-07-03,121606.5603594206
2024-07-04,122230.65675254627
2024-07-05,123085.70854583294
2024-07-06,122990.27989235186
2024-07-07,122578.88190013348
2024-07-08,123605.10323436165
2024-07-09,125010.97606486433
2024-07-10,125394.92992144231
2024-07-11,126041.88189698357
2024-07-12,126346.47880589329
2024-07-13,128304.74138178957
2024-07-14,129225.08491318782
2024-07-15,129469.25791884969
2024-07-16,129881.85896111805
2024-07-17,128821.0341666846
2024-07-18,129194.3386716556
2024-07-19,128025.63251909573
2024-07-20,128467.05920517817
2024-07-21,127862.30750760599
2024-07-22,128915.50512949697
2024-07-23,131107.47882362368
2024-07-24,132050.59104477594
2024-07-25,134100.69583810394
2024-07-26,134654.61714384067
2024-07-27,134003.36568878195
2024-07-28,135950.62212035744
2024-07-29,137130.23670696144
2024-07-30,138212.47028072376
2024-07-31,136609.82762113714
2024-08-01,135548.42974117212
2024-08-02,134514.74308908946
2024-08-03,132253.90091339432
2024-08-04,130306.89843032187
2024-08-05,131382.35340395052
2024-08-06,130581.75969021225
2024-08-07,129864.98247381391
2024-08-08,130076.96924768678
2024-08-09,128896.69522620847
2024-08-10,130188.97568577642
2024-08-11,129118.86263562854
2024-08-12,129520.83546668068
2024-08-13,129287.01611339286
2024-08-14,128100.2730033364
2024-08-15,128071.27831787193
2024-08-16,127985.80856213499
2024-08-17,128808.5335855449
2024-08-18,128502.32604095248
2024-08-19,129476.86255104141
2024-08-20,129821.24463033372
2024-08-21,129328.47619244055
2024-08-22,130056.61464638039
2024-08-23,130517.38980283524
2024-08-24,129673.72357693818
2024-08-25,129912.82399472181
2024-08-26,129972.1440106511
2024-08-27,128303.7631848428
2024-08-28,129069.3230597901
2024-08-29,128641.97930590108
2024-08-30,128778.29532386328
2024-08-31,129662.62982025885
2024-09-01,129617.25418174847
2024-09-02,129843.32572196097
2024-09-03,129567.02178792769
2024-09-04,129286.22693777284
2024-09-05,128983.92283462788
2024-09-06,129750.74450621684
2024-09-07,129925.1307014013
2024-09-08,129431.9326946361
2024-09-09,128599.59158552547
2024-09-10,128842.10372107601
2024-09-11,129967.86199827184
2024-09-12,129623.91518614502
2024-09-13,128940.95737146772
2024-09-14,129049.6463625878
2024-09-15,128833.94612725762
2024-09-16,129049.04163049803
2024-09-17,129001.50507735612
2024-09-18,128977.7013178661
2024-09-19,127887.47471266738
2024-09-20,126029.92712429175
2024-09-21,126813.13388100204
2024-09-22,126771.66279812097
2024-09-23,127052.03497925571
2024-09-24,126646.30321906866
2024-09-25,126886.99978415703
2024-09-26,126581.91381198862
2024-09-27,126391.28493296332
2024-09-28,126428.76819513591
2024-09-29,125440.99486654231
2024-09-30,125553.10375454457
2024-10-01,125022.45773859028
2024-10-02,124983.61758609462
2024-10-03,124980.64044152462
2024-10-04,125732.81653281527
2024-10-05,125759.71977052804
2024-10-06,125653.00210488656
2024-10-07,125601.56591543207
2024-10-08,125930.88510919228
2024-10-09,126533.6080954145
2024-10-10,127319.97057684697
2024-10-11,128291.43882526048
2024-10-12,128857.94137773212
2024-10-13,128711.77879147168
2024-10-14,129256.51788953238
2024-10-15,129065.91298587226
2024-10-16,130216.48660153845
2024-10-17,129808.44277619114
2024-10-18,129642.92890095164
2024-10-19,128917.90253885809
2024-10-20,128293.47687326443
2024-10-21,129231.26145573732
2024-10-22,130369.08723363241
2024-10-23,128880.58440005285
2024-10-24,130475.1460348446
2024-10-25,129669.38059818602
2024-10-26,130848.20324259995
2024-10-27,132048.62668319052
2024-10-28,132325.25071953138
2024-10-29,131056.64509795318
2024-10-30,130916.07119948539
2024-10-31,132038.37888533509
2024-11-01,132396.84986854857
2024-11-02,131163.8237570382
2024-11-03,130621.38908580154
2024-11-04,130988.09313335319
2024-11-05,131287.4405217346
2024-11-06,131743.25679506527
2024-11-07,131709.5551114557
2024-11-08,130867.45666601215
2024-11-09,131622.71870401027
2024-11-10,132681.67850877464
2024-11-11,131293.83434614635
2024-11-12,133589.33047872852
2024-11-13,133821.12022193635
2024-11-14,134977.98461379026
2024-11-15,135668.9978066939
2024-11-16,137632.3329502645
2024-11-17,135299.96761459563
2024-11-18,136141.5605651492
2024-11-19,137920.6187056993
2024-11-20,139435.50306723686
2024-11-21,139848.25696585013
2024-11-22,141777.13884684927
2024-11-23,143203.24168085205
2024-11-24,142442.2548713189
2024-11-25,143157.16632535832
2024-11-26,142927.94471092636
2024-11-27,144630.67560726436
2024-11-28,145694.25911740246
2024-11-29,145367.87038236758
2024-11-30,146986.47889050195
2024-12-01,147535.66915690826
2024-12-02,149372.29241676
2024-12-03,148407.19499634506
2024-12-04,150570.24401461837
2024-12-05,151146.8368406314
2024-12-06,148864.57300985593
2024-12-07,149724.4322925845
2024-12-08,150272.34854175808
2024-12-09,151291.31318362383
2024-12-10,150685.78977431537
2024-12-11,151437.19971752056
2024-12-12,151600.1423321433
2024-12-13,150821.9531407717
2024-12-14,148822.31978022656
2024-12-15,148374.85595533106
2024-12-16,147931.3900092726
2024-12-17,146819.43362137926
2024-12-18,148748.06400978952
2024-12-19,150524.18996449813
2024-12-20,148978.0448010468
2024-12-21,145047.51424754533
2024-12-22,145865.651183905
2024-12-23,144460.54716503265
2024-12-24,144320.05065063463
2024-12-25,142972.1042471109
2024-12-26,145394.1641356608
2024-12-27,146601.59843242166
2024-12-28,144971.31268204038
2024-12-29,145505.8698922094
2024-12-30,146346.0067858883
2024-12-31,146346.0067858883
