method,weight_h3_base,weight_h3_candidate,weight_v72,sharpe,ann_return,max_dd,volatility,turnover_annual,sharpe_0bps,sharpe_8bps,sharpe_22bps
h3_baseline,1.0,0.0,0.0,2.492067515598412,0.45877568211964515,-0.09573542685637476,0.15649746482352983,0.0,2.492067515598412,,
h3_candidate,1.0,1.0,0.0,8.0356151739368,1.1097923249595931,-0.01992615223015055,0.09354619974291678,0.0,8.0356151739368,,
v72_xs_basis_zscore,0.0,0.0,1.0,0.8561866316928713,0.05788500376461991,-0.058856678207026884,0.06845490602799777,0.0,0.8561866316928713,,
equal_weight,0.3333,0.3333,0.3333,5.224502063556661,0.4873093348433637,-0.02738397201996559,0.07658233399033587,0.5995192766624683,5.224502063556661,5.218239321272156,5.20727952227425
risk_parity,0.2014,0.3374,0.4612,5.65575623039504,0.4290385771597669,-0.02449663996072989,0.0635076885136878,0.5488635479731743,5.65575623039504,5.648842251179994,5.636742787553681
correlation_off,0.1753,0.3005,0.5241,5.366867167614749,0.3813160945351972,-0.025549806797201438,0.06055765834227445,0.5280159456923087,5.366867167614749,5.359891786331557,5.347684869085999
