variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,exit_reason
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-05-13T12:00:00+00:00,62980.5,2960.2,2024-05-13T16:00:00+00:00,63140.5,2955.69,-0.004864014581657949,2,1.805352911062951,1.957262783496492,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-05-13T20:00:00+00:00,62912.1,2949.71,2024-05-14T16:00:00+00:00,61563.6,2893.11,0.0014463413825547508,6,1.8629801582021532,1.5889394074872054,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-05-15T08:00:00+00:00,62447.4,2897.74,2024-05-15T12:00:00+00:00,64685.5,2975.54,-0.009791253216210638,2,1.9410488125783125,2.217610060829435,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-05-15T16:00:00+00:00,65959.6,3023.44,2024-05-15T20:00:00+00:00,66175.4,3030.66,-0.0016836912851133415,2,2.267075424313603,2.214163530981186,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-05-16T00:00:00+00:00,65946.9,3012.25,2024-05-16T04:00:00+00:00,66100.0,3015.06,-0.002188707275535861,2,2.2302052389748117,2.199786954262868,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-05-16T08:00:00+00:00,66483.8,3005.21,2024-05-16T12:00:00+00:00,65800.1,2955.53,-0.00704758244693191,2,2.437851538288621,2.5677600892454078,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-05-16T16:00:00+00:00,65152.2,2943.37,2024-05-16T20:00:00+00:00,65217.7,2943.22,-0.001856300262013421,2,2.3058852727741663,2.2794236741936986,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-05-17T00:00:00+00:00,65545.2,2948.84,2024-05-17T04:00:00+00:00,66350.6,3023.58,0.012257855857355305,2,2.3250710230136904,1.8316366945834566,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-05-20T20:00:00+00:00,71466.5,3664.39,2024-05-21T00:00:00+00:00,71323.8,3698.85,-0.012200760591427806,2,-3.288714427835469,-3.5044275157277256,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-05-21T04:00:00+00:00,70926.4,3663.29,2024-05-21T08:00:00+00:00,71163.0,3779.64,-0.02922521486082594,2,-3.1781435274340777,-3.8396386475955255,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-05-21T12:00:00+00:00,69874.9,3779.08,2024-05-21T16:00:00+00:00,69317.7,3715.14,0.008145210753670163,2,-4.006318297269341,-3.450306906900424,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-05-21T20:00:00+00:00,70168.8,3792.32,2024-05-22T00:00:00+00:00,70002.0,3795.98,-0.004142233305681508,2,-3.413349454539775,-3.2571005794464973,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-05-22T04:00:00+00:00,69759.6,3749.24,2024-05-22T20:00:00+00:00,69219.1,3740.25,-0.006150218254710604,5,-2.8649426530472244,-2.5069396748477506,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-05-23T00:00:00+00:00,69483.2,3784.56,2024-05-23T12:00:00+00:00,68103.0,3815.09,-0.02873078238579538,4,-2.5461915714333623,-2.660745701582098,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-05-23T16:00:00+00:00,67239.0,3793.56,2024-05-23T20:00:00+00:00,67999.9,3784.8,0.012825525747172018,2,-2.6449304864411642,-2.316869098704352,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-05-24T00:00:00+00:00,67905.8,3805.31,2024-05-24T12:00:00+00:00,68340.2,3695.69,0.03440421142444763,4,-2.3281785363042924,-1.6055085238814495,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-05T12:00:00+00:00,71625.1,3816.63,2024-06-05T16:00:00+00:00,71314.8,3880.0,0.020135933125214025,2,1.950257753328343,0.8168895083608231,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-07T16:00:00+00:00,69287.2,3689.08,2024-06-07T20:00:00+00:00,69377.0,3679.82,-0.004606165604503087,2,1.9099120190051693,2.0437313871125595,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-08T00:00:00+00:00,69454.6,3690.84,2024-06-08T04:00:00+00:00,69612.5,3710.26,0.0021882473151285894,2,1.8816595797544202,1.6809836897711303,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-08T08:00:00+00:00,69404.5,3684.55,2024-06-08T12:00:00+00:00,69462.1,3689.33,-0.00033260833480284124,2,1.8304363571480688,1.7721389293867973,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-08T16:00:00+00:00,69486.6,3683.31,2024-06-08T20:00:00+00:00,69346.5,3682.11,0.0008904221571367728,2,1.830849956212248,1.7079287458693062,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-10T04:00:00+00:00,69325.3,3649.16,2024-06-10T08:00:00+00:00,69506.7,3677.14,0.0042508686712160685,2,1.8218330989119342,1.5587603804318297,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-11T04:00:00+00:00,67582.0,3535.24,2024-06-11T08:00:00+00:00,66919.6,3530.87,0.007765301003747194,2,1.8297689286341001,1.439594265527872,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-11T12:00:00+00:00,66266.0,3448.47,2024-06-11T16:00:00+00:00,67420.6,3498.5,-0.003715833330208173,2,1.9647631678675235,2.0156279479865478,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-11T20:00:00+00:00,67320.7,3498.16,2024-06-12T00:00:00+00:00,67413.0,3510.47,0.001347943521311424,2,1.8993306043420277,1.7678516012565713,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-12T12:00:00+00:00,69738.0,3617.62,2024-06-12T16:00:00+00:00,67523.2,3528.55,0.006337709141322279,2,1.8206971486932733,1.4857002636793577,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2024-06-13T08:00:00+00:00,67744.6,3496.5,2024-06-13T12:00:00+00:00,66464.4,3442.08,0.0025333116124660834,2,1.8235260012805166,1.6443315608335922,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-06-19T16:00:00+00:00,64851.3,3544.84,2024-06-19T20:00:00+00:00,64933.6,3558.85,-0.003483166455390129,2,-1.9571496901765315,-2.092731546751892,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-06-20T04:00:00+00:00,65831.4,3606.02,2024-06-20T12:00:00+00:00,64794.4,3504.37,0.01163661154906428,3,-1.9573456950345232,-1.0879116041441952,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-06-21T08:00:00+00:00,63745.5,3502.11,2024-06-21T12:00:00+00:00,63716.9,3491.55,0.0017666659258642977,2,-2.0697604018226885,-1.8660027389171319,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-06-21T16:00:00+00:00,64207.5,3533.49,2024-06-21T20:00:00+00:00,64124.0,3517.18,0.0025153619427902515,2,-2.071426430532529,-1.8265339936344136,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-06-24T16:00:00+00:00,59294.7,3292.51,2024-06-24T20:00:00+00:00,60273.6,3352.0,-0.002359218204866486,2,-2.0664937940292933,-2.0710173227081583,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-06-26T16:00:00+00:00,60991.0,3407.34,2024-06-26T20:00:00+00:00,60860.1,3370.76,0.007789428867213144,2,-1.8829491821201934,-1.4308249307963334,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2024-06-27T12:00:00+00:00,61570.5,3451.77,2024-06-28T00:00:00+00:00,61803.0,3459.99,0.0005947720965881149,4,-1.8914549084990833,-1.7027063315175424,confluence_lost
