variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,exit_reason
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-10T00:00:00+00:00,3027.6,153.849,2024-05-10T04:00:00+00:00,3040.39,154.268,0.0007010186094752686,2,-1.848064208612159,-1.7729246600350366,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-10T08:00:00+00:00,3036.44,154.958,2024-05-10T12:00:00+00:00,2917.03,146.852,0.012185291095145679,2,-1.822608426104272,-1.550697245578127,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-16T00:00:00+00:00,3012.25,163.053,2024-05-16T04:00:00+00:00,3015.06,162.683,0.002402058310553646,2,-2.4739428475527387,-2.3983709556248103,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-16T08:00:00+00:00,3005.21,163.662,2024-05-16T12:00:00+00:00,2955.53,160.411,0.002532819519738073,2,-2.58697374187969,-2.4871445632966798,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-16T16:00:00+00:00,2943.37,159.007,2024-05-16T20:00:00+00:00,2943.22,159.303,-0.002712515257496583,2,-2.3212809638952043,-2.291024542908675,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-17T00:00:00+00:00,2948.84,162.123,2024-05-17T04:00:00+00:00,3023.58,169.079,-0.018360135448809742,2,-2.5713965290328136,-2.832391346265299,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-17T08:00:00+00:00,3029.21,167.41,2024-05-17T12:00:00+00:00,3109.85,169.585,0.012828746690556026,2,-2.4653061176200057,-2.1031381525968165,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-17T16:00:00+00:00,3083.52,168.828,2024-05-17T20:00:00+00:00,3090.48,169.351,-0.0016406667270344225,2,-2.1200132248964,-2.072381454573046,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-18T00:00:00+00:00,3112.93,173.144,2024-05-18T04:00:00+00:00,3100.26,172.216,0.0004895801628747261,2,-2.290191682135059,-2.188387398729871,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-18T08:00:00+00:00,3132.84,174.298,2024-05-18T12:00:00+00:00,3109.26,172.334,0.0029413411808182585,2,-2.151114781391812,-2.0159186318449023,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-18T16:00:00+00:00,3118.41,172.151,2024-05-18T20:00:00+00:00,3121.59,172.299,-0.0006399599207983269,2,-1.883813751351232,-1.8317626643429017,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-19T00:00:00+00:00,3127.69,174.218,2024-05-19T04:00:00+00:00,3114.17,174.091,-0.004393707289844539,2,-1.9515728968973851,-1.9627974837791582,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-20T04:00:00+00:00,3090.39,177.93,2024-05-20T08:00:00+00:00,3092.91,177.66,0.0015328817449518314,2,-2.2289127687521004,-2.119784595731189,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2024-05-20T12:00:00+00:00,3116.95,178.911,2024-05-20T16:00:00+00:00,3438.29,187.242,0.05572931920264148,2,-2.047034842224414,-1.0833486733607198,confluence_lost
