variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,exit_reason
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-16T00:00:00+00:00,65946.9,163.053,2024-05-16T04:00:00+00:00,66100.0,162.683,0.003790765586089507,2,-1.9574139080514443,-1.8688758155782899,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-16T08:00:00+00:00,66483.8,163.662,2024-05-16T12:00:00+00:00,65800.1,160.411,0.008780401966669982,2,-1.9454032559941012,-1.5654058746753472,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-17T00:00:00+00:00,65545.2,162.123,2024-05-17T04:00:00+00:00,66350.6,169.079,-0.03141799130616505,2,-2.063677391560386,-3.1567553209172567,regime_break
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-17T08:00:00+00:00,66182.7,167.41,2024-05-17T12:00:00+00:00,67170.0,169.585,0.001125740305391388,2,-2.701533280990638,-2.501873446452501,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-17T16:00:00+00:00,67007.5,168.828,2024-05-17T20:00:00+00:00,66980.0,169.351,-0.004308229195297808,2,-2.3209652569055326,-2.346539324440918,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-18T00:00:00+00:00,66918.9,173.144,2024-05-18T04:00:00+00:00,66854.1,172.216,0.003591364296425393,2,-2.9836873879021324,-2.685838136924632,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-18T08:00:00+00:00,67152.4,174.298,2024-05-18T12:00:00+00:00,66781.4,172.334,0.004943311457701683,2,-2.778162836113394,-2.478949766404978,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-18T16:00:00+00:00,66881.7,172.151,2024-05-18T20:00:00+00:00,66884.9,172.299,-0.001611864696767639,2,-2.3046785185099448,-2.243972000149272,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-19T00:00:00+00:00,67133.0,174.218,2024-05-19T04:00:00+00:00,67295.0,174.091,0.0023420919720726027,2,-2.3608736218615975,-2.1904082659527746,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-19T16:00:00+00:00,66002.9,169.287,2024-05-19T20:00:00+00:00,66239.4,169.853,-0.0005602586316820528,2,-1.8105575117582835,-1.7562175943463703,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-20T00:00:00+00:00,66643.1,172.069,2024-05-20T04:00:00+00:00,66788.9,177.93,-0.03267414364377106,2,-1.8891781851283869,-2.6153736398507625,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-20T08:00:00+00:00,66974.0,177.66,2024-05-20T12:00:00+00:00,67382.1,178.911,-0.0017481306375178632,2,-2.4021138414724033,-2.3351997668438935,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2024-05-20T16:00:00+00:00,69996.4,187.242,2024-05-20T20:00:00+00:00,71466.5,186.701,0.02309181772299587,2,-2.423582014115165,-1.7943885897562175,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-07T16:00:00+00:00,69287.2,162.015,2024-06-07T20:00:00+00:00,69377.0,162.524,0.0010456297293982794,2,2.531471691598227,2.4673153230781164,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-08T00:00:00+00:00,69454.6,162.708,2024-06-08T04:00:00+00:00,69612.5,163.596,0.002384202084746124,2,2.4198154977305313,2.137550744245191,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-08T08:00:00+00:00,69404.5,160.52,2024-06-08T12:00:00+00:00,69462.1,160.145,-0.003966074856634005,2,2.9540582566826887,2.9512977205938578,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-08T16:00:00+00:00,69486.6,159.841,2024-06-08T20:00:00+00:00,69346.5,157.838,-0.011314986806671734,2,2.8968515919811133,3.2241240550293084,regime_break
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-09T00:00:00+00:00,69300.9,157.821,2024-06-09T04:00:00+00:00,69331.9,159.025,0.006381571389858865,2,3.000323114914361,2.5271764221256428,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-09T08:00:00+00:00,69400.6,159.422,2024-06-09T12:00:00+00:00,69530.1,161.591,0.010939421401778749,2,2.3506639889503194,1.7672115108836564,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-10T00:00:00+00:00,69637.3,159.853,2024-06-10T04:00:00+00:00,69325.3,157.642,-0.010151100142164448,2,2.1287619056752543,2.424012676847306,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-10T08:00:00+00:00,69506.7,159.438,2024-06-10T12:00:00+00:00,70090.9,162.36,0.009121928007125435,2,2.011339298415765,1.592715284972648,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-10T20:00:00+00:00,69558.7,159.096,2024-06-11T00:00:00+00:00,68472.3,156.08,-0.004138644403493074,2,1.9949442346578823,2.0524957332494935,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-11T04:00:00+00:00,67582.0,153.361,2024-06-11T08:00:00+00:00,66919.6,153.908,0.012568174154312462,2,2.1373879643956335,1.6052158227336804,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-11T12:00:00+00:00,66266.0,147.593,2024-06-11T16:00:00+00:00,67420.6,149.162,-0.007593131075013559,2,2.616013350064341,2.6962090185089576,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-11T20:00:00+00:00,67320.7,149.245,2024-06-12T00:00:00+00:00,67413.0,149.602,0.00022099061369642637,2,2.505526806670155,2.3674429350107244,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-12T04:00:00+00:00,67449.4,151.765,2024-06-12T08:00:00+00:00,67789.9,151.698,-0.006289700758940841,2,1.8762439715234611,1.9781520780082775,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-13T08:00:00+00:00,67744.6,149.577,2024-06-13T12:00:00+00:00,66464.4,146.804,-0.00044149931918311335,2,2.1032878319774944,2.03085725400666,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-13T16:00:00+00:00,66620.8,147.684,2024-06-13T20:00:00+00:00,66786.9,147.209,-0.006509542083861541,2,1.880278503533589,1.9828667765918222,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2024-06-14T00:00:00+00:00,66749.7,147.454,2024-06-14T12:00:00+00:00,66380.0,143.733,-0.02049638686718067,4,1.869223814368731,2.2197513724975244,confluence_lost
