symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held
SOLUSDT,long,2024-06-08T00:00:00+00:00,157.86956759999998,2024-06-14T00:00:00+00:00,142.94540519999998,stop_loss>=8%,-624.5081052361076,-0.09453476453304732,6
SOLUSDT,long,2024-06-14T00:00:00+00:00,143.0025948,2024-06-16T00:00:00+00:00,151.214751,take_profit>=5%,371.6421554733782,0.05742662370207574,2
SOLUSDT,long,2024-06-16T00:00:00+00:00,151.275249,2024-06-18T00:00:00+00:00,137.3315282,stop_loss>=8%,-742.1440915719365,-0.09217450238670566,2
SOLUSDT,long,2024-06-18T00:00:00+00:00,137.3864718,2024-06-27T00:00:00+00:00,149.62106980000001,take_profit>=5%,787.4708902393481,0.08905242153543691,9
SOLUSDT,long,2024-07-04T00:00:00+00:00,127.785552,2024-07-05T00:00:00+00:00,134.20315399999998,take_profit>=5%,342.95477158875576,0.05022165573147097,1
SOLUSDT,long,2024-08-30T00:00:00+00:00,137.9485842,2024-09-06T00:00:00+00:00,124.93400820000001,stop_loss>=8%,-393.3854738844437,-0.0943436721404205,7
SOLUSDT,long,2024-09-06T00:00:00+00:00,124.9839918,2024-09-09T00:00:00+00:00,134.98699720000002,take_profit>=5%,400.09196165829496,0.08003429283973329,3
SOLUSDT,long,2024-12-09T00:00:00+00:00,216.69333,2024-12-19T00:00:00+00:00,193.67125800000002,stop_loss>=8%,-703.8324168380962,-0.10624264254003568,10
SOLUSDT,long,2024-12-19T00:00:00+00:00,193.748742,2025-01-02T00:00:00+00:00,208.128366,max_hold>=14d,543.8347380625382,0.07421789608316542,14
SOLUSDT,long,2025-01-12T00:00:00+00:00,188.46768600000001,2025-01-15T00:00:00+00:00,205.718848,take_profit>=5%,512.6268812432087,0.09153379216424407,3
SOLUSDT,long,2025-02-17T00:00:00+00:00,177.505494,2025-02-24T00:00:00+00:00,141.701654,stop_loss>=8%,-1195.5931465041444,-0.20170553143555103,7
SOLUSDT,long,2025-02-24T00:00:00+00:00,141.758346,2025-03-02T00:00:00+00:00,178.60427199999998,take_profit>=5%,1847.0808006149439,0.2599206822009619,6
SOLUSDT,long,2025-03-09T00:00:00+00:00,126.445284,2025-03-14T00:00:00+00:00,133.463302,take_profit>=5%,241.66472652308744,0.055502410038479555,5
SOLUSDT,long,2025-03-16T00:00:00+00:00,126.07521,2025-03-19T00:00:00+00:00,135.27294,take_profit>=5%,302.2069352429803,0.07295431036759736,3
SOLUSDT,long,2025-03-20T00:00:00+00:00,127.555506,2025-03-24T00:00:00+00:00,140.92181,take_profit>=5%,437.2268153886422,0.1047881382713498,4
SOLUSDT,long,2025-04-02T00:00:00+00:00,117.363468,2025-04-06T00:00:00+00:00,105.818832,stop_loss>=8%,-545.6696265567123,-0.09836652066211948,4
SOLUSDT,long,2025-05-30T00:00:00+00:00,156.151224,2025-06-10T00:00:00+00:00,165.02698800000002,take_profit>=5%,350.73349972068536,0.05684082245810651,11
SOLUSDT,long,2025-06-10T00:00:00+00:00,165.093012,2025-06-13T00:00:00+00:00,148.510292,stop_loss>=8%,-789.8498025412371,-0.10044471173619385,3
SOLUSDT,long,2025-06-13T00:00:00+00:00,148.569708,2025-06-21T00:00:00+00:00,135.292936,stop_loss>=8%,-652.214671303817,-0.08936392336451249,8
SOLUSDT,long,2025-06-21T00:00:00+00:00,135.347064,2025-06-23T00:00:00+00:00,144.381118,take_profit>=5%,494.6736652954358,0.06674732153776164,2
SOLUSDT,long,2025-06-23T00:00:00+00:00,144.438882,2025-06-29T00:00:00+00:00,153.179358,take_profit>=5%,436.9570899573345,0.060513318013635686,6
SOLUSDT,long,2025-08-01T00:00:00+00:00,162.642522,2025-08-07T00:00:00+00:00,175.22494799999998,take_profit>=5%,519.8669771637358,0.0773624624438618,6
SOLUSDT,long,2025-08-19T00:00:00+00:00,176.165226,2025-08-20T00:00:00+00:00,187.86242000000001,take_profit>=5%,398.48667536990206,0.06639899522508497,1
SOLUSDT,long,2025-10-09T00:00:00+00:00,220.84416000000002,2025-10-10T00:00:00+00:00,187.61247,stop_loss>=8%,-943.8421046105015,-0.15047574724185608,1
SOLUSDT,long,2025-10-10T00:00:00+00:00,187.68753,2025-10-13T00:00:00+00:00,208.528286,take_profit>=5%,652.0816238776323,0.11103964125906507,3
SOLUSDT,long,2025-10-15T00:00:00+00:00,193.768746,2025-10-29T00:00:00+00:00,193.771238,max_hold>=14d,0.06394436630168822,1.2860691166460825e-05,14
SOLUSDT,long,2025-11-03T00:00:00+00:00,165.98318999999998,2025-11-13T00:00:00+00:00,144.59107600000002,stop_loss>=8%,-716.1867719411686,-0.12888120778977663,10
