variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,funding_at_entry,support_level_price,target_lvn_price,nearest_lvn_distance_at_entry,hvn_distance_at_entry
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-03-02 08:00:00,61918.51,2024-03-03 08:00:00,61460.26,-0.008400856383656508,96,time_stop,0.0004601,61969.40625,63833.88125,1449.252499999995,-50.89624999999796
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-03-03 12:00:00,62242.0,2024-03-04 07:45:00,64066.62,0.028314932039459006,79,lvn_target,0.00046267,61995.48958333333,63839.097916666666,1136.1958333333314,246.51041666667152
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-03-05 19:30:00,62330.0,2024-03-06 19:30:00,66821.11,0.07105374618963578,96,time_stop,0.00082969,61990.56458333333,68783.88958333334,5887.779166666674,339.43541666666715
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-03-07 12:00:00,66999.43,2024-03-08 12:00:00,67504.87,0.006543944776843725,96,time_stop,0.00030311,66566.77083333334,68793.35416666667,1237.27833333335,432.65916666665
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-03-08 16:15:00,66816.64,2024-03-09 16:15:00,68133.51,0.018708713278608458,96,time_stop,0.00043497,67483.02916666667,69761.24583333333,2375.0516666666663,-666.389166666675
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-03-15 03:15:00,67439.25,2024-03-16 03:15:00,69190.0,0.024960401398295473,96,time_stop,0.00038258,67201.10624999998,,,238.14375000001746
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-03-18 16:15:00,67800.0,2024-03-19 16:15:00,64296.0,-0.0526814159292035,96,time_stop,0.00030597,67552.37708333333,,,247.62291666667443
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-03-28 02:30:00,68980.0,2024-03-29 02:30:00,70637.31,0.023025949550594338,96,time_stop,0.00043631,67823.15,73477.51666666666,4093.6333333333314,1156.8500000000058
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-03-30 20:00:00,69844.01,2024-03-31 20:00:00,71050.5,0.016274065449564,96,time_stop,0.00032267,69881.35416666666,73573.70416666666,3421.9983333333366,-37.344166666662204
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-04-01 05:30:00,70158.01,2024-04-02 05:30:00,66571.2,-0.05212473971254317,96,time_stop,0.00040301,69881.35416666666,,,276.6558333333378
vpvr_funding_hvn_lvn,BTCUSDT,long,2024-04-09 07:30:00,70472.01,2024-04-10 07:30:00,69421.42,-0.01590790457090685,96,time_stop,0.00035189,69793.4625,73608.87083333332,2864.3316666666506,678.5475000000006
