symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_4h_at_entry,vpvr_dist_atr_4h_at_entry,size_units,nav_at_entry
ETHUSDT,long,2022-02-25,2022-02-26,2768.60361,2022-02-27,2022-02-28,2616.266642,trailing_stop<entry-2.0*ATR,-429.2722710221588,-0.055023033073340555,12,103.44811177994562,0.6146488209005511,2.817912662028029,100000.0
ETHUSDT,long,2022-08-31,2022-08-31,1606.87131,2022-09-05,2022-09-05,1562.1875,time_stop>=30bars,-259.0664424410473,-0.027807958062304294,31,49.99844636516556,0.7805213382022627,5.797769761375484,98436.96499532856
ETHUSDT,long,2023-03-12,2023-03-13,1580.6460659999998,2023-03-18,2023-03-18,1810.217884,time_stop>=30bars,1455.3386157684122,0.1452392302983787,31,36.461819882460944,0.539479004064414,6.339360939191632,100182.82273032711
ETHUSDT,long,2023-08-23,2023-08-23,1687.53744,2023-08-24,2023-08-24,1643.07132,trailing_stop<entry-2.0*ATR,-273.944892019514,-0.026349708721129184,5,22.47719330808115,0.1958573715881871,6.160755469996346,103944.26628977834
ETHUSDT,long,2023-09-14,2023-09-14,1621.67427,2023-09-17,2023-09-17,1629.164102,vol_cool,47.49834750672841,0.004618579784212651,20,21.17261522047161,0.37179224239071396,6.341710669442202,102821.32593900114
ETHUSDT,long,2024-05-23,2024-05-23,3814.7527979999995,2024-05-23,2024-05-24,3782.84328,trailing_stop<entry-2.0*ATR,-66.86497115099212,-0.008364766916673871,4,84.54323358983393,1.5680533715996308,2.095455379520092,102152.75031432981
ETHUSDT,long,2024-07-10,2024-07-10,3097.689414,2024-07-12,2024-07-12,3071.6855400000004,vol_cool,-85.7141911433201,-0.008394603371943976,12,66.40690215331126,0.6109550011753003,3.296208524288402,102085.88534317882
ETHUSDT,long,2024-11-18,2024-11-19,3208.4515619999997,2024-11-20,2024-11-20,3057.4283920000003,trailing_stop<entry-2.0*ATR,-480.21513705371865,-0.047070422314824834,11,82.41166017570077,0.6738343547255834,3.179744783887933,102000.1711520355
ETHUSDT,long,2025-07-26,2025-07-26,3751.2500999999997,2025-07-28,2025-07-28,3807.348378,vol_cool,151.2278782614624,0.014954555549362203,11,78.15330086178366,0.21304219413378503,2.6957668515504345,101104.73576739905
ETHUSDT,long,2025-08-07,2025-08-07,3837.777402,2025-08-12,2025-08-12,4516.066606,time_stop>=30bars,1789.9569451595914,0.1767401109940665,31,72.95881774872703,0.8184816951652344,2.6389288442214256,101255.96364566051
ETHUSDT,long,2025-12-03,2025-12-03,3058.051488,2025-12-06,2025-12-06,3039.701938,vol_cool,-59.59343034438643,-0.006000405837509493,17,61.15267761153207,0.7337151629920289,3.2476780272206733,102460.01118243473
ETHUSDT,long,2025-12-19,2025-12-19,2985.6170039999997,2025-12-22,2025-12-22,3029.054068,vol_cool,149.00983911412052,0.014548772981197944,15,73.74245841538584,0.31550885569205483,3.4304767724199623,102400.41775209035
