symbol,tf,er,fast,slow,lb,year,t,mean
BTC,1h,15,3,30,10,2019,-0.271908396051876,-2.1394327280234078e-05
BTC,1h,15,3,30,10,2020,2.4079361554666026,0.00013173766309750325
BTC,1h,15,3,30,10,2021,1.2119950577807448,7.855442617276328e-05
BTC,1h,15,3,30,10,2022,-0.7605141665264769,-3.491669186262354e-05
BTC,1h,15,3,30,10,2023,1.7089603407415983,6.626585647097471e-05
BTC,1h,15,3,30,10,2024,1.6686126011369087,6.931511361820177e-05
BTC,1h,15,3,30,10,2025,-1.019620963854015,-3.5563630357292424e-05
BTC,1h,15,3,30,10,2026,-0.444586616399785,-1.9194552375510488e-05
BTC,1h,15,3,30,10,20242026,0.38927069859810887,9.031755626998362e-06
BTC,1h,15,3,50,10,2019,-0.26068574928449656,-2.0633034645173263e-05
BTC,1h,15,3,50,10,2020,2.5531440373614815,0.000139971851260102
BTC,1h,15,3,50,10,2021,1.015732282876952,6.481839395656831e-05
BTC,1h,15,3,50,10,2022,-0.7060829226375335,-3.225615946080178e-05
BTC,1h,15,3,50,10,2023,1.6106571032033055,6.250222428264701e-05
BTC,1h,15,3,50,10,2024,1.6958909436115437,7.034984728388295e-05
BTC,1h,15,3,50,10,2025,-1.4692588556199924,-5.0893011025111165e-05
BTC,1h,15,3,50,10,2026,-0.2705824285120624,-1.1719766713126186e-05
BTC,1h,15,3,50,10,20242026,0.22017266830312213,5.095665497376832e-06
BTC,1h,15,2,50,10,2019,-0.31521082027078967,-2.473041333457866e-05
BTC,1h,15,2,50,10,2020,2.299802805064592,0.00013344542574448637
BTC,1h,15,2,50,10,2021,0.6693450650153097,4.3462202024108154e-05
BTC,1h,15,2,50,10,2022,-0.0992672938090856,-4.7313112879007e-06
BTC,1h,15,2,50,10,2023,1.8196801664727538,6.974866943975286e-05
BTC,1h,15,2,50,10,2024,1.8396669084059791,7.594771773742795e-05
BTC,1h,15,2,50,10,2025,-1.5894826198075511,-5.595805887632243e-05
BTC,1h,15,2,50,10,2026,-0.44004801276135397,-1.9327116648556608e-05
BTC,1h,15,2,50,10,20242026,0.1565346125255783,3.643284496887636e-06
BTC,1h,15,2,20,10,2019,-0.3355948133010504,-2.6349401018832332e-05
BTC,1h,15,2,20,10,2020,2.1100783350880876,0.00012189311122331769
BTC,1h,15,2,20,10,2021,0.6156007569255433,4.019232752080618e-05
BTC,1h,15,2,20,10,2022,-0.2458527821799147,-1.1940099595523544e-05
BTC,1h,15,2,20,10,2023,2.092898947030385,8.04093409175453e-05
BTC,1h,15,2,20,10,2024,1.784686611665861,7.347042399965356e-05
BTC,1h,15,2,20,10,2025,-1.5938587116087894,-5.5711708275449286e-05
BTC,1h,15,2,20,10,2026,-0.1374307222842625,-6.026298029872705e-06
BTC,1h,15,2,20,10,20242026,0.24521500838091212,5.6837719735152844e-06
BTC,1h,15,3,20,10,2019,-0.3368187151150821,-2.657932039865973e-05
BTC,1h,15,3,20,10,2020,2.50222482341804,0.00014490492469404622
BTC,1h,15,3,20,10,2021,0.6335855122423649,4.129808193439155e-05
BTC,1h,15,3,20,10,2022,-0.9206661808611553,-4.264366314995564e-05
BTC,1h,15,3,20,10,2023,1.8076603905516802,6.996933592941863e-05
BTC,1h,15,3,20,10,2024,1.6494884729494719,6.837978129693614e-05
BTC,1h,15,3,20,10,2025,-0.9616579945041597,-3.3504942408101355e-05
BTC,1h,15,3,20,10,2026,-0.41991244148308127,-1.8376801265589538e-05
BTC,1h,15,3,20,10,20242026,0.4154568993081119,9.647918500294624e-06
BTC,4h,5,2,30,10,2019,0.19226002238184445,5.374802763942736e-05
BTC,4h,5,2,30,10,2020,2.5432468143119835,0.0005176600160256695
BTC,4h,5,2,30,10,2021,0.6120258754521511,0.00016458804361276234
BTC,4h,5,2,30,10,2022,-0.07653238555299338,-1.3469071127517939e-05
BTC,4h,5,2,30,10,2023,1.7387228863964124,0.0002803490829546969
BTC,4h,5,2,30,10,2024,2.7207776152542,0.00046361353281931925
BTC,4h,5,2,30,10,2025,-0.14686701522793774,-2.0081547157213377e-05
BTC,4h,5,2,30,10,2026,0.20338569365826759,3.518989356653433e-05
BTC,4h,5,2,30,10,20242026,1.9394878287862602,0.00018116102188101232
BTC,4h,5,2,50,10,2019,0.17288844660631097,4.830452465977566e-05
BTC,4h,5,2,50,10,2020,2.5012131572535687,0.000509095019749492
BTC,4h,5,2,50,10,2021,0.5135560371098193,0.00013773042810523203
BTC,4h,5,2,50,10,2022,-0.034159032161590316,-6.009738799429367e-06
BTC,4h,5,2,50,10,2023,1.7831535506077736,0.00028708373769117766
BTC,4h,5,2,50,10,2024,2.7808116083653123,0.0004737245503791312
BTC,4h,5,2,50,10,2025,-0.24039844076309558,-3.281344531434839e-05
BTC,4h,5,2,50,10,2026,0.08435895178925984,1.4602655468138281e-05
BTC,4h,5,2,50,10,20242026,1.881435170977027,0.0001756408357585397
BTC,4h,5,2,20,10,2019,0.17141366465339045,4.7932686278684835e-05
BTC,4h,5,2,20,10,2020,2.5526027447275133,0.0005185075886436695
BTC,4h,5,2,20,10,2021,0.6017484398324461,0.00016144797467904508
BTC,4h,5,2,20,10,2022,-0.10142082200832617,-1.7855904951918456e-05
BTC,4h,5,2,20,10,2023,1.627316226144292,0.0002630673834517696
BTC,4h,5,2,20,10,2024,2.635909569024734,0.00044761246520134577
BTC,4h,5,2,20,10,2025,-0.16459123083510224,-2.251886168831266e-05
BTC,4h,5,2,20,10,2026,0.24616247002868,4.266542961944529e-05
BTC,4h,5,2,20,10,20242026,1.8822852324048156,0.0001755910158327401
BTC,4h,10,3,20,10,2019,-0.0005606481314038138,-1.510367290238759e-07
BTC,4h,10,3,20,10,2020,2.5922401806431097,0.0005598525636553227
BTC,4h,10,3,20,10,2021,0.926108165085847,0.00023307890563104702
BTC,4h,10,3,20,10,2022,-1.2756875096399978,-0.00020087954796023025
BTC,4h,10,3,20,10,2023,2.4642299988087935,0.00039344035781673723
