event_start,pair,leader,laggard,z_at_event,in_sample,ret_4h_ETHUSDT,ret_4h_BTCUSDT,ret_12h_ETHUSDT,ret_12h_BTCUSDT,ret_24h_ETHUSDT,ret_24h_BTCUSDT,ret_4h_SOLUSDT,ret_12h_SOLUSDT,ret_24h_SOLUSDT
2026-05-10 00:00:00.003000+00:00,BTCUSDT-ETHUSDT,ETHUSDT,BTCUSDT,-2.008527616232141,True,0.0002135935075233686,0.00039284124457905634,0.004830073676703517,0.005038916037066743,0.01930903041745946,0.019145658634927232,,,
2026-05-27 08:00:00.004000+00:00,BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2.2146522842877125,True,-0.0028733734720514104,-0.004219336745617808,-0.0170577803128239,-0.01424582653634665,-0.04249247582611426,-0.03257099586834955,,,
2026-05-28 00:00:00.001000+00:00,BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2.444381426769802,True,-0.007268015873370781,-0.0063870883249720345,-0.01564570710476254,-0.016540407411057556,-0.007259443011580435,-0.011107527796857752,,,
2026-05-28 16:00:00.001000+00:00,BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2.0618353162352965,True,0.0048288798560414126,0.004694892955809715,0.00904682047390648,0.00868134704203416,0.02060296720115007,0.011963530613223083,,,
2026-06-07 08:00:00+00:00,BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2.455483530513744,True,0.004637447925771587,-0.0023766862599138294,0.027988643796842183,0.005116601463660775,0.03622276040699646,0.014299649713164664,,,
2026-06-08 00:00:00+00:00,BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2.4844696432388993,True,-0.0050060224462189495,-0.0003383915366969026,-0.004723866084794137,0.0031571727421164653,-0.00016240554992952294,-0.0038662184804491018,,,
2026-06-15 16:00:00.004000+00:00,BTCUSDT-ETHUSDT,ETHUSDT,BTCUSDT,-3.0315279970126525,True,-0.01333855823162755,-0.007145266449906096,-0.032619124352351925,-0.013877191395355148,-0.03406956908157743,-0.02089761845718663,,,
2026-06-17 08:00:00+00:00,BTCUSDT-ETHUSDT,ETHUSDT,BTCUSDT,-2.0740908979599975,True,-0.0032872079130239484,0.0015848497493240465,-0.012969740325866286,-0.006277774046591911,-0.019901302241649876,-0.015793722001814614,,,
2026-06-25 16:00:00+00:00,BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2.441497575162448,False,-0.0008155824442990234,0.0019913385366865377,0.002528341767365161,0.010130850222085597,0.006416342238902084,0.012895412276929585,,,
2026-06-28 00:00:00+00:00,BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2.054030228368479,False,0.0006134381567666214,0.0016008219385883482,0.0027588830412250687,0.00038537726489429325,-0.00122515098354814,-0.007501615599481037,,,
