resample,pair,n,pearson_r,pearson_p,spearman_rho,spearman_p
1h_sum,BTCUSDT-ETHUSDT,270,0.6459733517315919,2.79581056455579e-33,0.6210380176478925,3.435016952573452e-30
1h_sum,BTCUSDT-SOLUSDT,270,0.12915419228765412,0.03389941207626819,0.19698944513641836,0.0011387648132683546
1h_sum,ETHUSDT-SOLUSDT,270,0.24636818448878686,4.263405119440716e-05,0.23845294888177543,7.582221452842018e-05
4h_sum,BTCUSDT-ETHUSDT,270,0.6459733517315919,2.79581056455579e-33,0.6210380176478925,3.435016952573452e-30
4h_sum,BTCUSDT-SOLUSDT,270,0.12915419228765412,0.03389941207626819,0.19698944513641836,0.0011387648132683546
4h_sum,ETHUSDT-SOLUSDT,270,0.24636818448878686,4.263405119440716e-05,0.23845294888177543,7.582221452842018e-05
1d_sum,BTCUSDT-ETHUSDT,91,0.7500144263780407,1.1745888514951452e-17,0.7191431756649148,9.858894737705362e-16
1d_sum,BTCUSDT-SOLUSDT,91,0.15573655945626214,0.14045322726657322,0.20624303232998883,0.04983502714876409
1d_sum,ETHUSDT-SOLUSDT,91,0.2789101153799625,0.0074240118293867645,0.21379200509635296,0.04186657784052093
