resample,pair,n,pearson_r,pearson_p,spearman_rho,spearman_p
8h_IS,BTCUSDT-ETHUSDT,180,0.6554481814530652,1.8012622315325853e-23,0.6572050020756662,1.2527213650799753e-23
8h_IS,BTCUSDT-SOLUSDT,180,-0.056230286152748304,0.4534076098692931,0.0034256072870115914,0.9635977521305089
8h_IS,ETHUSDT-SOLUSDT,180,0.1859455347111991,0.01244824878586129,0.1853113928984964,0.012756283211047657
8h_OOS,BTCUSDT-ETHUSDT,90,0.5059934353588789,3.628414094318993e-07,0.500799112606801,4.985509463387994e-07
8h_OOS,BTCUSDT-SOLUSDT,90,0.5334091260859594,6.196582222286333e-08,0.4828768661997222,1.434605312527087e-06
8h_OOS,ETHUSDT-SOLUSDT,90,0.37169448728183896,0.0003096994400311434,0.36216421275604954,0.0004521112832409294
