ts,BTCUSDT,ETHUSDT,SOLUSDT
2026-04-18 00:00:00+00:00,-4.586e-05,-0.00015064,-7.993e-05
2026-04-19 00:00:00+00:00,-0.0002789,-0.00044791,-0.00023191
2026-04-20 00:00:00+00:00,-0.00012137999999999999,-1.525e-05,-4.97e-05
2026-04-21 00:00:00+00:00,-0.00018003,-0.00011778,0.00011573
2026-04-22 00:00:00+00:00,5.739999999999997e-06,0.00015669000000000002,0.00026371
2026-04-23 00:00:00+00:00,-0.00018119,1.9910000000000004e-05,6.251e-05
2026-04-24 00:00:00+00:00,-0.00014846,-0.0002277,-0.00016014
2026-04-25 00:00:00+00:00,-0.00013011,-0.00010959,1.5869999999999995e-05
2026-04-26 00:00:00+00:00,5.8899999999999995e-06,-5.904e-05,4.4630000000000005e-05
2026-04-27 00:00:00+00:00,-0.00014088,-0.00022093999999999998,-0.00014749
2026-04-28 00:00:00+00:00,-1.9129999999999995e-05,-0.00027757,-0.00015064
2026-04-29 00:00:00+00:00,2.036e-05,0.0001229,-4.9400000000000035e-06
2026-04-30 00:00:00+00:00,-8.961e-05,-0.00018445,0.00011229
2026-05-01 00:00:00+00:00,-8.699e-05,-8.008e-05,0.00012661999999999998
2026-05-02 00:00:00+00:00,-8.465e-05,-4.6439999999999996e-05,1.8909999999999997e-05
2026-05-03 00:00:00+00:00,1.595e-05,0.00010639,-4.650000000000001e-06
2026-05-04 00:00:00+00:00,9.859999999999997e-06,0.00012744,0.00019634
2026-05-05 00:00:00+00:00,-0.00013249,-0.00010887,0.00024404
2026-05-06 00:00:00+00:00,-0.00019059,-0.00016602,0.00025677
2026-05-07 00:00:00+00:00,-0.00013438,-0.00022897,0.00011267
2026-05-08 00:00:00+00:00,-6.533e-05,-7.175000000000001e-05,0.00018451
2026-05-09 00:00:00+00:00,1.6939999999999997e-05,0.00019273,0.00015828
2026-05-10 00:00:00+00:00,0.0001048,0.00024982,-4.3780000000000004e-05
2026-05-11 00:00:00+00:00,0.00012945,0.00012813,0.00018974
