ts,BTCUSDT,ETHUSDT,SOLUSDT
2026-05-15 08:00:00+00:00,-1.893e-05,3.88e-06,4.052e-05
2026-05-15 16:00:00+00:00,1.548e-05,1.397e-05,2.053e-05
2026-05-16 00:00:00+00:00,3.938e-05,7.065e-05,0.0001
2026-05-16 08:00:00+00:00,-2.1e-06,4.496e-05,5.209e-05
2026-05-16 16:00:00+00:00,4.955e-05,6.508e-05,-0.00015361
2026-05-17 00:00:00+00:00,4.037e-05,7.161e-05,-5.139e-05
2026-05-17 08:00:00+00:00,1.176e-05,4.855e-05,-5.436e-05
2026-05-17 16:00:00+00:00,4.8e-07,5.341e-05,-0.00012569
2026-05-18 00:00:00+00:00,-1.131e-05,1.925e-05,-0.00010788
2026-05-18 08:00:00+00:00,5.778e-05,6.52e-06,3.36e-06
2026-05-18 16:00:00+00:00,7.178e-05,5.159e-05,5.09e-06
2026-05-19 00:00:00+00:00,5.164e-05,0.0001,3.87e-06
2026-05-19 08:00:00+00:00,4.809e-05,5.687e-05,-2.902e-05
2026-05-19 16:00:00+00:00,5.563e-05,3.588e-05,-0.00010936
2026-05-20 00:00:00+00:00,3.254e-05,5.523e-05,2.839e-05
2026-05-20 08:00:00+00:00,7.983e-05,3.051e-05,-6.66e-06
2026-05-20 16:00:00+00:00,6.858e-05,5.29e-05,-1.433e-05
2026-05-21 00:00:00+00:00,1.925e-05,5.867e-05,-2.74e-06
2026-05-21 08:00:00+00:00,4.003e-05,2.532e-05,6.241e-05
2026-05-21 16:00:00+00:00,6.13e-05,3.837e-05,2.943e-05
2026-05-22 00:00:00+00:00,3.564e-05,4.926e-05,0.0001
2026-05-22 08:00:00+00:00,-8.2e-06,3.093e-05,-1.571e-05
2026-05-22 16:00:00+00:00,2.891e-05,5.943e-05,-1.78e-06
2026-05-23 00:00:00+00:00,1.783e-05,5.72e-05,2.621e-05
2026-05-23 08:00:00+00:00,1.025e-05,4.466e-05,-0.0001267
2026-05-23 16:00:00+00:00,7.441e-05,6.36e-05,-0.00028322
2026-05-24 00:00:00+00:00,9.044e-05,8.02e-05,-4.389e-05
2026-05-24 08:00:00+00:00,6.29e-05,8.039e-05,5.791e-05
2026-05-24 16:00:00+00:00,6.265e-05,4.195e-05,9.58e-06
2026-05-25 00:00:00+00:00,6.549e-05,5.359e-05,-4.636e-05
2026-05-25 08:00:00+00:00,3.527e-05,5.508e-05,-4.276e-05
2026-05-25 16:00:00+00:00,1.426e-05,3.249e-05,3.864e-05
2026-05-26 00:00:00+00:00,8.058e-05,3.458e-05,4.297e-05
2026-05-26 08:00:00+00:00,3.852e-05,3.793e-05,-0.00010038
2026-05-26 16:00:00+00:00,5.776e-05,3.408e-05,4.692e-05
2026-05-27 00:00:00+00:00,0.0001,7.351e-05,-0.00014384
2026-05-27 08:00:00+00:00,8.948e-05,3.072e-05,-8.548e-05
2026-05-27 16:00:00+00:00,9.914e-05,6.097e-05,1.025e-05
2026-05-28 00:00:00+00:00,0.0001,2.421e-05,-5.061e-05
2026-05-28 08:00:00+00:00,5.011e-05,2.543e-05,-0.00014123
2026-05-28 16:00:00+00:00,0.0001,2.984e-05,-3.559e-05
2026-05-29 00:00:00+00:00,0.0001,8.553e-05,4.219e-05
2026-05-29 08:00:00+00:00,5.391e-05,7.04e-05,2.5e-05
2026-05-29 16:00:00+00:00,6.702e-05,6.595e-05,6.335e-05
2026-05-30 00:00:00+00:00,3.464e-05,4.54e-05,7.48e-05
2026-05-30 08:00:00+00:00,4.732e-05,6.842e-05,3.702e-05
2026-05-30 16:00:00+00:00,6.214e-05,5.705e-05,4.292e-05
2026-05-31 00:00:00+00:00,4.432e-05,9.397e-05,2.3e-05
2026-05-31 08:00:00+00:00,5.663e-05,7.226e-05,3.645e-05
2026-05-31 16:00:00+00:00,5.988e-05,1.691e-05,2.671e-05
2026-06-01 00:00:00+00:00,5.703e-05,6.445e-05,5.009e-05
2026-06-01 08:00:00+00:00,4.438e-05,5.339e-05,-2.566e-05
2026-06-01 16:00:00+00:00,0.0001,9.572e-05,3.141e-05
2026-06-02 00:00:00+00:00,0.0001,0.0001,0.0001
2026-06-02 08:00:00+00:00,5.99e-05,0.0001,2.624e-05
2026-06-02 16:00:00+00:00,8.345e-05,5.699e-05,-4.38e-05
2026-06-03 00:00:00+00:00,7.165e-05,2.021e-05,-0.00019668
2026-06-03 08:00:00+00:00,5.229e-05,9.862e-05,-4.817e-05
2026-06-03 16:00:00+00:00,0.0001,7.361e-05,-4.446e-05
2026-06-04 00:00:00+00:00,2.705e-05,7.651e-05,-0.00012086
2026-06-04 08:00:00+00:00,1.519e-05,4.482e-05,-0.00018206
2026-06-04 16:00:00+00:00,-1.077e-05,3.946e-05,-6.287e-05
2026-06-05 00:00:00+00:00,1.315e-05,4.67e-05,-9.673e-05
2026-06-05 08:00:00+00:00,-1.431e-05,-3.129e-05,-0.00025721
2026-06-05 16:00:00+00:00,-8.63e-06,-7.387e-05,-8.011e-05
2026-06-06 00:00:00+00:00,-1.234e-05,-7.917e-05,-7.32e-05
2026-06-06 08:00:00+00:00,2.675e-05,-3.161e-05,-0.00018542
2026-06-06 16:00:00+00:00,-5.11e-06,-3.461e-05,-0.00016398
2026-06-07 00:00:00+00:00,-2.828e-05,-6.624e-05,-7.23e-05
2026-06-07 08:00:00+00:00,4.07e-06,-0.00010189,-0.00023704
2026-06-07 16:00:00+00:00,2.742e-05,4.72e-06,-0.00038757
2026-06-08 00:00:00+00:00,3.533e-05,-8.235e-05,-0.00025513
2026-06-08 08:00:00+00:00,3.454e-05,-6.599e-05,-0.00022946
2026-06-08 16:00:00+00:00,1.22e-06,-4.515e-05,-1.174e-05
2026-06-09 00:00:00+00:00,-1.565e-05,-4.506e-05,-6.393e-05
2026-06-09 08:00:00+00:00,3.041e-05,3.6e-07,-2.354e-05
2026-06-09 16:00:00+00:00,6.06e-06,-5.182e-05,-9.828e-05
2026-06-10 00:00:00+00:00,3.65e-06,-4.089e-05,1.79e-05
2026-06-10 08:00:00+00:00,-3.385e-05,-4.578e-05,-8.438e-05
2026-06-10 16:00:00+00:00,2.542e-05,-3.121e-05,-1.777e-05
2026-06-11 00:00:00+00:00,-8.11e-06,-3.684e-05,-8.243e-05
2026-06-11 08:00:00+00:00,2.525e-05,7.54e-06,-8.25e-06
2026-06-11 16:00:00+00:00,2.736e-05,-2.432e-05,-3.36e-06
2026-06-12 00:00:00+00:00,-1.303e-05,-2.404e-05,-9.068e-05
2026-06-12 08:00:00+00:00,2.446e-05,-5.854e-05,-9.448e-05
2026-06-12 16:00:00+00:00,8.4e-06,-2.216e-05,-2.866e-05
2026-06-13 00:00:00+00:00,5.357e-05,-6.31e-06,-5.235e-05
2026-06-13 08:00:00+00:00,6e-07,3.562e-05,-2.582e-05
2026-06-13 16:00:00+00:00,9.38e-06,2.664e-05,-4.55e-06
2026-06-14 00:00:00+00:00,-4.51e-05,-6.44e-06,-0.00012137
2026-06-14 08:00:00+00:00,-4.657e-05,-1.08e-05,-0.00010682
2026-06-14 16:00:00+00:00,-3.265e-05,-1.919e-05,-9.337e-05
2026-06-15 00:00:00+00:00,2.808e-05,2.92e-05,-3.596e-05
2026-06-15 08:00:00+00:00,6.21e-06,-7.45e-06,-3.856e-05
2026-06-15 16:00:00+00:00,-6.079e-05,6.867e-05,-4.542e-05
2026-06-16 00:00:00+00:00,-4.28e-06,2.969e-05,1.871e-05
2026-06-16 08:00:00+00:00,-1.11e-05,-2.07e-05,-1.544e-05
2026-06-16 16:00:00+00:00,2.46e-06,3.16e-05,-2.499e-05
2026-06-17 00:00:00+00:00,1.957e-05,3.038e-05,-1.7e-06
2026-06-17 08:00:00+00:00,-6.685e-05,2.339e-05,-5.638e-05
2026-06-17 16:00:00+00:00,-2.582e-05,-7.37e-06,-3.481e-05
2026-06-18 00:00:00+00:00,2.636e-05,4.63e-05,-5.509e-05
2026-06-18 08:00:00+00:00,1.896e-05,6.87e-06,-4.124e-05
2026-06-18 16:00:00+00:00,8.72e-06,-6.91e-06,-2.67e-05
2026-06-19 00:00:00+00:00,6.039e-05,6.551e-05,0.0001
2026-06-19 08:00:00+00:00,1.984e-05,-2.067e-05,6.065e-05
2026-06-19 16:00:00+00:00,2.823e-05,-2.7e-07,-3.617e-05
2026-06-20 00:00:00+00:00,5.814e-05,2.505e-05,-3.087e-05
2026-06-20 08:00:00+00:00,2.633e-05,3.17e-05,-3.337e-05
2026-06-20 16:00:00+00:00,3.985e-05,3.209e-05,-1.391e-05
2026-06-21 00:00:00+00:00,7.78e-06,2.892e-05,4.438e-05
2026-06-21 08:00:00+00:00,3.034e-05,2.602e-05,2.277e-05
2026-06-21 16:00:00+00:00,4.189e-05,7.57e-06,7.45e-06
2026-06-22 00:00:00+00:00,6.572e-05,3.88e-05,4.338e-05
2026-06-22 08:00:00+00:00,1.514e-05,1.941e-05,-4.305e-05
2026-06-22 16:00:00+00:00,4.813e-05,7.89e-06,-3.017e-05
2026-06-23 00:00:00+00:00,4.041e-05,2.37e-05,-2.964e-05
2026-06-23 08:00:00+00:00,1.655e-05,3.35e-06,-9.607e-05
2026-06-23 16:00:00+00:00,-1.889e-05,-3.854e-05,-0.00020855
2026-06-24 00:00:00+00:00,2.154e-05,4.579e-05,-8.775e-05
2026-06-24 08:00:00+00:00,2.134e-05,2.212e-05,-7.233e-05
2026-06-24 16:00:00+00:00,2.7e-07,4.3e-07,-1.309e-05
2026-06-25 00:00:00+00:00,-1.423e-05,5.42e-06,-0.00011854
2026-06-25 08:00:00+00:00,-1.803e-05,4.282e-05,-4.028e-05
2026-06-25 16:00:00+00:00,1.58e-05,-8.135e-05,-4.827e-05
2026-06-26 00:00:00+00:00,5.298e-05,-1.665e-05,3.113e-05
2026-06-26 08:00:00+00:00,5.904e-05,-1.968e-05,8.442e-05
2026-06-26 16:00:00+00:00,7.308e-05,5.22e-06,6.096e-05
2026-06-27 00:00:00+00:00,5.255e-05,1.807e-05,0.0001
2026-06-27 08:00:00+00:00,4.284e-05,-5.97e-06,4.81e-05
2026-06-27 16:00:00+00:00,3.742e-05,1.769e-05,-1.93e-05
2026-06-28 00:00:00+00:00,4.258e-05,-5.389e-05,1.63e-05
2026-06-28 08:00:00+00:00,1.355e-05,-2.947e-05,2.764e-05
2026-06-28 16:00:00+00:00,4.43e-05,1.924e-05,9.68e-06
2026-06-29 00:00:00+00:00,3.112e-05,-1.85e-06,5.21e-06
2026-06-29 08:00:00+00:00,7.444e-05,2.16e-06,3.745e-05
2026-06-29 16:00:00+00:00,8.658e-05,2.144e-05,4.184e-05
2026-06-30 00:00:00+00:00,6.175e-05,4.49e-05,0.0001
2026-06-30 08:00:00+00:00,8.349e-05,4.566e-05,7.704e-05
2026-06-30 16:00:00+00:00,3.327e-05,3.059e-05,7.228e-05
2026-07-01 00:00:00+00:00,5.532e-05,6.151e-05,0.0001
2026-07-01 08:00:00+00:00,1.853e-05,5.33e-05,0.0001
2026-07-01 16:00:00+00:00,7.073e-05,2.077e-05,6.848e-05
2026-07-02 00:00:00+00:00,8.001e-05,1.96e-05,2.682e-05
2026-07-02 08:00:00+00:00,5.238e-05,5.02e-05,-2.441e-05
2026-07-02 16:00:00+00:00,5.261e-05,7.321e-05,6.544e-05
2026-07-03 00:00:00+00:00,0.0001,7.837e-05,2.31e-05
2026-07-03 08:00:00+00:00,0.0001,0.0001,1.188e-05
2026-07-03 16:00:00+00:00,3.74e-05,5.241e-05,-3.2e-05
2026-07-04 00:00:00+00:00,0.0001,9.748e-05,7.283e-05
2026-07-04 08:00:00+00:00,0.0001,7.642e-05,8.74e-05
2026-07-04 16:00:00+00:00,9.48e-05,5.167e-05,4.847e-05
2026-07-05 00:00:00+00:00,9.533e-05,7.818e-05,1.37e-05
2026-07-05 08:00:00+00:00,8.873e-05,6.162e-05,5.506e-05
2026-07-05 16:00:00+00:00,8.608e-05,4.748e-05,3.855e-05
2026-07-06 00:00:00+00:00,7.7e-05,8.332e-05,6.82e-05
2026-07-06 08:00:00+00:00,6.12e-05,4.679e-05,3.336e-05
2026-07-06 16:00:00+00:00,0.0001,6.963e-05,6.227e-05
2026-07-07 00:00:00+00:00,0.0001,7.62e-05,6.816e-05
2026-07-07 08:00:00+00:00,5.792e-05,3.271e-05,5.46e-06
2026-07-07 16:00:00+00:00,6.825e-05,4.088e-05,-1.996e-05
2026-07-08 00:00:00+00:00,4.846e-05,1.519e-05,-2.939e-05
2026-07-08 08:00:00+00:00,7.24e-06,2.984e-05,-1.042e-05
2026-07-08 16:00:00+00:00,7.171e-05,4.537e-05,-1.721e-05
2026-07-09 00:00:00+00:00,6.16e-05,7.189e-05,4.117e-05
2026-07-09 08:00:00+00:00,6.615e-05,5.342e-05,4.411e-05
2026-07-09 16:00:00+00:00,4.912e-05,2.748e-05,2.46e-06
2026-07-10 00:00:00+00:00,9.058e-05,2.613e-05,4.254e-05
2026-07-10 08:00:00+00:00,7.247e-05,3.355e-05,1.338e-05
2026-07-10 16:00:00+00:00,9.508e-05,4.632e-05,0.0001
2026-07-11 00:00:00+00:00,0.0001,5.051e-05,5.263e-05
2026-07-11 08:00:00+00:00,9.42e-06,2.19e-05,-2.607e-05
2026-07-11 16:00:00+00:00,4.156e-05,6.296e-05,7.892e-05
2026-07-12 00:00:00+00:00,4.651e-05,6.46e-06,2.546e-05
2026-07-12 08:00:00+00:00,6.315e-05,9.96e-06,-4.011e-05
2026-07-12 16:00:00+00:00,7.578e-05,3.016e-05,6.891e-05
2026-07-13 00:00:00+00:00,1.521e-05,2.248e-05,5.504e-05
2026-07-13 08:00:00+00:00,4.856e-05,5.42e-06,-5.873e-05
2026-07-13 16:00:00+00:00,0.0001,1.969e-05,2.296e-05
2026-07-14 00:00:00+00:00,8.256e-05,1.26e-06,4.27e-06
2026-07-14 08:00:00+00:00,3.489e-05,3.639e-05,3.868e-05
2026-07-14 16:00:00+00:00,5.59e-05,6.925e-05,6.297e-05
2026-07-15 00:00:00+00:00,0.0001,3.834e-05,1.428e-05
2026-07-15 08:00:00+00:00,0.0001,5.006e-05,2.48e-05
2026-07-15 16:00:00+00:00,4.457e-05,8.736e-05,-6.87e-06
2026-07-16 00:00:00+00:00,2.426e-05,4.35e-05,2.874e-05
2026-07-16 08:00:00+00:00,7.584e-05,6.079e-05,-4.349e-05
2026-07-16 16:00:00+00:00,6.102e-05,3.526e-05,-3.49e-06
2026-07-17 00:00:00+00:00,7.639e-05,6.892e-05,1.683e-05
2026-07-17 08:00:00+00:00,1.52e-05,4.774e-05,-2.497e-05
