symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry,risk_per_trade
BTCUSDT,long,2022-02-01,39169.556335,2022-02-01,38475.350275000004,stop,-1149.8450240901313,-0.017723102453925166,2,401.8897016623015,0.01
BTCUSDT,short,2022-02-03,36433.398245000004,2022-02-03,36854.684925,stop,-872.0152916258291,-0.01143102107255356,5,314.2648057158383,0.01
BTCUSDT,long,2022-02-04,41636.611375,2022-02-07,43346.033275,target,2106.5068611153224,0.04105574021392133,63,529.2652276528045,0.01
BTCUSDT,long,2022-02-07,43901.343385,2022-02-08,43938.503235000004,trailing,62.14476751209802,0.0008464399295056158,17,398.37734389443744,0.01
BTCUSDT,long,2022-02-10,44901.341135,2022-02-10,43577.515530000004,stop,-2182.4280352828896,-0.02948298584266773,2,404.3762787128502,0.01
BTCUSDT,long,2022-02-15,43531.15894,2022-02-16,43572.51304500001,trailing,67.25793449318192,0.0009499886060235774,36,400.959961525966,0.01
BTCUSDT,short,2022-02-20,39609.975975,2022-02-20,38736.62777,target,2183.529335323753,0.022545798518795568,2,266.8917453905354,0.01
BTCUSDT,short,2022-02-20,38224.09026,2022-02-20,38757.93576000001,stop,-1029.4385739184422,-0.013773837267952893,14,341.17942940699356,0.01
BTCUSDT,short,2022-02-21,37633.695995,2022-02-21,38621.98,stop,-1507.508824529607,-0.02558864162324148,3,421.7655890046155,0.01
BTCUSDT,short,2022-02-21,37114.097765000006,2022-02-22,37780.08474,trailing,-683.9635274997404,-0.017627990503019553,16,621.9625292854447,0.01
BTCUSDT,short,2022-02-24,36810.95373,2022-02-24,34884.484665,target,2867.442545375631,0.05522423746545546,3,457.7367722731285,0.01
BTCUSDT,long,2022-02-28,41970.932105,2022-03-01,44573.41943,target,2779.849610745348,0.062006898452702464,16,622.3346563309318,0.01
BTCUSDT,long,2022-03-02,44886.629100000006,2022-03-02,43684.55473,stop,-1415.7052905776807,-0.02678023264616236,3,580.1487947658877,0.01
BTCUSDT,short,2022-04-29,38863.618115000005,2022-04-30,37574.353800000004,target,2748.439359671754,0.034312348307105056,37,326.9313976812935,0.01
BTCUSDT,short,2022-05-03,38206.453845000004,2022-05-04,38351.5862,trailing,-390.10122834977415,-0.003784259515190347,14,256.5216199667846,0.01
BTCUSDT,short,2022-05-05,36441.610545,2022-05-07,34973.83044500001,target,2434.419277746207,0.041967953790713164,51,433.18273031268734,0.01
BTCUSDT,short,2022-05-08,34627.633655,2022-05-09,33445.91576,target,2598.916734327345,0.03533220329440878,24,332.2316136918646,0.01
BTCUSDT,short,2022-05-09,32871.453330000004,2022-05-09,31221.19785,target,3106.4178854984225,0.052856891908136916,7,404.4066070524824,0.01
