symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry,risk_per_trade
ETHUSDT,long,2022-02-04,2774.545585,2022-02-04,2925.874595,target,2663.24366600069,0.05454190798598835,11,37.824141138941286,0.01
ETHUSDT,long,2022-02-05,3055.9069950000003,2022-02-06,2973.21348,stop,-1561.1554463401544,-0.027060219808816677,23,36.19912501837957,0.01
ETHUSDT,long,2022-02-06,3059.572485,2022-02-07,3005.50497,stop,-1198.6281475323997,-0.017671591460922786,1,30.357768895595093,0.01
ETHUSDT,long,2022-02-07,3090.9695100000004,2022-02-08,3099.174255,trailing,157.84963399601833,0.002654424436558056,28,34.56685165881811,0.01
ETHUSDT,long,2022-02-09,3157.619335,2022-02-10,3181.80013,trailing,454.4453143195977,0.007657919601635754,15,35.441567028985325,0.01
ETHUSDT,short,2022-02-13,2854.93599,2022-02-14,2923.1686600000003,stop,-1318.3491329799747,-0.02334202296763821,18,33.82177188793932,0.01
ETHUSDT,short,2022-03-10,2606.76429,2022-03-11,2604.756995,trailing,36.659603568603615,0.0007706265896791908,27,36.183959689554875,0.01
ETHUSDT,short,2022-03-13,2543.81,2022-03-13,2575.840435,stop,-1154.7808257909742,-0.012434945334647729,3,18.094540461571352,0.01
ETHUSDT,short,2022-03-13,2508.587245,2022-03-14,2566.4046100000005,stop,-1667.7911875553486,-0.02252854626847023,6,22.12359911312566,0.01
ETHUSDT,long,2022-03-16,2776.969215,2022-03-18,2918.33592,target,2199.356593902295,0.05090683189298506,44,41.25134217958248,0.01
ETHUSDT,long,2022-03-18,2939.82313,2022-03-20,2910.817215,trailing,-661.7983595652811,-0.009866551053362205,41,28.770232635599292,0.01
ETHUSDT,long,2022-04-01,3354.233815,2022-04-01,3464.505435,target,2258.8518292784233,0.03287535278753362,4,31.829809094152793,0.01
ETHUSDT,long,2022-04-02,3516.5969950000003,2022-04-02,3445.26434,stop,-1243.1009319020045,-0.02028456917338639,18,38.27734092931573,0.01
ETHUSDT,long,2022-04-03,3549.7967200000003,2022-04-04,3470.696135,stop,-1652.4471910805253,-0.022283130905591753,2,31.534841776259494,0.01
