symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,vah_at_entry,val_at_entry,poc_at_entry,atr_at_entry,exit_reason,trend_2h_at_entry
SOLUSDT,short,2022-01-02 03:45:00,178.29,2022-01-02 03:51:00,177.71,0.0028531269280384743,8,179.06,171.80541666666667,178.27145833333333,0.7864318530024165,target_reached,0
SOLUSDT,long,2022-01-02 13:15:00,175.7,2022-01-02 13:21:00,175.68,-0.000513830392714731,8,179.06,174.86,175.83999999999997,0.6401221371068578,target_reached,0
SOLUSDT,long,2022-01-02 21:00:00,175.63,2022-01-02 21:06:00,175.39,-0.00176650913852987,8,178.21208333333334,174.99,175.92270833333333,0.7197536586908818,15m_close_above_poc,0
SOLUSDT,long,2022-01-02 21:36:00,175.61,2022-01-02 21:42:00,175.99,0.0017638858834918118,8,178.21208333333334,174.99,175.92270833333333,0.7093794301977497,target_reached,0
SOLUSDT,long,2022-01-02 22:12:00,175.98,2022-01-02 22:18:00,176.09,0.00022507103079911806,8,179.06,174.99,175.92270833333333,0.667985325017447,target_reached,0
SOLUSDT,long,2022-01-02 23:25:00,175.88,2022-01-02 23:31:00,176.35,0.0022722765521947077,8,179.06,174.99,175.92270833333333,0.6618584616560497,target_reached,0
SOLUSDT,short,2022-01-03 13:23:00,175.26,2022-01-03 13:29:00,175.32,-0.000742348510784074,8,176.24,172.635,175.33875,0.6543795626446787,target_reached,0
SOLUSDT,short,2022-01-03 14:28:00,175.06,2022-01-03 14:34:00,175.37,-0.002170821432651726,8,175.98250000000002,172.635,175.33875,0.6353981332958821,target_reached,0
SOLUSDT,long,2022-01-03 17:15:00,169.99,2022-01-03 17:21:00,170.23,0.0010118477557503173,8,175.89375,170.05,170.221875,1.037128006372005,target_reached,0
SOLUSDT,long,2022-01-03 17:51:00,170.93,2022-01-03 17:57:00,170.68,-0.0018625870239278748,8,175.825,170.05,170.21041666666667,1.006146087126881,target_reached,0
SOLUSDT,long,2022-01-03 18:27:00,170.92,2022-01-03 18:33:00,170.83,-0.0009265621343316651,8,175.70000000000002,170.05,170.19125000000003,0.9466259628798112,target_reached,0
SOLUSDT,long,2022-01-03 19:03:00,170.57,2022-01-03 19:09:00,170.52,-0.0006931347833733388,8,175.70000000000002,170.05,170.19125000000003,0.8804326678013626,target_reached,0
SOLUSDT,long,2022-01-03 19:39:00,170.6,2022-01-03 19:45:00,170.7,0.00018616647127784914,8,175.70000000000002,170.05,170.19125000000003,0.8345567390736249,target_reached,0
SOLUSDT,long,2022-01-04 18:36:00,168.47,2022-01-04 18:42:00,168.59,0.00031229298984976095,8,171.8225,167.04125,167.181875,1.0319280363114756,target_reached,0
SOLUSDT,long,2022-01-04 19:16:00,168.59,2022-01-04 19:22:00,168.73,0.00043041698795893735,8,171.8225,167.04125,167.181875,1.1851041894228522,target_reached,0
SOLUSDT,long,2022-01-04 19:52:00,168.23,2022-01-04 19:58:00,168.44,0.0008482910301374606,8,171.54125,167.04125,167.181875,1.1541459592472558,target_reached,0
SOLUSDT,long,2022-01-04 20:54:00,168.88,2022-01-04 21:00:00,168.73,-0.0012882046423496215,8,172.10375,167.3225,167.744375,1.0472553816654753,target_reached,0
SOLUSDT,long,2022-01-04 22:24:00,168.35,2022-01-04 22:30:00,168.57,0.0009068013068013862,8,172.10375,167.04125,167.744375,0.8891634758797022,target_reached,0
SOLUSDT,long,2022-01-04 23:05:00,168.57,2022-01-04 23:11:00,168.56,-0.00045932253663165634,8,172.10375,167.3225,167.744375,0.847526296103391,target_reached,0
SOLUSDT,long,2022-01-05 00:00:00,168.26,2022-01-05 00:06:00,167.34,-0.005867728515392789,8,171.8225,167.3225,167.744375,0.9153461719858644,15m_close_above_poc,0
SOLUSDT,long,2022-01-05 00:36:00,168.3,2022-01-05 00:42:00,168.38,7.534165181217778e-05,8,172.10375,167.3225,167.744375,0.936344403395976,target_reached,0
SOLUSDT,long,2022-01-05 01:12:00,168.16,2022-01-05 01:18:00,168.31,0.0004920076117984177,8,172.10375,167.3225,167.744375,0.9221030825199996,target_reached,0
SOLUSDT,long,2022-01-05 02:00:00,167.57,2022-01-05 02:06:00,167.76,0.0007338545085635144,8,171.8225,167.04125,167.744375,0.8581194330449206,target_reached,0
SOLUSDT,long,2022-01-05 02:36:00,168.33,2022-01-05 02:42:00,168.48,0.0004911067545891438,8,172.10375,167.3225,167.744375,0.8156233886968937,target_reached,0
SOLUSDT,long,2022-01-05 04:45:00,168.34,2022-01-05 04:51:00,168.97,0.0033424260425329423,8,172.10375,167.3225,168.588125,0.6815950162740964,target_reached,0
SOLUSDT,long,2022-01-05 05:21:00,168.45,2022-01-05 05:27:00,168.73,0.0012622143069160434,8,172.16833333333332,167.60666666666665,168.54583333333335,0.6655079477057257,target_reached,0
SOLUSDT,long,2022-01-05 13:15:00,168.18,2022-01-05 13:21:00,168.44,0.0011459626590557108,8,173.25,167.53,168.7,0.8097702880046904,target_reached,0
SOLUSDT,short,2022-01-05 15:11:00,168.98,2022-01-05 15:17:00,168.76,0.0009019292223931389,8,170.13,167.53,168.7,0.8207358543261896,target_reached,0
SOLUSDT,long,2022-01-05 16:15:00,168.08,2022-01-05 16:21:00,168.43,0.0016823417420274826,8,169.90083333333334,167.45791666666668,168.679375,0.7931828582590852,target_reached,0
SOLUSDT,long,2022-01-06 14:30:00,148.44,2022-01-06 14:36:00,149.92,0.009570358393963875,8,170.38854166666667,147.19354166666665,160.04770833333333,1.4625076405800812,15m_close_above_poc,0
SOLUSDT,long,2022-01-06 15:45:00,149.02,2022-01-06 15:51:00,149.39,0.002082888202925526,8,170.21437500000002,147.184375,160.015625,1.4456998746688505,15m_close_above_poc,0
SOLUSDT,long,2022-01-06 16:30:00,149.16,2022-01-06 16:36:00,149.65,0.0028850630195764284,8,170.29958333333335,147.16541666666666,159.50385416666666,1.4248223850756074,15m_close_above_poc,0
SOLUSDT,long,2022-01-07 05:45:00,139.44,2022-01-07 05:51:00,139.73,0.0016797475616751715,8,163.18583333333333,138.815,154.355,1.9289206999886284,15m_close_above_poc,0
SOLUSDT,long,2022-01-07 08:15:00,138.98,2022-01-07 08:21:00,139.16,0.0008951503813498633,8,165.20749999999998,137.76625,139.5809375,2.1325080854098957,target_reached,0
SOLUSDT,long,2022-01-07 08:51:00,139.86,2022-01-07 08:57:00,139.59,-0.002330501930502038,8,165.20749999999998,138.169375,139.5809375,2.0664482981340426,target_reached,0
SOLUSDT,long,2022-01-07 10:16:00,140.71,2022-01-07 10:22:00,140.25,-0.0036691351005614823,8,162.785,138.169375,139.5809375,1.7060551464881863,target_reached,0
SOLUSDT,long,2022-01-07 11:00:00,139.38,2022-01-07 11:06:00,139.69,0.0018241354570240457,8,162.785,137.76625,139.5809375,1.6002562524907225,target_reached,0
SOLUSDT,long,2022-01-07 12:00:00,139.74,2022-01-07 12:06:00,140.22,0.003034950622584809,8,162.785,137.76625,139.5809375,1.47112424061296,target_reached,0
SOLUSDT,long,2022-01-07 13:13:00,139.71,2022-01-07 13:19:00,139.71,-0.0004,8,162.785,137.76625,139.5809375,1.4188663430900341,target_reached,0
SOLUSDT,long,2022-01-07 14:00:00,137.94,2022-01-07 14:06:00,138.55,0.004022212556183913,8,162.70166666666665,137.26625,139.09135416666666,1.9037791968188928,target_reached,0
SOLUSDT,long,2022-01-07 14:36:00,138.62,2022-01-07 14:42:00,139.24,0.004072659067955575,8,162.70166666666665,137.26625,139.09135416666666,1.8673402258285345,target_reached,0
SOLUSDT,long,2022-01-07 16:45:00,138.71,2022-01-07 16:51:00,138.95,0.0013302285343521185,8,156.95375,136.72354166666668,139.84322916666667,2.104556115738979,target_reached,0
SOLUSDT,long,2022-01-07 17:45:00,139.21,2022-01-07 17:51:00,139.83,0.004053703038574952,8,156.95375,136.72354166666668,139.84322916666667,1.8891476786136245,target_reached,0
SOLUSDT,long,2022-01-07 18:45:00,139.23,2022-01-07 18:51:00,138.88,-0.002913826043237799,8,157.1825,136.694375,139.7703125,1.7157149846127584,target_reached,0
SOLUSDT,long,2022-01-07 19:30:00,139.21,2022-01-07 19:36:00,139.44,0.0012521801594713282,8,157.10916666666668,137.07916666666665,139.71989583333334,1.5763906053914831,target_reached,0
SOLUSDT,long,2022-01-07 20:30:00,139.53,2022-01-07 20:36:00,140.26,0.0048318497814090035,8,157.15437500000002,137.356875,139.86197916666666,1.5198040420810646,target_reached,0
SOLUSDT,long,2022-01-08 00:45:00,138.83,2022-01-08 00:51:00,139.08,0.0014007635237340392,8,157.36666666666667,137.28520833333334,139.90958333333333,1.2853372614610719,target_reached,0
SOLUSDT,long,2022-01-08 02:45:00,138.66,2022-01-08 02:51:00,139.01,0.0021241598153757925,8,157.14916666666664,137.29833333333335,139.86270833333333,1.1808555086478452,target_reached,0
SOLUSDT,short,2022-01-11 20:00:00,142.71,2022-01-11 20:06:00,143.07,-0.002922598276224475,8,143.80895833333335,133.81625,141.1975,1.3014456023260867,15m_close_below_poc,-1
