symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,vah_at_entry,val_at_entry,poc_at_entry,atr_at_entry,exit_reason,trend_2h_at_entry
BTCUSDT,short,2022-01-02 12:37:00,47310.44,2022-01-02 12:43:00,47351.28,-0.0012632344150676374,8,47524.85666666667,46882.49,47344.191041666665,148.66789157428985,target_reached,0
BTCUSDT,short,2022-01-02 15:46:00,47366.89,2022-01-02 15:52:00,47341.34,0.00013940632369997575,8,47524.85666666667,46882.49,47384.338958333334,144.4172876455095,target_reached,0
BTCUSDT,short,2022-01-02 18:00:00,47322.98,2022-01-02 18:06:00,47300.97,6.510173281566478e-05,8,47564.8475,46882.49,47394.258125,193.763050164502,target_reached,0
BTCUSDT,long,2022-01-02 19:30:00,46944.73,2022-01-02 19:36:00,46984.09,0.0004384327697696925,8,47564.8475,46882.49,46901.444375,221.12221000357374,target_reached,0
BTCUSDT,long,2022-01-02 20:06:00,46915.99,2022-01-02 20:12:00,47023.82,0.0018983635216906606,8,47564.8475,46882.49,46901.444375,213.23930352348987,target_reached,0
BTCUSDT,long,2022-01-02 20:42:00,46945.12,2022-01-02 20:48:00,47010.59,0.000994607149795224,8,47564.8475,46882.49,46901.444375,199.94914436464188,target_reached,0
BTCUSDT,long,2022-01-02 21:18:00,47116.11,2022-01-02 21:24:00,47052.87,-0.0017422160700448104,8,47564.8475,46882.49,46901.444375,194.04090749603515,target_reached,0
BTCUSDT,long,2022-01-02 21:54:00,47006.95,2022-01-02 22:00:00,47081.01,0.001175511706247701,8,47564.8475,46882.49,46901.444375,179.98562942260193,target_reached,0
BTCUSDT,long,2022-01-03 05:30:00,47034.93,2022-01-03 05:36:00,47050.01,-7.938721286486727e-05,8,47579.41666666667,46898.19,47047.20833333333,158.61401586206284,target_reached,0
BTCUSDT,long,2022-01-03 07:45:00,46980.24,2022-01-03 07:51:00,47062.25,0.0013456275234013497,8,47579.41666666667,46898.19,47047.20833333333,134.42526554825315,target_reached,0
BTCUSDT,long,2022-01-03 10:00:00,47101.36,2022-01-03 10:06:00,47061.59,-0.0012443492926744067,8,47579.41666666667,46898.19,47047.20833333333,139.32245976014786,target_reached,0
BTCUSDT,long,2022-01-03 10:36:00,47107.24,2022-01-03 10:42:00,47174.06,0.001018465611655373,8,47579.41666666667,46898.19,47047.20833333333,141.99589642584166,target_reached,0
BTCUSDT,long,2022-01-03 13:58:00,47133.97,2022-01-03 14:04:00,47137.87,-0.0003172571289878242,8,47409.11,46898.19,47047.20833333333,163.57026671656124,target_reached,0
BTCUSDT,long,2022-01-03 14:35:00,47143.9,2022-01-03 14:41:00,47189.7,0.0005714936608977709,8,47409.11,46898.19,47047.20833333333,175.8431472216781,target_reached,0
BTCUSDT,long,2022-01-04 19:00:00,45680.0,2022-01-04 19:06:00,46031.7,0.007299211908931636,8,47398.75,45750.0,45784.34895833333,301.77344130977565,target_reached,0
BTCUSDT,long,2022-01-04 19:36:00,46171.95,2022-01-04 19:42:00,46124.83,-0.001420533029252535,8,47398.75,45750.0,45784.34895833333,298.36383459873525,target_reached,0
BTCUSDT,long,2022-01-04 20:13:00,46162.19,2022-01-04 20:19:00,46264.7,0.0018206485437539225,8,47398.75,45750.0,45784.34895833333,293.2660614652362,target_reached,0
BTCUSDT,long,2022-01-05 00:30:00,46080.75,2022-01-05 00:36:00,46170.93,0.0015569993977963663,8,47398.75,45750.0,46127.83854166667,226.9411466013685,target_reached,0
BTCUSDT,short,2022-01-05 16:45:00,46386.84,2022-01-05 16:51:00,46370.54,-4.8607234293273846e-05,8,46652.4975,45750.0,46326.595625,254.84483063715106,target_reached,0
BTCUSDT,short,2022-01-05 17:30:00,46345.55,2022-01-05 17:36:00,46169.44,0.003399933326932181,8,46652.4975,45750.0,46326.595625,251.29840485051812,target_reached,0
BTCUSDT,long,2022-01-05 18:15:00,45723.71,2022-01-05 18:21:00,45962.73,0.004827484821332284,8,46652.4975,45750.0,45775.069375,273.373274583305,target_reached,0
BTCUSDT,long,2022-01-05 18:51:00,45966.61,2022-01-05 18:57:00,45965.58,-0.0004224075693203707,8,46652.4975,45750.0,45775.069375,288.80022145193124,target_reached,0
BTCUSDT,long,2022-01-05 20:30:00,44170.63,2022-01-05 20:36:00,44232.08,0.0009911959145704867,8,46483.555,44134.68,44193.401874999996,424.2116691931643,target_reached,0
BTCUSDT,long,2022-01-06 08:45:00,42991.24,2022-01-06 08:51:00,43025.77,0.00040318688179259466,8,47061.81937500001,43111.057499999995,43292.96302083333,247.92758493065804,15m_close_above_poc,0
BTCUSDT,long,2022-01-06 12:45:00,42815.22,2022-01-06 12:51:00,42894.99,0.0014631225064356105,8,46086.51770833334,42920.158125,45016.55708333334,247.442807331758,15m_close_above_poc,0
BTCUSDT,long,2022-01-06 13:45:00,42995.87,2022-01-06 13:51:00,43104.02,0.0021153578704186772,8,46086.51770833334,42920.158125,45016.55708333334,242.92551645674632,15m_close_above_poc,0
BTCUSDT,long,2022-01-06 14:30:00,42917.99,2022-01-06 14:36:00,43232.49,0.006927929383458942,8,46193.94708333333,42920.158125,45016.55708333334,245.70516751292692,15m_close_above_poc,0
BTCUSDT,long,2022-01-06 17:15:00,42837.32,2022-01-06 17:21:00,42890.96,0.0008521791746076261,8,46061.64333333334,42783.894166666665,44996.65916666667,230.1799704944007,15m_close_above_poc,0
BTCUSDT,long,2022-01-06 17:51:00,43038.55,2022-01-06 17:57:00,43045.6,-0.00023619336617990394,8,46027.831875,42776.40041666667,44906.82375,223.16640313037664,15m_close_above_poc,0
BTCUSDT,long,2022-01-06 18:27:00,43081.66,2022-01-06 18:33:00,43089.02,-0.0002291616432608553,8,46116.659375,42775.51395833334,44892.894687500004,216.14404147466107,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 00:01:00,43090.6,2022-01-07 00:07:00,43032.46,-0.0017492501844949433,8,45543.675,42866.027500000004,44628.5565625,165.12351870412965,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 00:37:00,42830.37,2022-01-07 00:43:00,42790.89,-0.0013217758333631698,8,45543.675,42866.027500000004,44628.5565625,168.17828908672416,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 01:13:00,42909.56,2022-01-07 01:19:00,42882.91,-0.001021073718770182,8,45330.908125,42864.286875000005,44626.52583333333,168.22536150845124,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 01:49:00,42967.96,2022-01-07 01:55:00,42983.83,-3.065502760661831e-05,8,45294.761249999996,42857.0575,44657.4590625,162.14475555177432,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 13:45:00,41384.01,2022-01-07 13:51:00,41599.81,0.0048145744213767385,8,45171.24479166667,41529.52208333333,43747.07885416666,320.5542718621636,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 14:21:00,41773.05,2022-01-07 14:27:00,41831.4,0.0009968336044412056,8,45029.74249999999,41543.94208333333,43722.158124999994,314.56572420768174,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 14:57:00,41940.15,2022-01-07 15:03:00,41748.24,-0.0049758062381752175,8,45029.74249999999,41543.94208333333,43722.158124999994,318.3909560770323,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 16:15:00,41214.24,2022-01-07 16:21:00,40968.76,-0.0063561937815666434,8,45064.85145833333,41256.445,43971.6234375,419.7757151823463,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 17:23:00,41857.4,2022-01-07 17:29:00,41913.25,0.0009342921442802691,8,44735.44604166667,41256.445,43971.6234375,401.1863955467252,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 18:23:00,41770.0,2022-01-07 18:29:00,41670.96,-0.0027710797222887827,8,44724.358125,41256.445,42194.564479166664,349.39870999609576,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 19:15:00,41565.45,2022-01-07 19:21:00,41566.79,-0.000367761686689105,8,44724.358125,41256.445,42335.738229166665,312.7177568252426,15m_close_above_poc,0
BTCUSDT,long,2022-01-07 20:16:00,41668.42,2022-01-07 20:22:00,41670.42,-0.0003520020197549819,8,44735.05395833333,41256.445,42187.57177083333,279.5652499657893,15m_close_above_poc,0
BTCUSDT,long,2022-01-08 00:05:00,41565.65,2022-01-08 00:11:00,41672.89,0.0021800149883377086,8,44726.888125,41256.445,42322.7171875,211.29205611664347,15m_close_above_poc,0
