timestamp,equity_usd,bar_return
2022-01-02T00:00:00,100000.0,0.0
2022-01-03T00:00:00,100199.68578074926,0.0020138051480288466
2022-01-04T00:00:00,100756.98114373077,0.005556658176608886
2022-01-05T00:00:00,101395.76584358743,0.006373971669221268
2022-01-06T00:00:00,102715.0614544327,0.012970994249118739
2022-01-07T00:00:00,104344.15030007168,0.015752410512891335
2022-01-08T00:00:00,103091.82245905013,-0.01203499822341847
2022-01-09T00:00:00,103218.56418320832,0.0012355517528098714
2022-01-10T00:00:00,103218.56418320832,0.0
2022-01-11T00:00:00,103218.56418320832,0.0
2022-01-12T00:00:00,103596.7091694523,0.003679824013046562
2022-01-13T00:00:00,104341.85413579344,0.007195897944413998
2022-01-14T00:00:00,104275.18788086766,-0.0006325186564338781
2022-01-15T00:00:00,104275.18788086766,0.0
2022-01-16T00:00:00,104275.18788086766,0.0
2022-01-17T00:00:00,104275.18788086766,0.0
2022-01-18T00:00:00,104275.18788086766,0.0
2022-01-19T00:00:00,104275.18788086766,0.0
2022-01-20T00:00:00,104275.18788086766,0.0
2022-01-21T00:00:00,104067.44033181707,-0.001980169544102961
2022-01-22T00:00:00,104067.44033181707,0.0
2022-01-23T00:00:00,104067.44033181707,0.0
2022-01-24T00:00:00,104067.44033181707,0.0
2022-01-25T00:00:00,104067.44033181707,0.0
2022-01-26T00:00:00,104067.44033181707,0.0
2022-01-27T00:00:00,101436.20592481027,-0.025414851459924503
2022-01-28T00:00:00,101436.20592481027,0.0
2022-01-29T00:00:00,101436.20592481027,0.0
2022-01-30T00:00:00,101696.00124800546,0.00256089456294184
2022-01-31T00:00:00,101696.00124800546,0.0
2022-02-01T00:00:00,101696.00124800546,0.0
2022-02-02T00:00:00,101696.00124800546,0.0
2022-02-03T00:00:00,101696.00124800546,0.0
2022-02-04T00:00:00,101696.00124800546,0.0
2022-02-05T00:00:00,101696.00124800546,0.0
2022-02-06T00:00:00,101696.00124800546,0.0
2022-02-07T00:00:00,101696.00124800546,0.0
2022-02-08T00:00:00,101696.00124800546,0.0
2022-02-09T00:00:00,101696.00124800546,0.0
2022-02-10T00:00:00,101696.00124800546,0.0
2022-02-11T00:00:00,102014.84417567309,0.0031354551679644294
2022-02-12T00:00:00,102014.84417567309,0.0
2022-02-13T00:00:00,102078.49386654714,0.0006504058156947545
2022-02-14T00:00:00,101562.31134700129,-0.005016413397722519
