symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry,htf_trend_at_entry
ETHUSDT,short,2024-04-23T12:00:00+00:00,3184.846842,2024-04-23T13:50:00+00:00,3204.319008,atr_trailing>entry+2.0*ATR,-6.114003895952403,-0.006114003895952402,22,5.950666111059413,-1
ETHUSDT,short,2024-04-23T13:55:00+00:00,3207.39135,2024-04-23T14:10:00+00:00,3230.60375,atr_trailing>entry+2.0*ATR,-7.236716153443598,-0.0072371586336044125,3,8.23140634709894,-1
ETHUSDT,long,2024-04-23T20:05:00+00:00,3212.6123939999998,2024-04-23T20:15:00+00:00,3194.780916,atr_trailing<entry-2.0*ATR,-5.549719412957952,-0.005550460439392668,2,5.96367023774292,1
ETHUSDT,long,2024-04-23T20:20:00+00:00,3195.1889100000003,2024-04-24T00:20:00+00:00,3210.367798,time_stop>=48b,4.749646906937431,0.0047505447807778545,48,7.167931309154945,1
ETHUSDT,long,2024-04-24T00:25:00+00:00,3215.122896,2024-04-24T04:25:00+00:00,3243.6511400000004,time_stop>=48b,8.871887000916882,0.008873142620922314,48,5.542738422171975,1
ETHUSDT,long,2024-04-24T06:05:00+00:00,3248.579586,2024-04-24T10:05:00+00:00,3246.9204860000004,time_stop>=48b,-0.510688555954373,-0.0005107155161441224,48,6.48772243977702,1
ETHUSDT,long,2024-04-24T10:10:00+00:00,3252.590388,2024-04-24T14:10:00+00:00,3243.55116,time_stop>=48b,-2.77892497583934,-0.002779085873631404,48,7.890023198765956,1
ETHUSDT,long,2024-04-24T14:20:00+00:00,3236.307132,2024-04-24T14:30:00+00:00,3200.1198480000003,atr_trailing<entry-2.0*ATR,-11.18070127766332,-0.011181659380281483,2,9.67720786172884,1
ETHUSDT,long,2024-04-24T14:35:00+00:00,3199.5097739999997,2024-04-24T15:40:00+00:00,3170.455782,atr_trailing<entry-2.0*ATR,-9.078970253239497,-0.009080763633260158,13,12.335996965094122,1
ETHUSDT,short,2024-04-25T01:15:00+00:00,3162.5023739999997,2024-04-25T05:15:00+00:00,3145.510772,time_stop>=48b,5.371285652855011,0.005372834543838856,48,6.864254360462471,-1
ETHUSDT,long,2024-04-25T08:25:00+00:00,3134.666808,2024-04-25T10:05:00+00:00,3112.8773,atr_trailing<entry-2.0*ATR,-6.949509530078251,-0.006951140052394278,20,7.1726350686260165,1
ETHUSDT,short,2024-04-25T11:25:00+00:00,3105.3209399999996,2024-04-25T12:10:00+00:00,3127.0844580000003,atr_trailing>entry+2.0*ATR,-7.006329108935456,-0.007008460130372374,9,9.192857258942317,-1
ETHUSDT,short,2024-04-25T12:15:00+00:00,3129.3257399999998,2024-04-25T15:45:00+00:00,3154.3590019999997,atr_trailing>entry+2.0*ATR,-7.996577681258637,-0.007999570540074163,42,9.491449555205383,-1
ETHUSDT,short,2024-04-25T15:50:00+00:00,3163.6326,2024-04-25T19:50:00+00:00,3158.898094,time_stop>=48b,1.4958614641153205,0.001496541033241261,48,11.316250763866513,-1
ETHUSDT,long,2024-04-26T00:40:00+00:00,3137.3673479999998,2024-04-26T04:40:00+00:00,3135.832708,time_stop>=48b,-0.48893416560157416,-0.0004891489678370275,48,6.634283345548904,1
ETHUSDT,short,2024-04-26T09:05:00+00:00,3145.7290199999998,2024-04-26T13:05:00+00:00,3121.2956160000003,time_stop>=48b,7.763718625608496,0.007767167433894051,48,5.965128352600721,-1
ETHUSDT,short,2024-04-26T14:10:00+00:00,3162.272328,2024-04-26T18:10:00+00:00,3152.3694,time_stop>=48b,3.1304387072253443,0.00313158607888242,48,10.330399040575106,-1
ETHUSDT,short,2024-04-26T18:15:00+00:00,3144.1887119999997,2024-04-26T22:15:00+00:00,3145.440786,time_stop>=48b,-0.3980850281997089,-0.000398218464185085,48,7.588963777993994,-1
ETHUSDT,long,2024-04-27T00:25:00+00:00,3115.332942,2024-04-27T00:40:00+00:00,3087.8523059999998,atr_trailing<entry-2.0*ATR,-8.818100292523342,-0.008821091200081455,3,6.245316812279537,1
ETHUSDT,long,2024-04-27T00:45:00+00:00,3099.039684,2024-04-27T04:45:00+00:00,3122.7253299999998,time_stop>=48b,7.6396331956927215,0.007642898579933055,48,8.772518312044884,1
ETHUSDT,short,2024-04-27T04:50:00+00:00,3122.454366,2024-04-27T08:50:00+00:00,3112.747326,time_stop>=48b,3.1076945146679136,0.0031087852253978143,48,5.429162750922849,-1
ETHUSDT,short,2024-04-27T08:55:00+00:00,3113.812638,2024-04-27T11:25:00+00:00,3125.12485,atr_trailing>entry+2.0*ATR,-3.631751809758632,-0.0036329135099362198,30,4.008141295917637,-1
ETHUSDT,long,2024-04-28T10:05:00+00:00,3303.6405959999997,2024-04-28T11:10:00+00:00,3290.64174,atr_trailing<entry-2.0*ATR,-3.933305358067267,-0.0039347064616346294,13,5.180920675383218,1
ETHUSDT,long,2024-04-28T11:15:00+00:00,3290.6680020000003,2024-04-28T15:15:00+00:00,3318.276212,time_stop>=48b,8.38653218830382,0.008389849715383146,48,6.025780442020345,1
ETHUSDT,short,2024-04-28T15:20:00+00:00,3318.26352,2024-04-28T18:45:00+00:00,3346.010664,atr_trailing>entry+2.0*ATR,-8.359341878147207,-0.008361947094545297,41,7.954816442559906,-1
ETHUSDT,long,2024-04-28T21:10:00+00:00,3308.6716020000003,2024-04-28T22:30:00+00:00,3293.59115,atr_trailing<entry-2.0*ATR,-4.556055957969164,-0.004557856993388065,16,5.075623125850381,1
ETHUSDT,long,2024-04-28T22:35:00+00:00,3295.1589,2024-04-28T23:00:00+00:00,3275.2648160000003,atr_trailing<entry-2.0*ATR,-6.034706391501249,-0.006037367120596104,5,7.297824424997223,1
ETHUSDT,long,2024-04-28T23:05:00+00:00,3278.845638,2024-04-28T23:35:00+00:00,3255.64874,atr_trailing<entry-2.0*ATR,-7.071170035493445,-0.0070747148725638365,6,8.707951259545913,1
ETHUSDT,long,2024-04-28T23:40:00+00:00,3257.75142,2024-04-29T02:35:00+00:00,3234.0930519999997,atr_trailing<entry-2.0*ATR,-7.258024886418046,-0.0072621771737269025,35,9.366502486671818,1
ETHUSDT,short,2024-04-29T19:50:00+00:00,3180.575988,2024-04-29T22:25:00+00:00,3195.930686,atr_trailing>entry+2.0*ATR,-4.82453626977275,-0.00482764696015181,31,6.768373858052744,-1
ETHUSDT,short,2024-04-30T22:25:00+00:00,3019.9238640000003,2024-05-01T02:25:00+00:00,2981.873506,time_stop>=48b,12.59104740448265,0.012599773939201642,48,10.794824270271588,-1
ETHUSDT,long,2024-05-01T07:05:00+00:00,2900.8000439999996,2024-05-01T08:00:00+00:00,2851.909504,atr_trailing<entry-2.0*ATR,-16.84460623570014,-0.01685415721815242,11,14.657372837564633,1
ETHUSDT,short,2024-05-01T17:30:00+00:00,2899.389762,2024-05-01T17:50:00+00:00,2925.4847860000004,atr_trailing>entry+2.0*ATR,-8.993561715379352,-0.009000178017459781,4,11.405435581042875,-1
ETHUSDT,short,2024-05-01T17:55:00+00:00,2920.964076,2024-05-01T18:00:00+00:00,2961.8075200000003,atr_trailing>entry+2.0*ATR,-13.971327414968947,-0.0139828641973343,1,12.30879546690396,-1
ETHUSDT,long,2024-05-02T01:30:00+00:00,2915.402964,2024-05-02T05:30:00+00:00,2900.239836,atr_trailing<entry-2.0*ATR,-5.196022340372806,-0.005201040194867446,48,9.301522595948587,1
ETHUSDT,short,2024-05-02T07:15:00+00:00,2932.596402,2024-05-02T09:50:00+00:00,2945.200842,atr_trailing>entry+2.0*ATR,-4.293677971692532,-0.004298047965756169,31,7.162110465761835,-1
ETHUSDT,short,2024-05-02T09:55:00+00:00,2945.589,2024-05-02T10:55:00+00:00,2963.717138,atr_trailing>entry+2.0*ATR,-6.14781221911971,-0.006154333819144542,12,5.806858390733928,-1
ETHUSDT,long,2024-05-02T13:50:00+00:00,2963.882658,2024-05-02T17:50:00+00:00,2989.541972,time_stop>=48b,8.647625061809254,0.008657331264698032,48,10.4259770984825,1
ETHUSDT,long,2024-05-02T18:15:00+00:00,2976.3351479999997,2024-05-02T22:15:00+00:00,3004.838912,time_stop>=48b,9.566890275925475,0.009576799178397044,48,8.645839454214807,1
ETHUSDT,long,2024-05-02T23:30:00+00:00,2983.726626,2024-05-03T03:30:00+00:00,3015.84671,time_stop>=48b,10.754980926359602,0.010765089442211995,48,7.023993318667236,1
ETHUSDT,long,2024-05-03T06:00:00+00:00,2996.059092,2024-05-03T06:15:00+00:00,2983.4032,atr_trailing<entry-2.0*ATR,-4.2206674681644305,-0.0042241797011925986,3,5.527684807868864,1
ETHUSDT,long,2024-05-03T06:20:00+00:00,2985.556992,2024-05-03T07:35:00+00:00,2973.535174,atr_trailing<entry-2.0*ATR,-4.023140398987499,-0.004026658352934809,15,5.713365155079723,1
ETHUSDT,long,2024-05-03T07:40:00+00:00,2973.614604,2024-05-03T11:40:00+00:00,2972.045472,time_stop>=48b,-0.5272028098207244,-0.0005276850597549787,48,5.55563123774441,1
