symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry,htf_trend_at_entry
BTCUSDT,short,2024-04-23T13:35:00+00:00,66358.269,2024-04-23T14:10:00+00:00,66744.54841999999,atr_trailing>entry+2.0*ATR,-5.821119595509572,-0.005821119595509572,7,122.9350905969236,-1
BTCUSDT,short,2024-04-23T14:15:00+00:00,66755.24837999999,2024-04-23T18:15:00+00:00,66771.04312,time_stop>=48b,-0.2365929414179873,-0.0002366067145778139,48,171.70278846276267,-1
BTCUSDT,long,2024-04-23T19:30:00+00:00,66520.10136,2024-04-23T20:05:00+00:00,66297.23790000001,atr_trailing<entry-2.0*ATR,-3.3501145520839968,-0.0033503175046875056,7,98.24012575789766,1
BTCUSDT,long,2024-04-23T20:10:00+00:00,66227.94294,2024-04-24T00:10:00+00:00,66551.78698,time_stop>=48b,4.889379904280838,0.004889839931966566,48,103.8318682267158,1
BTCUSDT,short,2024-04-24T01:00:00+00:00,66826.96272000001,2024-04-24T05:00:00+00:00,67019.99332,atr_trailing>entry+2.0*ATR,-2.888383223744798,-0.0028885137397125504,48,101.0090673844244,-1
BTCUSDT,long,2024-04-24T09:00:00+00:00,66429.08316,2024-04-24T13:00:00+00:00,66095.87818000001,atr_trailing<entry-2.0*ATR,-5.015578783011504,-0.005015950305944039,48,99.76749876523884,1
BTCUSDT,long,2024-04-25T07:35:00+00:00,63967.59096,2024-04-25T10:15:00+00:00,63631.37118,atr_trailing<entry-2.0*ATR,-5.2554427696576065,-0.005256095703373376,32,85.29160805242118,1
BTCUSDT,short,2024-04-25T15:40:00+00:00,63823.16208,2024-04-25T16:45:00+00:00,64377.122,atr_trailing>entry+2.0*ATR,-8.67807193713104,-0.008679606305084464,13,210.89099496518614,-1
BTCUSDT,short,2024-04-25T16:50:00+00:00,64396.176660000005,2024-04-25T18:20:00+00:00,64804.5365,atr_trailing>entry+2.0*ATR,-6.339696456620874,-0.00634136778268779,18,192.32392675538082,-1
BTCUSDT,long,2024-04-26T01:05:00+00:00,64024.10226,2024-04-26T05:05:00+00:00,64131.171200000004,time_stop>=48b,1.6717756183632817,0.001672322394544512,48,133.436332971608,1
BTCUSDT,short,2024-04-26T09:30:00+00:00,64536.604739999995,2024-04-26T13:30:00+00:00,63905.81628,time_stop>=48b,9.771086776381171,0.009774119083910127,48,89.09448700085099,-1
BTCUSDT,short,2024-04-26T13:55:00+00:00,64478.29308,2024-04-26T17:55:00+00:00,63971.2032,time_stop>=48b,7.862833911966838,0.007864505336250716,48,171.62219574560825,-1
BTCUSDT,short,2024-04-27T03:20:00+00:00,63106.21872,2024-04-27T07:20:00+00:00,63055.98628,time_stop>=48b,0.7958916717429314,0.0007959982553047418,48,155.81825433375082,-1
BTCUSDT,short,2024-04-27T10:05:00+00:00,62973.5922,2024-04-27T13:20:00+00:00,63171.3632,atr_trailing>entry+2.0*ATR,-3.140143125839136,-0.003140538646293045,39,66.58168411934705,-1
BTCUSDT,long,2024-04-27T15:45:00+00:00,62868.771239999995,2024-04-27T19:45:00+00:00,63329.93148,time_stop>=48b,7.33412903010782,0.007335283176436391,48,93.31988403316406,1
