symbol,date,n_bars,hvn_A,lvn_lo_A,lvn_hi_A,hvn_B,lvn_lo_B,lvn_hi_B,dhvn_bp,dlvn_lo_bp,dlvn_hi_bp,half_lo_A_bp,half_lo_B_bp,dhalf_lo_bp
BTCUSDT,2024-08-05,1440,54362.85925,49992.37075,55490.72725,54315.86475,49945.37625,55490.72725,-8.64459681634584,-8.64459681634584,0.0,803.947503920151,803.947503920151,0.0
BTCUSDT,2024-11-13,1440,90759.99575,90072.09125,91990.98275,90759.99575,90035.88575,92027.18825,0.0,-3.989147388208906,3.9891473882105095,75.79380037597723,79.78294776418613,3.989147388208906
BTCUSDT,2025-01-20,1440,108188.9225,105984.1325,109658.7825,107978.9425,106089.1225,109606.2875,-19.40864139764364,9.704320698821146,-4.852160349410573,203.79073467526158,174.67777257879675,-29.112962096464827
BTCUSDT,2025-03-10,1440,82260.2755,81101.5305,83683.8765,82260.2755,81167.7445,83683.8765,0.0,8.049328743131575,0.0,140.86325300478842,132.81392426165684,-8.049328743131582
