variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,gross_pnl_pct,cost_pct,net_pnl_pct,bars_held,exit_reason,funding_ema_at_entry,half_at_entry,slope_4h_at_entry
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-01-03 04:30:00+00:00,45227.0,2024-01-03 04:33:00+00:00,45202.8,-0.0005350786034890032,0.001,-0.0015350786034890032,3,hard_stop,0.00038243327951450725,lower,72.03886326793145
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-01-03 04:38:00+00:00,45196.6,2024-01-03 04:39:00+00:00,45183.6,-0.0002876322555236399,0.001,-0.00128763225552364,1,hard_stop,0.00038243327951450725,lower,72.03886326793145
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-01-03 04:44:00+00:00,45192.5,2024-01-03 04:47:00+00:00,45233.0,0.0008961663992919089,0.001,-0.00010383360070809113,3,take_profit,0.00038243327951450725,lower,72.03886326793145
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-01-03 04:52:00+00:00,45181.3,2024-01-03 04:57:00+00:00,45206.5,0.0005577528756366412,0.001,-0.0004422471243633588,5,take_profit,0.00038243327951450725,lower,72.03886326793145
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-01-03 05:45:00+00:00,45242.7,2024-01-03 05:46:00+00:00,45260.2,0.0003868027328166601,0.001,-0.0006131972671833399,1,hard_stop,0.00038243327951450725,lower,72.03886326793145
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-01-03 05:51:00+00:00,45253.4,2024-01-03 05:57:00+00:00,45220.1,-0.0007358563113490924,0.001,-0.0017358563113490924,6,hard_stop,0.00038243327951450725,lower,72.03886326793145
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-01-03 07:30:00+00:00,45376.8,2024-01-03 07:34:00+00:00,45354.5,-0.0004914405599337757,0.001,-0.0014914405599337757,4,hard_stop,0.00038243327951450725,lower,72.03886326793145
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-01-03 07:39:00+00:00,45323.8,2024-01-03 07:41:00+00:00,45297.3,-0.0005846817786681058,0.001,-0.0015846817786681058,2,hard_stop,0.00038243327951450725,lower,72.03886326793145
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-01-03 07:46:00+00:00,45086.9,2024-01-03 07:47:00+00:00,45078.2,-0.0001929607047724824,0.001,-0.0011929607047724824,1,hard_stop,0.00038243327951450725,lower,72.03886326793145
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-01-03 07:52:00+00:00,45059.1,2024-01-03 07:54:00+00:00,44987.2,-0.0015956821152663947,0.001,-0.0025956821152663947,2,hard_stop,0.00038243327951450725,lower,72.03886326793145
