date,equity
2026-04-18,100000.0
2026-04-19,100000.0
2026-04-20,100000.0
2026-04-21,100000.0
2026-04-22,100000.0
2026-04-23,100000.0
2026-04-24,100000.0
2026-04-25,100000.0
2026-04-26,100000.0
2026-04-27,100000.0
2026-04-28,100000.0
2026-04-29,100006.78570647062
2026-04-30,100006.78570647062
2026-05-01,100006.78570647062
2026-05-02,100006.78570647062
2026-05-03,100006.78570647062
2026-05-04,98439.20124627669
2026-05-05,97144.45085373937
2026-05-06,97144.45085373937
2026-05-07,97144.45085373937
2026-05-08,97144.45085373937
2026-05-09,97144.45085373937
2026-05-10,96103.91312346669
2026-05-11,94771.3796736512
2026-05-12,94771.3796736512
2026-05-13,94771.3796736512
2026-05-14,94771.3796736512
2026-05-15,94771.3796736512
2026-05-16,94771.3796736512
2026-05-17,94771.3796736512
2026-05-18,94771.3796736512
2026-05-19,94771.3796736512
2026-05-20,95997.17820515142
2026-05-21,95997.17820515142
2026-05-22,95997.17820515142
2026-05-23,95997.17820515142
2026-05-24,95997.17820515142
2026-05-25,95997.17820515142
2026-05-26,95997.17820515142
2026-05-27,95997.17820515142
2026-05-28,95997.17820515142
2026-05-29,95997.17820515142
2026-05-30,95691.43102205842
2026-05-31,95691.43102205842
2026-06-01,96414.75886120307
2026-06-02,96414.75886120307
2026-06-03,104776.67725046808
2026-06-04,108201.54560450534
2026-06-05,108201.54560450534
2026-06-06,105943.67231976654
2026-06-07,113190.37258094057
2026-06-08,120883.02353327915
2026-06-09,117610.05511830689
2026-06-10,115828.54598839983
2026-06-11,115828.54598839983
2026-06-12,115828.54598839983
2026-06-13,115828.54598839983
2026-06-14,115828.54598839983
2026-06-15,115828.54598839983
2026-06-16,115828.54598839983
2026-06-17,115828.54598839983
2026-06-18,115828.54598839983
2026-06-19,115828.54598839983
2026-06-20,115828.54598839983
2026-06-21,115828.54598839983
2026-06-22,115828.54598839983
2026-06-23,115828.54598839983
2026-06-24,115828.54598839983
2026-06-25,115828.54598839983
2026-06-26,117432.31807159085
2026-06-27,117432.31807159085
2026-06-28,117432.31807159085
2026-06-29,116844.34515290726
2026-06-30,116844.34515290726
2026-07-01,116844.34515290726
2026-07-02,114502.0424490882
2026-07-03,112393.82926793839
2026-07-04,107688.07855888101
2026-07-05,107299.76069617664
2026-07-06,106428.62781508328
2026-07-07,104815.16549616306
2026-07-08,104815.16549616306
2026-07-09,104815.16549616306
2026-07-10,104815.16549616306
2026-07-11,104815.16549616306
2026-07-12,104815.16549616306
2026-07-13,104815.16549616306
2026-07-14,104815.16549616306
2026-07-15,104815.16549616306
2026-07-16,106784.79437771295
2026-07-17,106784.79437771295
